Scots	Scots	probability
θ	d	1.0
ˈʌu̯	-	1.0
ˈɪ_r	ˈoː_ɐ	1.0
ˈɛː	ˈɛː	1.0
ˈɑː_#>	ˈɛɪ̯_#>	1.0
ˈøː	ˈaʊ̯	1.0
ˈoː	-	1.0
ˈiː_r	ɐ	1.0
ˈi_f	ˈɛɪ̯_f	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈɛ_k	1.0
ʧ	k	1.0
ʤ	k_ə	1.0
ʃ	ʃ	1.0
ɛ	n	1.0
ə_r	ɐ	1.0
ə	-	1.0
ŋ	ŋ	1.0
x	x	1.0
v	-	1.0
s_#>	z̥_#>	1.0
pʰ	-	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_ə	k	1.0
h	h	1.0
e	ɪ_ç	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	ˈiː_#>	1.0
f	f	0.963
n	n	0.952
t	t	0.927
w	v	0.864
ˈu	ˈuː	0.8
p	p	0.8
k	k	0.769
ɡ	ɣ	0.75
θ_#>	d̥_#>	0.667
ˈəi̯	ˈiː	0.667
ˈo	ˈɔ	0.667
i	ɪ_ç	0.667
j	j	0.6
ˈeː	ˈɒː	0.571
ð	-	0.571
ˈø	ˈaʊ̯	0.556
ˈʌ	ˈʊ	0.545
d	d̥	0.538
s	s	0.515
ˈuː	ˈuː	0.5
ˈe	ˈɛɪ̯	0.5
ˈa	ˈa	0.5
ç	ç	0.5
ç	x	0.5
z	z_ə	0.5
z	z	0.5
r	r	0.471
ˈɪ	ˈɪ	0.463
ˈʌ	-	0.455
ˈɑː	ˈa	0.455
ˈø	-	0.444
ˈeː	ˈa	0.429
ð	d	0.429
r	ɐ	0.412
j	-	0.4
s	z	0.394
ˈiː	ˈɛɪ̯	0.389
ˈi	-	0.368
θ_#>	#>	0.333
ˈəi̯	-	0.333
ˈo	ˈoː	0.333
ˈa	-	0.333
i	ɒː	0.333
ˈi	ˈɔʏ̯	0.316
d	d	0.308
ˈɑː	ˈɔ	0.273
ˈɑː	ˈa_l	0.273
ˈuː	ˈʊ_l	0.25
ˈuː	-	0.25
ɡ	-	0.25
ˈɛ	ˈɛ	0.238
ˈɛ	ˈa	0.238
ˈɛ	-	0.238
k	k_n	0.231
ˈiː	ˈeo̯	0.222
ˈe	ˈɒː	0.214
ˈu	ˈʊ	0.2
p	b_m	0.2
ˈɛ	ˈɛɪ̯	0.19
ˈiː	ˈiː	0.167
ˈa	ˈœ	0.167
ˈi	ˈɒː	0.158
ˈi	ˈeo̯	0.158
ˈe	ˈeo̯	0.143
w	w	0.136
ˈɪ	ˈʏ	0.122
r	-	0.118
ˈiː	ˈɛɪ̯_ŋ	0.111
ˈiː	ɐ	0.111
d	n	0.103
ˈɪ	ˈɛ	0.098
ˈɪ	-	0.098
ˈɛ	ˈɪ	0.095
s	ʃ	0.091
ˈɪ	ˈa	0.073
t	-	0.073
ˈe	ˈɛə̯	0.071
ˈe	ˈaɪ̯	0.071
d	-	0.051
