Palatine German	Old Frisian	probability
β_ˈɔ	w	1.0
β_ə	v_ə	1.0
ˈɔ_l	ˈu_lː	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈi̯uː_ɣ	1.0
ˈɑːɪ̯	ˈaː_j	1.0
ˈɑː_ɣ̊	ˈe_j	1.0
ˈɑ_s	ˈe_t	1.0
ˈõː	ˈu_n	1.0
ˈo	ˈeː	1.0
ˈĩː	ˈeː_n	1.0
ˈi	ˈi̯aː	1.0
ˈẽː	ˈi̯aː_n	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɪ_ʃ	ə_x	1.0
ɪ	i	1.0
ɣ̊	ɣ	1.0
ɡ̊_s	k_s	1.0
ɑ	ə	1.0
ɐ_ʣ̥	r_t	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_d	1.0
l_d̥	l_d	1.0
kʰ	ʦ	1.0
j	ɣ	1.0
h	h	1.0
eː	iː	1.0
d̥_r	d_r	1.0
l	l	0.982
m	m	0.96
b̥	b	0.894
β	w	0.802
ˈu	ˈu	0.784
ˈɛ	ˈe	0.78
ə	ə	0.747
f	f	0.736
n	n	0.699
ˈiː	ˈi̯aː	0.691
ɐ	r	0.681
r	r	0.676
ˈɪ	ˈi	0.664
ʣ̥	t	0.65
ˈuː	ˈoː	0.644
ˈɔ	ˈo	0.58
ŋ	ŋ	0.574
s	s	0.523
x	x	0.5
x	k	0.5
f_r	f_r	0.5
f_r	f	0.5
ˈaɪ̯	ˈiː	0.488
ˈɑ	ˈa	0.461
d̥	d	0.461
ɡ̊	ɡ	0.448
ŋ	ŋ_ɡ	0.426
ˈɔ	ˈɔː	0.42
ˈoː	ˈaː	0.416
d̥	θ	0.414
ˈɛː	ˈɛː	0.405
ˈeː	ˈɛː	0.405
ˈɑː	ˈaː	0.402
s	t	0.402
ʃ	s_k	0.358
ʣ̥	tː	0.35
ˈiː	ˈeː	0.309
ʃ	k	0.277
ˈɑ	ˈɔː	0.271
ɡ̊	k	0.27
ˈɑː	ˈa	0.25
ˈoː	ˈeː	0.247
ˈeː	ˈe	0.245
f	p	0.234
ˈeː	-	0.233
ˈɪ	ˈe	0.22
ˈuː	ˈeː	0.212
ˈɑː	ˈe	0.197
ʃ	x	0.19
ˈoː	-	0.188
ˈɛː	ˈe_j	0.186
ˈɛː	ˈeː	0.181
ɐ	r_ə	0.177
ˈaɪ̯	ˈi	0.174
ʃ	s	0.174
ˈaɪ̯	-	0.172
n	nː	0.168
ˈaɪ̯	ˈi̯uː	0.166
ɡ̊	j	0.162
ˈɑː	-	0.151
ˈoː	ˈu	0.149
ə	j_ə	0.147
ˈuː	ˈuː	0.144
ɐ	ə_r	0.142
ˈu	ˈoː	0.139
ˈɑ	-	0.136
ˈɑ	ˈe	0.133
β	v_ə	0.128
ˈɛ	-	0.124
ɡ̊	kː	0.12
ˈeː	ˈaː	0.117
ˈɪ	-	0.116
ˈɛː	ˈe	0.114
ˈɛː	ˈaː	0.114
ˈɛ	ˈi	0.095
b̥	v	0.084
n	-	0.082
d̥	t	0.082
r	d_ə	0.08
r	d	0.08
r	h_r	0.079
ˈu	ˈo	0.077
s	z	0.075
β	h_w	0.069
ə	a	0.064
r	ð	0.052
