Pennsylvania German	German	probability
b	b	1.0
d	d	0.412
d	tʰ	0.355
d	t	0.211
eː	eː	1.0
f	f	1.0
h	h	0.983
j	ɡ	0.582
j	j	0.418
k	k	0.925
kʰ	kʰ	0.989
l	l	0.983
m	m	0.931
n	n	0.908
n	ɐ_n	0.067
p	p	0.777
p	b	0.12
p	p͡f	0.103
pʰ	p͡f	1.0
p͡f	p͡f	1.0
s	s	0.543
s	z	0.434
t	t	0.972
v	b	0.756
v	v	0.244
x	x	1.0
ç	ç	0.889
ç	t	0.063
ŋ	ŋ	1.0
ɑ	ɐ	0.959
ə	n	0.654
ə	ə	0.205
ə	-	0.058
ɡ	ɡ	0.966
ɣ	ɡ	1.0
ɪ	ɪ	0.691
ɪ	-	0.309
ɾ	ʁ	0.991
ʃ	ʃ	0.845
ʃ	s	0.155
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.813
ˈa	ˈɔ	0.082
ˈa	ˈɪ	0.054
ˈa	ˈaː	0.051
ˈaɪ̯	ˈaɪ̯	0.582
ˈaɪ̯	ˈɔʏ̯	0.379
ˈaʊ̯	ˈaʊ̯	0.941
ˈaʊ̯	ˈʊ	0.059
ˈaː	ˈɔ	0.376
ˈaː	ˈa	0.348
ˈaː	ˈʊ	0.231
ˈeː	ˈaɪ̯	0.46
ˈeː	ˈeː	0.298
ˈeː	ˈøː	0.205
ˈiː	ˈiː	0.683
ˈiː	ˈyː	0.255
ˈoː	ˈoː	0.73
ˈoː	ˈaː	0.27
ˈuː	ˈuː	1.0
ˈɔ	ˈɔ	0.841
ˈɔ	ˈoː	0.109
ˈɔɪ̯	ˈaɪ̯	1.0
ˈɔː	ˈaː	0.504
ˈɔː	ˈaʊ̯	0.327
ˈɔː	ˈɔʏ̯	0.072
ˈɔː	ˈa	0.067
ˈɛ	ˈɛ	0.643
ˈɛ	ˈeː	0.143
ˈɛ	ˈœ	0.096
ˈɛː	ˈɛ	0.46
ˈɛː	ˈɛː	0.29
ˈɛː	ˈɪ	0.145
ˈɛː	ˈʏ	0.062
ˈɪ	ˈɪ	0.784
ˈɪ	ˈʏ	0.185
ˈʊ	ˈʊ	0.475
ˈʊ	ˈɔ	0.275
ˈʊ	ˈoː	0.102
ˈʊ	ˈaʊ̯	0.068
ˈʊ	ˈuː	0.058
