Upper Sorbian	Štokavian	probability
a	a	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ê	1.0
j	j	1.0
kʲ	a_k	1.0
m	m	1.0
n	n	1.0
pʲ	p	1.0
s	s	1.0
z	z	1.0
ɦ	ɡ	1.0
ɪ	o	1.0
ʒ	ʒ	1.0
ʤ	d	1.0
ˈu	ûː	1.0
ˈɪ	î	1.0
β	ʋ	1.0
i	i	0.881
p	b	0.171
x	k_a	0.1
ɔ	o	0.661
ɥ	ʋ	0.591
ʀʲ	r̩̂	0.261
ˈɔ	ôː	0.091
ˈɔ	a	0.101
ˈa	âː	0.152
ɔ	e	0.293
ɲ	n	0.793
ʀ	r̩̂ː	0.053
ʀʲ	r	0.603
ʃ	ʒ	0.513
mʲ	m_j	0.264
t	t	0.914
w	-	0.184
x	x	0.714
ɛ	e	0.784
ʧ	t_i	0.284
ʧ	t	0.694
ˈi	ǐː	0.244
ˈo	ôː	0.844
ˈɔ	-	0.174
k	k	0.965
l	l	0.685
ˈɔ	ǒ	0.215
ˈɛ	-	0.085
l	ûː	0.116
mʲ	m	0.736
t	d	0.086
w	l	0.816
x	ɡ	0.186
ɛ	ě	0.216
ʀʲ	r_j	0.136
ˈo	âː	0.156
ˈɔ	ě	0.06
ˈɛ	e	0.516
ɲ	ɲ	0.207
ʀ	a_r	0.127
ʃ	-	0.487
ʦ	ʨ	0.17
ˈi	îː	0.227
ˈe	ěː	0.08
ˈɔ	â	0.068
i	-	0.119
l	ʎ	0.199
p	p	0.829
ɥ	ʋ_j	0.409
ʀ	r	0.79
ʦ	o_#>	0.139
ʦ	ʦ	0.69
ˈa	â	0.839
ˈe	ê	0.359
ˈe	j_êː	0.49
ˈi	î	0.529
ˈɔ	ô	0.29
ˈɛ	ě	0.399
