Swedish	North Frisian	probability
a	ə	0.921
b	b	1.0
d	d	0.537
d	dʲ	0.266
d	-	0.158
f	f	0.959
h	h	1.0
j	j	0.38
j	-	0.367
j	ˈɔː	0.138
j	ɡ	0.057
jː	ˈeː	1.0
k	k	0.801
k	-	0.176
kʰ	k	1.0
kː	k	0.425
kː	ŋ_k	0.402
kː	w	0.173
l	l	0.929
lː	lʲ	0.529
lː	l	0.471
m	m	0.944
m	v	0.056
mː	m	1.0
n	n	0.797
n	nʲ	0.105
n	-	0.098
nː	n	0.852
nː	d	0.112
p	p	0.773
p	v	0.141
p	b	0.087
pʰ	p	1.0
pː	p	1.0
r	r	0.95
rː	d	0.5
rː	j	0.5
s	s	0.823
s	ʃ	0.139
sː	s	1.0
t	t	0.471
t	tʲ	0.268
t	z	0.157
t	s	0.073
tʰ	t	0.807
tʰ	d	0.087
tʰ	b	0.055
tʰ	tʲ	0.05
tː	x	0.437
tː	t	0.246
tː	tʲ	0.205
tː	d	0.112
v	v	0.7
v	-	0.118
v	f	0.091
v	ə_v	0.079
ŋ	ŋ	0.614
ŋ	ˈi	0.351
ŋː	ŋ	1.0
ɔ	ɛi̯	1.0
ɕ	ʃ	0.69
ɕ	k	0.159
ɕ	t	0.104
ɖ	r_d	1.0
ɛ	ə	0.957
ɡ	ɡ	0.379
ɡ	-	0.215
ɡ	j	0.155
ɡ	k	0.147
ɡ	x	0.057
ɡː	-	0.569
ɡː	d	0.189
ɡː	j	0.154
ɡː	w	0.088
ɧ	s	0.507
ɧ	ʃ	0.493
ɪ	i	0.813
ɪ	-	0.187
ɳ	r	1.0
ɳː	n	1.0
ɵ	i	0.552
ɵ	-	0.448
ʂ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʊ	w	0.631
ʊ	n	0.369
ˈa	ˈœ	0.258
ˈa	ˈɔː	0.186
ˈa	ˈʊ	0.109
ˈa	ˈeː	0.097
ˈa	ˈɒ	0.094
ˈa	ˈuː	0.076
ˈa	ˈɛi̯	0.069
ˈa	ˈa	0.054
ˈeː	ˈiː	0.541
ˈeː	ˈeː	0.144
ˈeː	ˈaː	0.115
ˈeː	ˈi	0.101
ˈiː	ˈi	0.687
ˈiː	ˈiː	0.149
ˈiː	ˈyː	0.081
ˈoː	ˈɛː	0.218
ˈoː	ˈɔu̯	0.175
ˈoː	ˈʊ	0.159
ˈoː	ˈuː	0.095
ˈoː	ˈyː	0.081
ˈoː	ˈaː	0.075
ˈuː	ˈɔu̯	0.263
ˈuː	ˈɔ	0.215
ˈuː	ˈœ	0.207
ˈuː	ˈa	0.128
ˈuː	ˈøː	0.081
ˈyː	j	0.482
ˈyː	ˈiː	0.38
ˈyː	ˈai̯	0.137
ˈæ	ˈa	1.0
ˈæː	ˈeː	0.6
ˈæː	ˈai̯	0.335
ˈæː	ˈa	0.065
ˈøː	ˈyː	0.223
ˈøː	ˈuː	0.183
ˈøː	ˈɛi̯	0.167
ˈøː	ˈɛ	0.151
ˈøː	ˈiː	0.105
ˈøː	-	0.079
ˈøː	ˈaː	0.059
ˈœ	-	0.271
ˈœ	ˈɔ	0.146
ˈœ	ˈuː	0.088
ˈœ	ˈi	0.086
ˈœ	ˈu	0.086
ˈœ	ˈʏ	0.086
ˈœ	ˈyː	0.064
ˈœ	ˈɛ	0.064
ˈœ	ˈiː	0.06
ˈœː	ˈɔ	0.52
ˈœː	ˈiː	0.258
ˈœː	ˈuː	0.221
ˈɑː	ˈɒː	0.319
ˈɑː	ˈa	0.308
ˈɑː	ˈeː	0.124
ˈɑː	ˈɒ	0.075
ˈɑː	ˈɛi̯	0.067
ˈɑː	ˈi	0.055
ˈɑː	ˈɛː	0.052
ˈɔ	ˈɔ	0.386
ˈɔ	ˈɔː	0.162
ˈɔ	ˈaː	0.141
ˈɔ	ˈøː	0.087
ˈɔ	ˈa	0.077
ˈɔ	ˈeː	0.073
ˈɛ	-	0.186
ˈɛ	ˈa	0.183
ˈɛ	ˈiː	0.131
ˈɛ	ˈeː	0.111
ˈɛ	ˈɒ	0.08
ˈɛ	ˈɒː	0.072
ˈɛ	ˈɔi̯	0.052
ˈɛː	ˈiː	0.272
ˈɛː	ˈɛː	0.214
ˈɛː	ˈɛi̯	0.196
ˈɛː	ˈɔː	0.143
ˈɛː	-	0.094
ˈɛː	ˈuː	0.081
ˈɪ	ˈi	0.3
ˈɪ	ˈu	0.158
ˈɪ	ˈa	0.141
ˈɪ	ˈʊ	0.117
ˈɪ	ˈiː	0.104
ˈɪ	ˈɛ	0.104
ˈɪ	ˈai̯	0.077
ˈɵ	ˈʊ	0.461
ˈɵ	ˈyː	0.132
ˈɵ	ˈøː	0.124
ˈɵ	ˈɔː	0.063
ˈɵ	ˈi	0.063
ˈɵ	ˈeː	0.061
ˈʉː	ˈiː	0.455
ˈʉː	ˈyː	0.199
ˈʉː	ˈɔː	0.125
ˈʉː	ˈøː	0.09
ˈʉː	ˈɒ	0.056
ˈʊ	ˈʊ	0.893
ˈʊ	ˈœ	0.107
ˈʏ	ˈʏ	0.425
ˈʏ	ˈœ	0.17
ˈʏ	ˈʊ	0.148
ˈʏ	ˈeː	0.111
ˈʏ	ˈɔu̯	0.074
ˈʏ	ˈa	0.071
