Provençal	Provençal	probability
ˈɛ_ʀ	ˈɛ_r	1.0
ˈɔ	-	1.0
ˈỹ	ˈu	1.0
ˈũ	ˈo	1.0
ˈu_#>	ˈo_r_#>	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈẽ	ˈe	1.0
ˈe_ʧ	t	1.0
ˈe_k	ɡ_o	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa	ˈa	1.0
ɾ_ɔ	r_a	1.0
ɥ_ˈe	ˈo	1.0
ɥ	ˈɔ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
z	z	1.0
y	u	1.0
w_ˈẽ	ˈo	1.0
w_ɾ	v_e	1.0
ũ	o	1.0
u	o	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
p	p	1.0
n	n	1.0
mː	e_m	1.0
l_ˈe	l_ˈe	1.0
l_ɔ	l_a	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
j_ɾ	r	1.0
j_s	s	1.0
ĩ	i	1.0
f	f	1.0
ẽ	-	1.0
e_s	s	1.0
a	a	1.0
<#_ˈã	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
ɔ	a	0.957
k	k	0.946
v	v	0.909
ɾ	r	0.905
d	d	0.833
ŋ	ŋ	0.816
m	m	0.815
s_#>	s_#>	0.8
e_#>	#>	0.778
<#_ɡ	<#_ɡ	0.75
b	b	0.739
ˈi	ˈi	0.733
w_#>	l_#>	0.727
ˈu	ˈo	0.714
ʀ	r	0.706
w_ˈe	ˈɔ	0.7
j_#>	ʧ_o_#>	0.667
s	s	0.636
ɲ	ɲ	0.6
ˈɛ	ˈɛ	0.583
l	j	0.571
e	e	0.536
ʤ	ð	0.533
j	-	0.524
ˈe	ˈe	0.517
i	i	0.5
i	-	0.5
ʤ	-	0.467
ˈy	ˈu_r	0.429
#>	r_#>	0.412
ɲ	-	0.4
s	θ	0.364
w	ˈo	0.357
w	-	0.357
j_#>	#>	0.333
w_ˈe	ˈo	0.3
#>	t_#>	0.294
ˈy	ˈu	0.286
ˈy	-	0.286
l	l	0.286
e	o	0.286
w_#>	#>	0.273
ˈɛ	j_ˈe	0.25
<#_ɡ	<#	0.25
ˈe	o	0.241
#>	o_#>	0.235
e_#>	r_#>	0.222
s_#>	#>	0.2
ˈu	ˈu	0.19
j	ˈɛ	0.19
ŋ	n	0.184
ʀ	r_t	0.176
b	v	0.174
ˈɛ	ˈe	0.167
w	o	0.143
w	l	0.143
l	ˈe	0.143
j	ˈi	0.143
j	e	0.143
ˈe	ˈɔ	0.138
ˈi	r	0.133
ˈi	-	0.133
ʀ	-	0.118
m	ŋ	0.111
e	e_r	0.107
ˈe	-	0.103
ˈu	ˈɔ	0.095
ɾ	e_r	0.095
v	-	0.091
b	-	0.087
d	t	0.083
d	-	0.083
m	-	0.074
e	ˈa	0.071
#>	n_#>	0.059
k	ɡ_o	0.054
