Romansch	Piedmontese	probability
a	a	0.488
a	ˈa	0.488
b	b	1.0
d	d	0.701
d	-	0.15
d	t	0.099
e	e	1.0
eː	ˈə	0.07
f	f	0.769
f	v	0.173
f	-	0.053
i	i	0.241
i	a	0.222
i	y	0.215
i	-	0.153
j	-	0.638
j	j	0.279
k	k	0.964
k_l	ʧ	1.0
l	l	0.72
l	j	0.172
l	-	0.084
m	m	0.974
n	n	0.513
n	ŋ	0.403
n	-	0.052
o	u	1.0
p	p	1.0
r	r	0.914
r	-	0.084
r_ə	r	1.0
s	s	0.808
s	-	0.159
t	t	0.798
t	d	0.106
t	-	0.062
u	u	0.526
u	w	0.174
u	ˈø	0.174
u	i	0.072
u	ˈu	0.055
v	v	0.863
v	b	0.095
w	-	0.325
w	w	0.252
w	ɡ	0.219
w	a	0.099
w	ˈu	0.081
w_n	ŋ	0.733
w_n	n	0.265
w_r	r	0.265
z	-	0.07
ŋ	ŋ	0.699
ŋ	n	0.297
ə	a	0.703
ə	e	0.111
ə	u	0.059
ə	-	0.053
ə_r	e	0.807
ə_r	r	0.187
ɡ	ɡ	0.827
ɡ	ʤ	0.173
ɡ_l	ʤ	1.0
ɲ	ɲ	0.871
ɲ	ŋ	0.117
ʃ	s	0.735
ʃ	ʤ	0.139
ʃ	z	0.121
ʎ	j	0.775
ʎ	l	0.179
ʎ	-	0.052
ʒ_ɡ	v	1.0
ʥ	ʤ	0.471
ʥ	-	0.229
ʥ	d	0.084
ʥ	b	0.082
ʥ	ɡ	0.08
ʥ	z	0.052
ʦ	s	0.583
ʦ	-	0.229
ʦ	t	0.155
ʧ	s	0.791
ʧ	ʧ	0.126
ʧ	z	0.076
ʨ	k	0.695
ʨ	t	0.129
ʨ	j_t	0.077
ʨ	-	0.058
ˈa	ˈa	0.632
ˈa	ˈe	0.162
ˈa	ˈɛ	0.156
ˈa_r	ˈe	0.515
ˈa_w	ˈɔ	0.794
ˈa_w	ˈe	0.189
ˈaː	ˈa	0.758
ˈaː	ˈɛ	0.191
ˈaː_r	ˈe	1.0
ˈe	ˈe	0.271
ˈe	ˈɛ	0.262
ˈe	-	0.135
ˈe	j	0.118
ˈe	ˈø	0.064
ˈe	ˈɔ	0.064
ˈe	ˈu	0.055
ˈe	ˈi	0.052
ˈeː	ˈɛ	0.517
ˈeː	ˈe	0.45
ˈi	ˈi	0.628
ˈi	ˈy	0.197
ˈi	ˈe	0.065
ˈi	ˈɛ	0.055
ˈi_ə	ˈø	0.53
ˈi_ə	ˈe	0.313
ˈiː	ˈy	0.574
ˈiː	ˈi	0.296
ˈiː_r	e	1.0
ˈo	ˈu	0.66
ˈo	ˈø	0.175
ˈoː	ˈø	1.0
ˈu	ˈu	0.706
ˈu	ˈɔ	0.131
ˈu	ˈy	0.089
ˈuɔ̯	ˈɔ	0.265
ˈuː	ˈɔ	0.515
ˈɔ	ˈɔ	0.398
ˈɔ	ˈø	0.356
ˈɔ	ˈa	0.192
ˈɔ	-	0.051
ˈɔː	ˈɔ	0.675
ˈɔː	ˈa	0.304
ˈɛ	ˈɛ	0.482
ˈɛ	ˈɛ_l	0.17
ˈɛ	ˈø	0.133
ˈɛ	ˈi	0.129
ˈɛ_w	ˈø	1.0
ˈɛː	ˈɛ	1.0
