Sicilian	Aragonese	probability
c	-	1.0
cː	ʎ	1.0
kː	k	1.0
mː	m	1.0
nː	ɲ	1.0
s	s	1.0
u	o	1.0
z	s	1.0
ç	f_l	1.0
ŋ	ŋ	1.0
ɟː	ʎ	1.0
ɲː	ɲ	1.0
ʃ	e_s	1.0
ʐ	r	1.0
ʤ	ʧ	1.0
ʤː	-	1.0
ʧː	t	1.0
ˈe	ˈe	1.0
d	d	0.951
j	-	0.231
k	-	0.061
n	-	0.061
p	p	0.81
r	r	0.091
ɕ	θ	0.821
ɪ	o	0.061
ɾ	l	0.1
ˈa	ˈa	0.921
ˈo	ˈe	0.181
ˈu	ˈo	0.381
f	f	0.922
ɕ	θ_j	0.092
ɪ	ˈe	0.282
ʃː	j_ʃ	0.242
ˈu	ˈu	0.592
ˈɔ	w_ˈe	0.742
ɖː	ʎ	0.573
ɡ	ɣ	0.603
ɪ	-	0.113
ɽ	-	0.163
ˈɔ	w	0.073
ˈɛ	j_ˈe	0.543
j	ʧ	0.54
t	t	0.484
tː	-	0.264
v	b	0.574
ɪ	e	0.34
a	a	0.985
i	-	0.155
j	j	0.215
m	m_b	0.065
m	m	0.935
w	-	0.745
ɾ	-	0.335
ɾ	ɾ	0.55
i	i	0.146
l	l	0.966
t	ð	0.516
ʊ	o	0.846
b	b	0.987
k	k	0.747
tː	j_t	0.207
v	-	0.097
ɖː	l	0.427
ɡ	ɡ	0.397
ɪ	a	0.057
ɪ	ɾ_e	0.057
ɽ	ɾ	0.837
ʈ	j	0.967
ˈɛ	ˈe	0.457
f	f_j	0.078
tː	t	0.528
w	w	0.208
ɕ	-	0.088
ʃː	ʃ	0.758
ˈɔ	ˈo	0.138
i	e	0.699
k	ɣ	0.179
n	n	0.939
p	β	0.19
r	ɾ	0.909
v	β	0.329
ɪ	ˈi	0.09
ʊ	-	0.079
ˈi	ˈi	0.379
ˈi	ˈe	0.599
ˈo	ˈo	0.819
