Aromanian	Aromanian	probability
ˈɨ_n	ɛ̃	1.0
ˈə	i	1.0
ˈu_ŋ	ɔ̃	1.0
ˈu_n	ɔ̃	1.0
ˈo_s	o	1.0
ˈo_k	ø	1.0
ˈo_j	u	1.0
ˈi_n	ɛ̃	1.0
ˈi_m	ɑ̃	1.0
ˈi_#>	w_a_#>	1.0
ˈe_l	o	1.0
ˈa_t	e	1.0
ˈa_r	e	1.0
ˈa_p	ɛ	1.0
ˈa_l	o	1.0
ʧ	s	1.0
ɨ_n	ɑ̃	1.0
ç	f	1.0
z_b	v	1.0
u_r	ʁ	1.0
u_#>	#>	1.0
t_ˈi	ɛ	1.0
r_i	e	1.0
r_#>	l_#>	1.0
n_ə_#>	#>	1.0
n_ə	n	1.0
n_t	ɑ̃	1.0
n_i	d	1.0
m_ə_#>	m_#>	1.0
l	l	1.0
k_ʎ	j	1.0
k_ə_#>	ʃ_#>	1.0
k_ə	ʃ	1.0
k_e̯ˈa	p	1.0
k_#>	#>	1.0
i_r	ʁ	1.0
i_d	w	1.0
i_#>	#>	1.0
e	-	1.0
d	-	1.0
b	b	1.0
a_ʤ	ɛ_d	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e̯ˈa	<#_ɛ	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
<#	<#_a	1.0
#>	l_#>	1.0
ə	-	0.893
r	ʁ	0.875
m	m	0.833
f	f	0.818
v	v	0.75
s	s	0.75
ˈi	i	0.667
ɡ	ɡ	0.667
ʃ	s	0.636
ʤ	ʒ	0.6
ɲ	m	0.6
t	-	0.6
j	v	0.6
w	f	0.571
u	u	0.571
p	p	0.565
ʣ	ʒ	0.556
ˈo	ɔ	0.545
ʦ	s	0.526
ʎ	l	0.5
n	n	0.5
k	k	0.5
ˈo	œ	0.455
o̯ˈa	-	0.455
ʣ	d	0.444
w	-	0.429
u	ɔ	0.429
e̯ˈa	w	0.412
ˈa	ɛ	0.4
ʤ	-	0.4
ɲ	ɲ	0.4
t	t	0.4
j	-	0.4
ˈe	ɛ	0.385
ʃ	-	0.364
e̯ˈa	ɛ	0.353
ˈɨ	ɛ̃	0.333
ˈɨ	ɛ	0.333
ˈɨ	-	0.333
ɡ	-	0.333
k	ʃ	0.321
ˈu	u	0.32
ˈe	a	0.308
p	-	0.304
ʎ	j	0.286
ˈu	y	0.28
ˈa	a	0.28
ʦ	-	0.263
i	-	0.263
v	-	0.25
s	-	0.25
n	ɑ̃	0.25
n	-	0.25
ˈu	-	0.24
e̯ˈa	a	0.235
ʎ	-	0.214
i	ə	0.211
ˈi	-	0.19
o̯ˈa	ɥ	0.182
o̯ˈa	ɔ	0.182
o̯ˈa	ø	0.182
f	-	0.182
m	-	0.167
ʦ	k	0.158
i	ʁ	0.158
i	a	0.158
ˈe	j_ɛ	0.154
ˈe	-	0.154
ˈi	a	0.143
p	v	0.13
ə	a	0.107
k	-	0.107
i	w	0.105
i	i	0.105
r	l	0.089
ˈu	ɔ̃	0.08
ˈu	ɔ	0.08
ˈa	ɔ	0.08
ˈa	o	0.08
ˈa	i	0.08
ˈa	e	0.08
k	p	0.071
ʦ	z	0.053
