Palatine German	Palatine German	probability
ˈɛ_l	l	1.0
ˈɔ_ɐ	ˈoə̯	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈi_n	1.0
ˈɑːɪ̯	ˈaː_j	1.0
ˈuː_#>	ˈoː_#>	1.0
ˈõː	ˈoə̯	1.0
ˈoː_d̥_#>	ˈɪə̯_#>	1.0
ˈo	ˈø	1.0
ˈĩː	ˈiə̯_n	1.0
ˈi	ˈiː	1.0
ˈaɪ̯_#>	ˈɛ_j_#>	1.0
ˈau̯̯	ˈuː	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɪ_ʃ	ə_χ	1.0
ə_#>	#>	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
r_ˈɪ	r	1.0
r_ɐ	r	1.0
pʰ	p_ˈaː	1.0
n_s	s	1.0
m	m	1.0
l_ˈaɪ̯	l_ˈɪ	1.0
l_d̥	d̥	1.0
l	l	1.0
kʰ	ʦ	1.0
j	ɣ	1.0
h	h	1.0
f_ˈɛ	f	1.0
f_ə	p_ə	1.0
f_#>	p_#>	1.0
eː	ɪ_n	1.0
d̥_r	t_r	1.0
d̥_#>	#>	1.0
b̥_#>	#>	1.0
<#_ˈɑ	<#_ˈaː	1.0
<#_r	<#_r	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_j	1.0
f	f	0.92
ʣ̥	t	0.875
n	n	0.82
ˈuː	ˈuə̯	0.8
ə	ə	0.765
#>	ə_#>	0.765
ˈɔ	ˈɔ	0.727
ˈau̯	ˈuː	0.667
b̥	b	0.667
β	ʋ	0.645
r	r	0.609
ˈɪ	ˈɪ	0.593
ɡ̊	ɡ	0.545
s	s	0.535
ʃ_#>	k_#>	0.5
ʃ_#>	#>	0.5
ɡ̊_#>	χ_#>	0.5
ɡ̊_#>	ɣ_ə_#>	0.5
ɐ	r	0.474
ˈɑ	ˈa	0.448
ʃ	s	0.448
x	χ	0.417
ˈoː	ˈiə̯	0.385
ɡ̊	k	0.364
d̥	t	0.358
β	v	0.355
ɐ	ə_r	0.342
d̥	d	0.34
ˈau̯	-	0.333
s	t	0.326
ˈɑː	ˈɪə̯	0.316
ˈɑː	-	0.316
ˈaɪ̯	ˈiː	0.312
ʃ	s_k	0.31
ˈoː	-	0.308
ˈeː	ˈiə̯	0.308
ˈɛ	ˈɛ	0.3
ˈɛː	-	0.286
ˈu	ˈɔ	0.278
ˈɔ	-	0.273
ˈiː	ˈiə̯	0.267
ˈɛ	ˈɪ	0.25
ˈɛ	-	0.25
ˈaɪ̯	ˈi	0.25
x	k	0.25
#>	k_#>	0.235
ˈeː	ˈɪə̯	0.231
ˈeː	ˈeː	0.231
ˈeː	-	0.231
d̥	d̥	0.226
ˈu	ˈu	0.222
ˈu	-	0.222
r	-	0.217
ˈɛː	ˈɛi̯	0.214
ˈɛː	ˈiə̯	0.214
ˈɑː	ˈa	0.211
ˈuː	-	0.2
ˈiː	j_ˈɪ	0.2
ˈiː	j	0.2
ə	j_ə	0.176
r	d	0.174
ˈɑ	ˈɔː	0.172
ˈu	ˈuː	0.167
x	ɣ	0.167
x	k_ə	0.167
ˈɑː	ˈɛː	0.158
ˈoː	ˈɪə̯	0.154
ˈoː	ˈoə̯	0.154
ˈɪ	ˈi	0.148
b̥	f	0.148
ˈɛː	ˈɪə̯	0.143
ˈɛː	ˈaː	0.143
ˈɑ	ˈaː	0.138
ˈɑ	-	0.138
ˈiː	ˈɪə̯	0.133
ˈiː	-	0.133
ɐ	-	0.132
ˈaɪ̯	ˈuː	0.125
ˈaɪ̯	j_ˈuə̯	0.125
ˈaɪ̯	j	0.125
ʣ̥	-	0.125
ˈɪ	ˈɔ	0.111
ˈu	ˈyː	0.111
b̥	p	0.111
ˈɑ	ˈɪə̯	0.103
ʃ	χ	0.103
ˈɛ	ˈɛː	0.1
ˈɛ	j_ˈɛ	0.1
ɡ̊	-	0.091
f	v_ə	0.08
ˈɪ	ˈiː	0.074
ˈɪ	-	0.074
b̥	-	0.074
ʃ	ˈɔ_χ	0.069
ʃ	k	0.069
ˈiː	ˈu̯o	0.067
ˈaɪ̯	ˈøə̯	0.062
n	n_d	0.06
ə	z_ə	0.059
ɐ	ˈuə̯_r	0.053
