Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈʉːə̯_r	ɐ	1.0
ˈɪː_ʉ	ˈoĩ̯	1.0
ˈɪ	ˈi	1.0
ˈɛː	-	1.0
ˈɔ̃ː	ˈɑ	1.0
ˈɔ	-	1.0
ˈɑːu̯	ˈau̯	1.0
ˈɑːi̯	ˈai̯	1.0
ˈɑ_r	ˈɑː	1.0
ˈœ	ˈi	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈo	-	1.0
ʨː	-	1.0
ʨ	-	1.0
ʥː	k	1.0
ʥ	ɡ̊	1.0
ʏ	-	1.0
ʉ_ŋ	i	1.0
ʉ	-	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_ɛ	ɣ̊	1.0
ɡ_#>	ʃ_#>	1.0
ɛ_r	æ̆	1.0
ɛ	-	1.0
ɔ̃	ɛː	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
w	v	1.0
sː	n_s	1.0
s_ʨ	ʃ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
rː	ɐ	1.0
pʰ	f	1.0
p_#>	f_#>	1.0
p	v̥	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_ɡ̊	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈiː	1.0
j_ˈæ	ˈɛ	1.0
f	f	1.0
d_#>	#>	1.0
a	n	1.0
<#_ˈɪː	<#_ˈi	1.0
<#_r	<#_ʀ	1.0
ɑ	ə	0.897
ð	d̥	0.824
ɡ	ɡ̊	0.778
d	d̥	0.778
ɔ	ə	0.75
s	s	0.735
<#	<#_h	0.682
ˈɑ	ˈɑ	0.667
ˈyːœ̯	-	0.667
ˈʉː	-	0.625
ˈʉə̯	ˈɔ	0.625
nː	n	0.625
b	b̥	0.611
ˈʏː	ˈoi̯	0.6
ˈʏ	ˈi	0.6
ɡː	-	0.6
tː	-	0.6
ˈoː	ˈoː	0.571
ˈɑː	ˈɑː	0.556
ˈɔː	ˈɑː	0.5
ˈœː	ˈaː	0.5
ˈʉːə̯	ˈuː	0.467
ˈɛ	-	0.462
ˈɑː	ˈa	0.444
ˈiːe̯	ˈaː	0.429
#>	ʃ_#>	0.429
r	ʀ	0.425
v	v	0.417
k	ʃ	0.417
k	x	0.417
ˈʏː	-	0.4
ˈʏ	-	0.4
ˈʉːə̯	-	0.4
ˈʉ	ˈu	0.4
ˈɪː	ˈi	0.4
ˈɪː	-	0.4
ɡː	k	0.4
tː	ʦ	0.4
b	p	0.389
ˈʉə̯	-	0.375
ˈœː	-	0.375
tʰ	ʦ	0.375
tʰ	d̥	0.375
nː	ɐ_n	0.375
ˈʉ	ˈo	0.333
ˈyːœ̯	ˈĩː	0.333
ɣ	ʃ	0.333
v	b̥	0.333
j	ˈi	0.333
t	s	0.316
ˈɛ	ˈe	0.308
ˈoː	-	0.286
ˈiːe̯	ˈãː	0.286
ˈiːe̯	-	0.286
#>	n_#>	0.286
#>	f_#>	0.286
j	-	0.267
t	t	0.263
ˈʉː	ˈeː	0.25
ˈɔː	ˈa_l	0.25
ˈɔː	-	0.25
ɣ	x	0.25
ɣ	-	0.25
ɔ	-	0.25
v	f	0.25
tʰ	t	0.25
r	æ̆	0.25
ˈɛ	ˈɛ	0.231
<#	<#_v	0.227
ɡ	k	0.222
d	t	0.222
t	z̥	0.211
t	-	0.211
ˈɪː	ˈɑ̃i̯	0.2
j	ˈɛ	0.2
j	ˈiː	0.2
ð	t	0.176
r	ɐ	0.175
ˈɑ	ˈa	0.167
ˈɑ	-	0.167
ɣ	ɣ̊	0.167
k	-	0.167
r	-	0.15
s	ʃ	0.147
ˈoː	ˈɛ̃ː	0.143
ˈʉːə̯	ˈiː	0.133
ˈʉ	ˈi	0.133
ˈʉ	-	0.133
ˈʉː	ˈõː	0.125
ˈœː	oː	0.125
s	-	0.118
<#	<#_d̥	0.091
ɑ	-	0.069
