Standard German	Standard German	probability
ˈʏ	ˈu	1.0
ˈʊ	ˈu	1.0
ˈøː	ˈɑu̯	1.0
ˈa_n	ɑi̯	1.0
ˈa	ˈɑ	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʁ_ˈaɪ̯	r_ˈi	1.0
ɪ	-	1.0
ɡ̊	ɣ_ɑ	1.0
ɡ	ɣ	1.0
ə_n	ɑ_n	1.0
ə_#>	#>	1.0
ɐ_t	r_ð	1.0
ɐ_n	r_n	1.0
ŋ	ŋ	1.0
ç_t	x_t	1.0
z	s	1.0
s_t	s_t	1.0
p	-	1.0
l_t	l_d	1.0
k_s	x_s	1.0
j	j	1.0
h	x	1.0
eː	e_x	1.0
b̥	β	1.0
a	ɔː_θ	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɣ	1.0
<#_p͡f	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#	<#_x	1.0
m	m	0.969
d	θ	0.913
v	w	0.906
ˈɔ	ˈu	0.9
tʰ	d	0.882
ˈuː	ˈɔː	0.846
ˈɪ	ˈi	0.815
ʁ	r	0.808
l	l	0.78
f	ɸ	0.769
ç	k	0.75
b	b	0.733
ˈɛ	ˈe	0.7
ˈaː	ˈɑ	0.684
t	ð	0.621
ˈaʊ̯	ˈuː	0.6
n	n	0.593
ˈiː	ˈeu̯	0.588
ˈɔʏ̯	-	0.571
z̥	s	0.571
ʃ	s_k	0.556
x	x	0.545
k	k	0.545
ˈaɪ̯	ˈɑi̯	0.536
ˈɛː	ˈɑ_x	0.5
ˈɛː	-	0.5
ˈyː	ˈɔː	0.5
ˈeː	ˈe	0.5
ˈoː	ˈɑu̯	0.462
s	t	0.45
ʃ	s	0.444
ˈɔʏ̯	ˈiu̯	0.429
z̥	s_ɑ̃	0.429
ɐ	r	0.404
ˈaɪ̯	ˈiː	0.393
#>	ɑ̃_#>	0.393
ˈoː	ˈu	0.385
d̥	d	0.375
k	ɣ_j	0.364
ˈaʊ̯	ˈɑu̯	0.35
s	t_ɑ	0.35
ˈaː	ˈɛː	0.316
d̥	θ	0.312
t	t	0.31
ˈɛ	ˈɑ	0.3
#>	z_#>	0.28
n	ɑ_n	0.275
x	k	0.273
b	β	0.267
#>	ɑ_z_#>	0.256
ˈyː	ˈu	0.25
ˈyː	-	0.25
ˈeː	ˈɑi̯_w	0.25
ˈeː	ˈɑ	0.25
ç	ɑ	0.25
ə	ɔ̃ː	0.206
ə	ɔːː	0.206
ə	i	0.206
d̥	θ_ɑ̃	0.188
ˈɪ	ˈe	0.185
x	k_i	0.182
ˈiː	ˈi	0.176
ˈiː	ˈe	0.176
ˈuː	ˈuː	0.154
ˈoː	ˈɛː	0.154
s	t_s	0.15
ə	ɔː	0.147
l	l_ɑ	0.146
f	p_ɑ	0.128
d̥	d_u	0.125
ə	u	0.118
tʰ	-	0.118
ʁ	x_r	0.115
ɐ	ɛː	0.106
ɐ	r_ɑ	0.106
f	p	0.103
ˈɔ	-	0.1
v	xʷ	0.094
k	kː	0.091
ə	-	0.088
d	d	0.087
ɐ	r_i	0.085
ʁ	s	0.077
l	lː	0.073
t	θ	0.069
n	nː	0.066
ˈiː	ˈeː	0.059
