Afrikaans	Old High German	probability
χ_t	x_t	1.0
ˈɛ_m	mː	1.0
ˈɛ	ˈe	1.0
ˈœɪ̯	ˈuː	1.0
ˈœ	ˈu	1.0
ˈæː	ˈɛ	1.0
ˈyː	ˈiu̯	1.0
ˈu_j	ˈuo̯	1.0
ˈu	ˈuo̯	1.0
ˈoː	ˈoː	1.0
ɦ	h	1.0
w	o	1.0
s_ɫ	s_l	1.0
s_t	s_t	1.0
r_ə	r_n	1.0
m	m	1.0
j	j	1.0
i	i	1.0
b	b	1.0
r	r	0.965
s	s	0.952
v̥	f	0.935
ɫ	l	0.934
ˈa	ˈɑ	0.918
d̥	t	0.893
v	w	0.89
n	n	0.868
d	d	0.845
ˈə	ˈi	0.816
ˈəɪ̯	ˈiː	0.677
ˈɔ	ˈu	0.651
ŋ	ŋ_ɡ	0.631
ə	ɑ	0.613
χ	ɡ	0.602
ˈœu̯	ˈɑ_l	0.6
ˈi	ˈio̯	0.577
ˈæ	ˈi	0.544
p	p͡f	0.541
ˈɪə̯	ˈɛ	0.5
ˈɪø̯	ˈu	0.5
ˈɪø̯	-	0.5
ˈɑː	ˈɑː	0.493
ˈæ	ˈɛ	0.456
ˈɪə̯	ˈei̯	0.427
ˈœu̯	w_ɑ	0.4
k	kʰ	0.393
t	s̻	0.365
ˈɔ	ˈo	0.349
k	k	0.335
ˈʊə̯	ˈo	0.331
ˈəɪ̯	ˈei̯	0.323
ˈɑː	ˈɑ	0.3
ˈʊə̯	ˈoː	0.274
ˈʊə̯	ˈou̯	0.253
p	f_ɑ	0.25
t	s̻ː	0.237
ŋ	-	0.214
χ	x_t	0.204
χ	kː	0.195
k	xː	0.186
t	ʦ	0.16
ŋ	ŋ	0.155
d	t	0.155
ˈi	ˈɛ_h	0.152
ˈʊə̯	ˈu	0.141
ə	i	0.14
ˈə	-	0.135
p	p	0.134
n	nː	0.132
ə	u	0.125
ə	ɛ	0.123
ˈɑː	-	0.117
ˈi	ˈiu̯	0.117
t	t	0.116
v	-	0.092
ˈɑː	ˈɑ_h	0.09
k	kː	0.085
ˈa	-	0.082
ˈi	ˈeː	0.079
ˈi	ˈie̯	0.075
p	fː	0.074
ˈɪə̯	ˈi	0.073
d̥	d	0.071
ɫ	lː	0.066
v̥	b_ɑ	0.065
t	ʦː	0.061
t	-	0.061
