Old Prussian	Bulgarian	probability
ɡ_i	ɡ̊	1.0
ɡ	-	1.0
ŋ	-	1.0
z	z	1.0
w	v	1.0
uː	i	1.0
r	r	1.0
oːu̯	i	1.0
n_s	ɔ	1.0
j	-	1.0
iː	-	1.0
eːi̯	-	1.0
eː	a	1.0
b	b	1.0
aːu̯	u	1.0
aːi̯	-	1.0
aː	-	1.0
ai̯	ɛ_d	1.0
a_j	nʲ	1.0
m	m	0.817
t	t	0.716
d	d	0.7
v	v	0.668
l	ɫ	0.635
k	k	0.635
n	-	0.606
au̯	ɤ_ˈ	0.583
p	p	0.579
i	-	0.577
n_a	n	0.57
s	x	0.446
o	-	0.444
n_a	ɛ	0.43
p	-	0.421
au̯	u	0.417
n	n	0.394
k	ʃ	0.365
a	ɔ	0.361
u	i	0.333
u	-	0.333
e	ɛ	0.331
s	s	0.319
d	d̥	0.3
e	ɛ_ˈ	0.298
o	a	0.29
i	ɛ	0.287
t	-	0.284
o	ɐ	0.266
l	l	0.237
s	-	0.234
v	-	0.228
u	u	0.225
a	-	0.222
e	-	0.195
m	mʲ	0.183
a	a	0.181
e	i	0.176
a	ɛ	0.159
i	ɤ_ˈ	0.136
l	lʲ	0.128
u	ɐ	0.109
v	vʲ	0.105
a	ɛ_ˈ	0.077
