Western Lombard	Spanish	probability
i	e	1.0
ĩ	i	1.0
w	w	1.0
z	θ	1.0
ʃ	θ	1.0
ʤ	x	1.0
ʦ	θ	1.0
ˈeː	ˈe	1.0
ˈẽː	ˈe	1.0
ˈĩː	ˈi	1.0
ˈøː	w_ˈe	1.0
a	a	0.861
r	ɾ	0.671
t	ʧ	0.101
t	n_t	0.241
ɡ	ɣ	0.321
ɲ	ɲ_o	0.071
ʋ	b_j	0.121
ʧ	x_o	0.261
ˈe	ˈe_j	0.071
ˈu	ˈo	0.811
ˈy	o	0.351
ˈyː	ˈu	0.11
ˈø	ˈo	0.821
f	f	0.782
j	j	0.732
l	ʝ_o	0.132
m	m_b	0.062
t	t_e	0.082
u	o	0.812
ɲ	ɲ	0.472
ˈũː	n	0.152
ˈũː	ˈu	0.232
ˈɔ	ˈo	0.402
ˈɛ	ˈe	0.122
b	β	0.3
e	ɾ_e	0.213
f	β_o	0.073
k	k	0.83
l	-	0.13
ʋ	b	0.553
ˈaː	ˈa_ð	0.233
ˈãː	ˈa_n	0.863
p	β	0.084
s	s	0.634
ʧ	-	0.144
ˈa	ˈa	0.64
ˈe	ˈe	0.74
f	β_e	0.145
l	l	0.675
r	ɾ_o	0.095
t	ð	0.145
ˈi	ˈi	0.565
ˈũː	ˈo_n	0.615
ˈɛ	ˈi	0.175
d	θ	0.066
j	-	0.076
j	l	0.176
n	n	0.736
p	p	0.916
s	θ	0.26
ʧ	ʧ	0.186
ˈa	ˈe	0.056
ˈi	ˈi_ɾ	0.156
ˈɛ	j_ˈe	0.516
a	e	0.07
b	b	0.7
d	-	0.257
e	e	0.787
ʧ	θ	0.267
ˈa	ˈa_ɾ	0.247
ˈaː	ˈa	0.767
ˈãː	ŋ	0.137
ˈɛ	ˈe_ɾ	0.187
d	ð	0.308
d	d	0.368
k	ɣ_o	0.078
n	o_#>	0.118
r	r	0.138
u	e	0.188
ɲ	n	0.458
ʋ	β	0.248
ʧ	ɟ͡ʝ	0.128
ˈy	ˈu	0.58
ˈɔ	w_ˈe	0.598
m	m	0.919
n	e_#>	0.059
t	t	0.389
ɡ	ɡ	0.679
ʋ	-	0.079
ˈe	j_ˈe	0.189
ˈi	ˈu	0.09
ˈi	ˈe	0.189
ˈu	ˈu	0.189
ˈy	ˈo	0.069
ˈyː	ˈo	0.89
ˈø	w_ˈe	0.179
