Afrikaans	Yiddish	probability
b	b	1.0
d	t	0.55
d	d	0.421
f	f	0.84
f	b	0.129
i	-	1.0
j	j	0.716
j	-	0.284
k	k	0.498
k	χ	0.317
k	-	0.159
m	m	0.953
n	n	0.942
p	f	0.835
p	p	0.165
r	ʀ	0.983
s	z	0.508
s	ʃ	0.347
s	s	0.086
t	t	0.309
t	s	0.268
t	ʦ	0.22
t	d	0.104
t	-	0.1
v	v	0.892
v	b	0.083
w	v	0.922
w	ˈɛɪ̯	0.078
ŋ	ŋ	0.75
ŋ	n	0.098
ŋ	ɡ	0.088
ŋ	k	0.064
ə	ə	0.586
ə	-	0.314
ə	ɪ	0.1
ɦ	h	0.967
ɫ	l	0.965
ˈa	ˈa	0.726
ˈa	ˈɔ	0.141
ˈa	ˈɛ	0.081
ˈa	-	0.052
ˈi	ˈɪ	0.562
ˈi	ˈɛ	0.243
ˈi	ˈaɪ̯	0.138
ˈi	-	0.058
ˈoːi̯	ˈɔɪ̯	1.0
ˈu	ˈʊ	0.59
ˈu	ˈɪ	0.41
ˈuː	ˈʊ	1.0
ˈuːi̯	ˈʊ	1.0
ˈyː	ə	0.524
ˈyː	ˈaɪ̯_ə	0.476
ˈæ	ˈɪ	1.0
ˈæː	ˈa	0.55
ˈæː	-	0.316
ˈæː	ˈɛ	0.134
ˈœ	ˈɪ	0.477
ˈœ	ˈɔ	0.339
ˈœ	ˈɛ	0.184
ˈœi̯	ˈaɪ̯	1.0
ˈœu̯	ˈa	0.622
ˈœu̯	l	0.309
ˈœu̯	ˈɔɪ̯	0.068
ˈœɪ̯	ˈɔɪ̯	0.741
ˈœɪ̯	ˈaɪ̯	0.259
ˈɑː	ˈɔ	0.53
ˈɑː	ˈɛ	0.202
ˈɑː	ˈa	0.195
ˈɑː	ˈɛɪ̯	0.073
ˈɔ	ˈʊ	0.782
ˈɔ	ˈɔ	0.152
ˈɔ	ˈɔɪ̯	0.066
ˈɔː	-	0.546
ˈɔː	ˈɔ	0.454
ˈə	ˈɪ	0.88
ˈə	ˈa	0.06
ˈə	ˈaɪ̯	0.059
ˈəɪ̯	ˈaɪ̯	0.448
ˈəɪ̯	ˈɪ	0.319
ˈəɪ̯	ˈɛɪ̯	0.233
ˈɛ	ˈɪ	0.505
ˈɛ	ˈɛ	0.495
ˈɛː	ˈɔ	1.0
ˈɪ	ˈa	0.546
ˈɪ	ˈɪ	0.454
ˈɪø̯	ˈɔ	0.601
ˈɪø̯	ˈʊ	0.399
ˈɪə̯	ˈɛ	0.54
ˈɪə̯	ˈɛɪ̯	0.327
ˈɪə̯	ˈɪ	0.058
ˈʊə̯	ˈɔɪ̯	0.423
ˈʊə̯	ˈɔ	0.234
ˈʊə̯	ˈɛ	0.212
ˈʊə̯	ˈɛɪ̯	0.076
χ	ɡ	0.601
χ	χ	0.221
χ	k	0.11
χ	-	0.068
