Afrikaans	Yiddish	probability
b	b	1.0
d	t	0.601
d	d	0.372
d	-	0.046
f	f	0.875
f	b	0.075
f	p	0.04
j	j	1.0
k	k	0.643
k	χ	0.312
k	ɡ	0.052
l	l	1.0
m	m	0.883
m	ɛ_m	0.069
m	m_ɛ	0.054
n	n	0.928
p	f	0.781
p	p	0.218
r	ʀ	0.971
s	z	0.492
s	ʃ	0.332
s	s	0.061
s	k_s	0.049
s	ʧ	0.045
s_k	ʃ	1.0
t	t	0.327
t	ʦ	0.225
t	s	0.171
t	-	0.119
t	d	0.106
v	v	0.802
v	b	0.132
v	f	0.066
w	v	0.776
w	ˈɛɪ̯	0.22
ŋ	ŋ_ɡ	0.551
ŋ	ŋ	0.178
ŋ	n	0.114
ŋ	k	0.073
ŋ	ɡ	0.072
ə	ə	0.513
ə	-	0.364
ə	ɪ	0.12
ɦ	h	1.0
ɫ	l	0.929
ɫ	ɡ_l	0.046
ɫ	ʎ	0.039
ˈa	ˈa	0.738
ˈa	ˈɔ	0.151
ˈa	ˈɛ	0.061
ˈa	-	0.04
ˈi	ˈɪ	0.458
ˈi	ˈaɪ̯	0.241
ˈi	ˈɛ	0.174
ˈi	-	0.1
ˈoːi̯	ˈɔɪ̯	0.521
ˈu	ˈʊ	0.569
ˈu	ˈɪ	0.428
ˈuː	ˈʊ	0.521
ˈuːi̯	ˈʊ	0.521
ˈyː	ˈaɪ̯_ə	1.0
ˈæ	ˈa	0.5
ˈæ	ˈɪ	0.5
ˈæː	ˈa	0.5
ˈæː	ˈɛ	0.5
ˈœ	ˈɪ	0.517
ˈœ	ˈɔ	0.297
ˈœ	ˈɛ	0.125
ˈœi̯	ˈaɪ̯	0.521
ˈœu̯	ˈa_l	0.514
ˈœu̯	l	0.232
ˈœu̯	ˈɔɪ̯	0.232
ˈœɪ̯	ˈɔɪ̯	0.774
ˈœɪ̯	ˈaɪ̯	0.206
ˈɑː	ˈɔ	0.628
ˈɑː	ˈa	0.174
ˈɑː	ˈɛ	0.169
ˈɔ	ˈʊ	0.547
ˈɔ	ˈɔ	0.407
ˈɔ	ˈɔɪ̯	0.056
ˈɔː	-	0.299
ˈɔː	ˈɔ	0.299
ˈə	ˈɪ	0.901
ˈə	ˈaɪ̯	0.096
ˈəɪ̯	ˈaɪ̯	0.541
ˈəɪ̯	ˈɛɪ̯	0.251
ˈəɪ̯	ˈɪ_n	0.149
ˈəɪ̯	ˈɪ	0.055
ˈɛ	ˈɛ	0.592
ˈɛ	ˈɪ	0.397
ˈɛː	ˈɔ	1.0
ˈɪ	ˈa	0.141
ˈɪø̯	ˈɔ	0.408
ˈɪø̯	ˈʊ	0.269
ˈɪə̯	ˈɛ	0.491
ˈɪə̯	ˈɛɪ̯	0.294
ˈɪə̯	ˈɪ	0.143
ˈɪə̯	ˈaɪ̯	0.068
ˈʊə̯	ˈɔɪ̯	0.701
ˈʊə̯	ˈɛ	0.112
ˈʊə̯	ˈɔ	0.106
ˈʊə̯	ˈɛɪ̯	0.065
χ	ɡ	0.502
χ	χ	0.297
χ	k	0.123
χ	-	0.069
