Middle High German	Alsatian	probability
ˈɑː_n	n	1.0
ˈɑː	ˈoː	1.0
ˈøː	ˈeː	1.0
ˈøy̯	ˈai̯	1.0
ˈæː	ˈæː	1.0
ˈyə̯	ˈiː	1.0
ˈy_n	ˈi_n	1.0
ˈuə̯	ˈʊː	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈou̯_w	ˈɔi̯	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈe	ˈe	1.0
ʦ	ʦ	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɡ_ə	ʋ	1.0
ɛ	eː	1.0
ə_ɡ̊	i	1.0
ə_n	ə	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	f	1.0
t	t	1.0
s̻ː	s	1.0
s̻	s	1.0
s_t	ʃ_t	1.0
s	s	1.0
r	ʁ	1.0
p͡f	p͡f	1.0
p	p	1.0
oː	ə_t	1.0
nː	n	1.0
n_ə	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
k	kʰ	1.0
j	j	1.0
i	i	1.0
fː	f	1.0
f	f	1.0
d̥	d̥	1.0
d	d̥	1.0
ˈuː	ˈyː	0.915
n	n	0.915
ˈou̯	ˈʊː	0.86
ˈi	ˈi	0.845
w	ʋ	0.793
b	b̥	0.792
h	h	0.783
ˈo	ˈo	0.764
ˈei̯	ˈəi̯	0.717
ˈɑ	ˈɒ	0.674
ɡ	ɡ̊	0.645
ˈyː	ˈiː	0.627
x	ʃ	0.612
ə	-	0.57
xː	-	0.548
ˈy	ˈe	0.507
ˈy	ˈu	0.493
ˈiː	ˈiː	0.457
xː	x	0.452
ə	ə	0.396
ˈiː	ˈi	0.391
ˈyː	ˈi	0.373
ɡ	j	0.355
ˈɛ	ˈæ	0.347
ˈɛ	ˈe	0.292
ˈɛ	ˈæː	0.246
x	x	0.236
ˈɑ	ˈɒː	0.233
h	-	0.217
b	-	0.208
ˈo	ˈu	0.189
ˈei̯	-	0.166
ˈi	ˈiː	0.155
ˈiː	ˈei̯	0.152
x	k	0.152
ˈou̯	ˈœ	0.14
ˈei̯	ˈei̯	0.116
w	w	0.116
ˈɛ	-	0.115
ˈɑ	-	0.093
w	-	0.091
ˈuː	ˈøi̯	0.085
n	ə	0.067
