Logudorese	Bellunese	probability
d	d	1.0
f	f	1.0
j	-	1.0
l	l	1.0
p	p	1.0
rː	r	1.0
s	s	1.0
sː	s	1.0
t	t	1.0
ŭ	-	1.0
z	-	1.0
ŋ	ŋ	1.0
ɖː	-	1.0
β	v	1.0
a	a	0.931
b	k_w	0.061
m	m	0.761
u	-	0.181
ɡ	ɡ	0.371
ˈe	ˈɛ	0.421
ɣ	ɡ	0.52
ˈe	j_ˈe	0.102
ˈu	ˈu	0.572
e	-	0.123
o	-	0.213
r	r	0.833
ɣ	z	0.173
ˈa	ˈa	0.973
ˈi	ˈe	0.483
ˈo	ˈo	0.643
b	ɡ	0.064
i	e	0.494
k	-	0.274
n	ŋ	0.154
ð	-	0.364
e	a	0.095
e	e	0.665
ɡ	ð	0.595
e	o	0.056
e	ˈi	0.06
r	-	0.086
ˈe	ˈe	0.476
b	v	0.587
i	-	0.257
k	k	0.447
o	o	0.787
ð	d	0.517
ɣ	-	0.307
ˈi	ˈi	0.517
ˈo	ˈɔ	0.357
b	b	0.288
k	θ	0.28
ˈu	ˈo	0.428
a	-	0.069
i	i	0.249
m	ŋ	0.239
n	n	0.799
r	j	0.069
u	o	0.819
ð	t	0.119
