Bellunese	Neapolitan	probability
f	f	1.0
i	i	1.0
u	u	1.0
w	w	1.0
ɲ	ɲː	1.0
ˈa	ˈa	1.0
ˈu	ˈu	1.0
n	-	0.061
n	n_ə	0.1
p	k	0.141
v	v	0.751
ŋ	ŋ	0.21
ʧ	k_j	0.131
ˈo	ˈɔ	0.351
ˈɔ	ˈɔ	0.601
s	s	0.532
z	ʃ	0.82
ˈe	ˈɛ	0.322
ˈɔ	w_ˈɔ	0.312
θ	-	0.052
b	b_w	0.263
k	k	0.853
t	tː_ə	0.213
t	t	0.553
z	s	0.133
ð	-	0.383
ˈe	-	0.063
d	-	0.214
j	ʎː	0.264
l	l_ə	0.184
m	mː	0.064
n	nː	0.094
s	ʃ	0.224
ɡ	ɡ	0.554
ˈe	ˈi	0.4
θ	ʃː	0.114
e	i	0.205
l	-	0.095
n	n	0.745
r	r	0.145
v	p	0.195
ŋ	ɲː	0.085
ŋ	n_ə	0.475
ˈe	ˈe	0.215
ˈi	i	0.05
ˈi	ˈi	0.95
ˈo	ˈo	0.305
ˈɛ	ˈe	0.085
m	m	0.936
r	t_ɾ	0.056
r	ɾ	0.406
s	sː_ə	0.136
ŋ	n	0.216
ɡ	k	0.446
ˈo	ˈu	0.296
θ	ʃ	0.776
a	a	0.117
a	ə	0.87
b	v	0.737
e	-	0.127
k	kː	0.147
o	o	0.067
s	ʃː	0.107
t	tː	0.097
ð	ʤ	0.617
ˈɔ	ˈu	0.087
d	t	0.318
d	d	0.468
j	j	0.718
l	l	0.378
o	ə	0.758
r	ɾ_ə	0.328
θ	ʦ	0.058
e	ə	0.619
l	lː_ə	0.279
o	u	0.159
p	p	0.859
t	t_ə	0.119
ʧ	kː_j	0.869
ˈɛ	ˈɛ	0.369
ˈɛ	j_ˈɛ	0.509
