Elfdalian	West Frisian	probability
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	-	1.0
ˈɛː	ʋ	1.0
ˈɔ̃ː	-	1.0
ˈɔː_v	ˈɪə̯_l	1.0
ˈɔ	ˈa	1.0
ˈɑː_ɣ	ˈɛi̯	1.0
ˈœ	ˈi_l	1.0
ˈæ	-	1.0
ˈyœ̯	-	1.0
ʥː	ɣ	1.0
ʥ	ɡ	1.0
ʏ	ˈuə̯	1.0
ɽ_ˈʉːə̯	l_ˈuə̯	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡ	ɡ	1.0
ɛ_r	r	1.0
ɔ	ə	1.0
ɑ̃	ə_n	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
t	t	1.0
sː	s	1.0
rː	ˈuː_ɣ̥	1.0
r_d	d̥	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_d	d̥	1.0
kː	k	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
s	s	0.894
k	k	0.885
ɑ	ə	0.844
ɛ	ə	0.831
r	r	0.796
n	n	0.783
j_ˈʉːə̯	ˈiə̯	0.722
ˈʉə̯	-	0.701
ˈoː	-	0.683
ˈiːe̯	ˈiə̯	0.677
ʨ	k	0.672
ˈʏː	j	0.667
ˈɔː	ˈiə̯	0.665
ˈœː	ˈɪə̯	0.662
ˈɪ	ˈɪ	0.66
tː	t	0.635
w	ʋ	0.629
ʉ	ɪ	0.612
ˈo	-	0.608
ɡː	-	0.605
ˈyːœ̯	ˈiə̯	0.585
v	-	0.58
ˈʉːə̯	-	0.53
tʰ	ʦ	0.529
ˈɑːu̯	ˈuː	0.526
ˈæː	-	0.512
ˈʉː	-	0.509
ˈʏ	ˈɛː	0.5
ˈʏ	ˈy	0.5
ˈɑːu̯	-	0.474
tʰ	-	0.471
j	-	0.454
v	v	0.42
ˈyːœ̯	-	0.415
ˈɑ	-	0.41
ˈæː	ˈɪə̯	0.407
ˈɪː	ˈɪ	0.398
ˈɑːi̯	ˈi	0.397
ɡː	ɣ̥	0.395
ˈo	ˈɔ	0.392
ˈɪː	ˈi	0.388
ʉ	ə	0.388
ð	d̥	0.384
ˈʉ	ˈɔ	0.374
w	v	0.371
tː	χ_t	0.365
ˈɪ	-	0.34
ˈɑ	ˈa	0.338
ˈœː	j	0.338
ˈɔː	ˈaː	0.335
ˈʏː	-	0.333
ʨ	j	0.328
ˈiːe̯	-	0.323
ˈoː	ˈɪə̯	0.317
ɣ	-	0.314
ð	-	0.312
ˈʉːə̯	ˈuə̯	0.31
ˈɑːi̯	ˈiː	0.31
ˈʉː	ˈeː	0.306
ð	d	0.305
ˈɑː	ˈaː	0.304
ˈʉə̯	ˈoə̯	0.299
ɣ	ɣ	0.298
ˈɑːi̯	j	0.293
j_ˈʉːə̯	ˈiː	0.278
ˈɛ	ˈɛ	0.269
ˈʉ	ˈu	0.264
ˈɑː	ˈa	0.254
ˈɑː	-	0.254
ˈɛ	-	0.253
ˈɑ	ˈɔː	0.253
j	j	0.243
ˈɪː	ˈiː	0.214
ˈɛ	ˈɪ	0.205
ɣ	ˈɛi̯	0.199
ɣ	ɣ̥	0.189
ˈɑː	ˈɛː	0.187
ˈʉː	ˈuː	0.185
n	ˈɪ_n	0.174
ˈʉ	ˈɪ	0.169
ɛ	-	0.169
ɑ	j_ə	0.156
j	ˈɛ	0.151
j	ˈiə̯	0.151
r	-	0.14
ˈɛ	ˈɛi̯	0.136
ˈɛ	ˈoə̯	0.136
ˈʉ	ˈuː	0.131
ˈʉːə̯	l	0.127
k	χ	0.115
ˈæː	ˈai̯	0.081
r	ˈuə̯_r	0.065
ˈʉ	ˈɔu̯	0.061
s	s_v	0.051
