Swabian	Swabian	probability
ˈʌ	ˈɛ_ɾ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː_b	ˈeː_v	1.0
ˈɛ_s	ˈeː_t	1.0
ˈɔə̯	ˈu	1.0
ˈuː	ˈu	1.0
ˈuə̯	ˈu	1.0
ˈiː	-	1.0
ˈeə̯	n	1.0
ˈa_l	ˈɑu̯	1.0
ʦ	t	1.0
ʣ	t	1.0
ʌ_#>	#>	1.0
ʋ	ʋ	1.0
ʃ_d	s_t	1.0
ʁ	ɾ	1.0
ɪ	-	1.0
ɡ_s	s	1.0
ŋ	ŋ	1.0
ç_d	χ_t	1.0
ç	k	1.0
x_d	χ_t	1.0
t	d̥	1.0
p͡f	p	1.0
n	n	1.0
m	m	1.0
l_e	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h	ɦ	1.0
eə̯	i	1.0
d_ʌ	ɾ	1.0
b̥͡f	p	1.0
b_#>	v̥_#>	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
ʕ	ɾ	0.889
ˈɔː	ˈaː	0.857
ʌ	ə_ɾ	0.85
a	ə_n	0.848
ˈoː	ˈoː	0.846
b	b	0.826
#>	n_#>	0.75
ɡ	χ	0.744
ˈo	ˈɔ	0.722
ˈiə̯	ˈi	0.714
ˈa	ˈɑ	0.704
ˈəi̯	ˈɛi̯	0.667
ˈe	ˈɪ	0.667
x	k	0.667
f	v	0.639
ˈi	ˈɪ	0.6
ˈao̯	ˈœy̯	0.588
d	d	0.574
ˈɔe̯	ˈeː	0.571
ˈɔ	ˈoː	0.571
ˈɛː	ˈeː	0.5
ˈɛː	ˈaː	0.5
ˈɛ	ˈɛ	0.5
ʃ	s	0.455
ˈu	ˈɔ	0.444
ˈɔ	ˈɔ	0.429
s	z	0.422
ˈi	-	0.4
ˈae̯	ˈeː	0.4
d	d̥	0.382
ˈeː	ˈoː	0.375
ˈeː	-	0.375
ʃ	s_χ	0.364
ˈu	ˈʏ	0.333
ˈe	ˈɛ	0.333
ˈaː	ˈɑ_n	0.333
ˈaː	ˈɑ	0.333
ˈaː	ˈaː	0.333
x	χ	0.333
s	t	0.333
ˈao̯	ˈoː	0.294
ˈiə̯	ˈu	0.286
ˈeː	ˈi	0.25
f	p	0.25
#>	ə_#>	0.25
ˈɛ	ˈɑ	0.222
ˈu	-	0.222
ˈɔe̯	ˈɛi̯	0.214
ˈɔe̯	ˈeː_n	0.214
ˈae̯	ˈɛi̯	0.2
ˈae̯	ˈœy̯	0.2
ˈae̯	ˈi	0.2
s	z̥	0.2
ˈa	ˈaː	0.185
ʃ	z	0.182
ˈɛ	ˈaː	0.167
ˈəi̯	ˈɪ	0.167
ˈəi̯	ˈyː	0.167
ˈo	-	0.167
ˈoː	ˈaː	0.154
ʌ	ɾ	0.15
ˈɔː	ˈøː	0.143
ˈao̯	-	0.118
ɡ	k	0.116
ˈɛ	-	0.111
ˈo	ˈoː	0.111
ˈa	-	0.111
ʕ	ˈi_ɾ	0.111
b	v̥	0.087
b	v	0.087
a	n	0.087
a	-	0.065
f	ə_v̥	0.056
f	v̥	0.056
