Campidanese	Logudorese	probability
ă	ă	1.0
b	b	1.0
bː	bː	1.0
ĕ	ĕ	1.0
f	f	1.0
k	k	1.0
l	l	1.0
m	m	1.0
nː	nː	1.0
o	o	1.0
ŏ	ŏ	1.0
p	p	1.0
rː	rː	1.0
s	s	1.0
sː	sː	1.0
t	t	1.0
ŭ	ŭ	1.0
v	v	1.0
z	z	1.0
ð	ð	1.0
ɖː	ɖː	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɲː	ɲː	1.0
ʃː	s_k	1.0
ʒ	ɣ	1.0
ʣ	ʣ	1.0
ʤ	ʣ	1.0
ʦ	ʦ	1.0
ˈe	ˈe	1.0
ˈo	ˈo	1.0
ˈu	ˈu	1.0
β	β	1.0
n	n	0.961
i	e	0.702
j	j	0.432
r	r	0.992
d	ɖ	0.073
j	k_r	0.294
u	u	0.994
e	i	0.075
e	e	0.925
i	i	0.285
j	e	0.275
ŋ	ŋ	0.175
ŋ	m	0.825
ʧ	k_r	0.25
ʧ	k	0.75
d	d	0.927
ˈa	ˈa	0.97
ˈi	ˈi	0.98
a	a	0.99
