West Frisian	Proto-Germanic	probability
b	b	0.935
d	d	0.554
d	θ	0.265
d	ð	0.18
d̥	ð	0.484
d̥	θ	0.442
d̥	d	0.074
f	ɸ	0.773
f	β	0.162
f	xʷ	0.066
h	x	0.967
j	-	0.383
j	j	0.187
j	ˈeu̯	0.122
j	ɑ	0.082
j	ɣ	0.07
k	k	0.891
k	kʷ	0.076
l	l	0.887
m	m	0.909
m	mː	0.058
n	n	0.662
n	nː	0.084
n	ɑ_n	0.082
n	r_n	0.054
p	p	0.954
r	r	0.837
r	z	0.081
s	s	0.964
t	t	0.816
t	θ	0.108
v	w	0.728
v	β	0.272
z	s	0.591
z	ɣ	0.409
ŋ	ŋ	0.698
ŋ	ɡ	0.187
ŋ	n	0.09
ɕ	s	1.0
ə	ɑ	0.437
ə	-	0.106
ə	ɑ̃	0.096
ə	ɔː	0.077
ə	ɔ̃ː	0.053
ɡ	ɣ	1.0
ɣ	ɣ	0.903
ɣ	w	0.053
ɪ	ŋ	0.818
ɪ	u	0.129
ɪ	ɑ	0.052
ʋ	w	0.844
ʋ	xʷ	0.156
ʦ	θ	0.522
ʦ	t	0.478
ˈa	ˈɑ	0.954
ˈaː	ˈɑ	0.625
ˈaː	ˈɑi̯	0.17
ˈaː	ˈe	0.138
ˈeː	ˈu	0.421
ˈeː	ˈɑi̯	0.202
ˈeː	ˈɑu̯	0.15
ˈeː	ˈe	0.131
ˈeː	ˈi	0.097
ˈi	ˈiː	0.422
ˈi	ˈi	0.384
ˈi	ˈe	0.072
ˈi	ˈɑi̯	0.061
ˈi	ˈɔː	0.061
ˈiə̯	ˈɑi̯	0.274
ˈiə̯	ˈɛː	0.179
ˈiə̯	ˈeu̯	0.157
ˈiə̯	ˈe	0.157
ˈiə̯	ˈɔː	0.142
ˈiə̯	ˈɑ	0.064
ˈiː	ˈi	0.398
ˈiː	ˈiː	0.337
ˈiː	ˈɑ	0.123
ˈiː	ˈeu̯	0.118
ˈoə̯	ˈu	0.637
ˈoə̯	ˈɛː	0.192
ˈoə̯	ˈɑ	0.088
ˈoː	ˈuː	0.733
ˈoː	ˈɔː	0.267
ˈu	ˈu	1.0
ˈuə̯	ˈɔː	0.652
ˈuə̯	ˈiu̯	0.134
ˈuə̯	ˈu	0.095
ˈuə̯	ˈuː	0.058
ˈuː	ˈuː	0.463
ˈuː	ˈu	0.348
ˈuː	ˈiː	0.086
ˈuː	ˈɑu̯	0.066
ˈu̯o	ˈɔː	1.0
ˈy	ˈu	0.944
ˈy	ˈɑi̯	0.056
ˈyː	ˈu	0.607
ˈyː	ˈiu̯	0.283
ˈyː	ˈuː	0.11
ˈø	ˈe	0.667
ˈø	ˈɛː	0.333
ˈøə̯	j	1.0
ˈɔ	ˈu	0.714
ˈɔ	ˈe	0.111
ˈɔ	ˈi	0.079
ˈɔ	ˈuː	0.076
ˈɔu̯	wː	0.426
ˈɔu̯	ˈu	0.371
ˈɔu̯	w	0.203
ˈɔː	ˈɑ	0.69
ˈɔː	ˈe	0.31
ˈɛ	ˈe	0.425
ˈɛ	ˈi	0.243
ˈɛ	ˈɑ	0.148
ˈɛ	ˈiu̯	0.067
ˈɛ	ˈiː	0.062
ˈɛ	ˈɑu̯	0.056
ˈɛi̯	ˈɑ	0.33
ˈɛi̯	ɑi̯	0.26
ˈɛi̯	ˈe	0.244
ˈɛi̯	ˈɑi̯	0.098
ˈɛi̯	ˈɛː	0.067
ˈɛː	ˈɑ	0.506
ˈɛː	ˈu	0.209
ˈɛː	r	0.105
ˈɛː	ˈɑi̯	0.105
ˈɛː	r_ˈɑ	0.076
ˈɪ	ˈi	0.343
ˈɪ	ˈu	0.207
ˈɪ	ˈɑ	0.126
ˈɪ	ˈɑu̯	0.073
ˈɪ	-	0.056
ˈɪ	ˈuː	0.052
ˈɪə̯	ˈɑu̯	0.444
ˈɪə̯	ˈeu̯	0.157
ˈɪə̯	ˈɑ	0.147
ˈɪə̯	ˈe	0.137
ˈɪə̯	ˈɑi̯	0.09
χ	x	0.516
χ	ɣ	0.412
χ	z	0.053
