Limburgish	Old Norse	probability
b	b	0.979
d	d	0.482
d	θ	0.432
d	-	0.052
f	v	0.556
f	f	0.358
f	mː	0.087
i	ɑː	1.0
j	ð	0.475
j	l	0.18
j	-	0.168
j	ˈoː	0.115
k	kʰ	0.314
k	k	0.252
k	ɡ	0.119
k	c	0.098
k	kː	0.068
k	ɟː	0.059
l	l	0.848
l	lː	0.116
m	m	0.876
m	mː	0.068
n	n	0.639
n	nː	0.181
n	-	0.127
p	p	0.778
p	v	0.106
p	pː	0.072
s	s	0.761
s	sː	0.138
s	k_s	0.056
t	t	0.5
t	ð	0.213
t	tʰ	0.115
t	d	0.106
v	f	0.715
v	v	0.175
v	kʰ	0.062
w	lː	1.0
x	ɣ	0.29
x	tː	0.263
x	k	0.169
x	-	0.1
x	ɡː	0.091
x	s	0.067
z	s	1.0
ŋ	ŋ	1.0
ə	ɑ	0.396
ə	i	0.25
ə	-	0.225
ə	a	0.058
ɡ	ʝː	1.0
ɣ	ɡ	0.547
ɣ	ɣ	0.265
ɣ	ɟ	0.136
ɣ	-	0.052
ɦ	h	0.908
ɦ	ç	0.092
ɪ	ɑ	0.816
ɪ	u	0.184
ɪː	ˈi	1.0
ʀ	r	0.808
ʀ	rː	0.064
ʃ	c	0.744
ʃ	s	0.221
ʦ	ʦ	1.0
ˈaː	ˈɑ	0.783
ˈaː	-	0.132
ˈaː	ˈa	0.071
ˈeː	j	0.484
ˈeː	ˈe	0.223
ˈeː	ˈeː	0.09
ˈeː	ˈi	0.05
ˈi	ˈɑː	0.379
ˈi	ˈiː	0.189
ˈi	ˈeː	0.108
ˈi	ˈɛː	0.096
ˈi	ˈi	0.096
ˈi	ˈɛi̯	0.058
ˈiː	ˈiː	0.685
ˈiː	ˈɑː	0.146
ˈiː	ˈyː	0.119
ˈiː	ˈi	0.05
ˈoː	ˈo	0.287
ˈoː	ˈu	0.286
ˈoː	ˈoː	0.268
ˈoː	ˈyː	0.159
ˈu	ˈɑu̯	0.578
ˈu	ˈɑː	0.382
ˈuː	ˈuː	0.845
ˈuː	ˈøy̯	0.09
ˈuː	ˈu	0.064
ˈv	f	1.0
ˈyː	ˈɒu̯	0.49
ˈyː	ˈuː	0.176
ˈyː	ˈøy̯	0.159
ˈyː	-	0.068
ˈyː	ˈɛ	0.056
ˈyː	ˈyː	0.051
ˈæ	ˈɑ	0.842
ˈæ	ˈeː	0.079
ˈæ	ˈo	0.079
ˈæː	ˈɑ	0.54
ˈæː	ˈɛ	0.287
ˈæː	ˈe	0.093
ˈæː	j_ˈɑ	0.081
ˈøː	ˈøː	0.322
ˈøː	ˈoː	0.264
ˈøː	ˈy	0.134
ˈøː	ˈeː	0.108
ˈøː	ˈyː	0.092
ˈøː	ˈo	0.08
ˈœ	ˈy	0.777
ˈœ	ˈɑ	0.181
ˈœi̯	ˈyː	0.446
ˈœi̯	ˈu	0.347
ˈœi̯	ˈøy̯	0.207
ˈœː	ˈo	1.0
ˈɑ	ˈɑ	0.37
ˈɑ	ˈɛ	0.344
ˈɑ	ˈɑː	0.137
ˈɑ	w	0.091
ˈɑ	ˈɛː	0.058
ˈɑː	ˈɔ	0.567
ˈɑː	ˈɑ	0.234
ˈɑː	ˈa	0.172
ˈɒː	ˈɑː	0.705
ˈɒː	ˈɑ	0.118
ˈɒː	ˈe	0.056
ˈɔ	ˈu	0.442
ˈɔ	ˈɔː	0.327
ˈɔ	ˈy	0.128
ˈɔ	ˈɔ	0.053
ˈɔ	ˈoː	0.051
ˈɔu̯	a	0.397
ˈɔu̯	ˈuː	0.397
ˈɔu̯	ˈɑu̯	0.205
ˈɔː	ˈɑu̯	0.56
ˈɔː	ˈu	0.166
ˈɔː	ˈøy̯	0.126
ˈɔː	ˈo	0.079
ˈɔː	ˈɑ	0.069
ˈɛ	ˈiː	0.419
ˈɛ	ˈe	0.306
ˈɛ	ˈi	0.201
ˈɛ	ˈyː	0.073
ˈɛi̯	ˈiː	1.0
ˈɛː	ˈɛi̯	0.475
ˈɛː	ˈɔ	0.3
ˈɛː	ˈi	0.225
ˈɛːi̯	ˈɛi̯	0.684
ˈɛːi̯	ˈɛ	0.316
ˈɪ	ˈu	0.3
ˈɪ	ˈøː	0.3
ˈɪ	w	0.152
ˈɪ	ˈy	0.152
ˈɪ	ˈi	0.096
ˈɪː	ˈi	0.481
ˈɪː	ˈu	0.133
ˈɪː	ˈy	0.133
ˈɪː	ˈiː	0.098
ˈɪː	ˈøː	0.091
ˈʊ	ˈu	1.0
ˈʊː	ˈu	0.351
ˈʊː	ˈo	0.301
ˈʊː	ˈoː	0.075
ˈʊː	ˈy	0.069
ˈʊː	ˈɑː	0.064
ˈʊː	ˈɑ	0.052
ˈʏ	ˈi	0.678
ˈʏ	ˈu	0.322
ˈʏː	ˈɛ	0.409
ˈʏː	ˈy	0.331
ˈʏː	ˈo	0.26
β	v	0.529
β	-	0.268
β	x	0.14
