Pennsylvania German	Old English	probability
ˈʊ_n	ˈuː	1.0
ˈɔː_ɑ	ˈæɑ̯_r	1.0
ˈɔɪ̯	ˈæː_j	1.0
ˈoː_n	ˈoː_n	1.0
ˈeː_s	ˈɑː_t	1.0
ˈaɪ̯_l	l	1.0
ˈa_n	ˈoː	1.0
ʃ_l	s_l	1.0
ɣ	-	1.0
ə_m	m	1.0
t	t	1.0
n_ʃ	ʃː	1.0
h	h	1.0
eː	iːy̯_n	1.0
b	b	0.948
ɾ	r	0.88
m	m	0.877
ˈʊ	ˈu	0.834
ʋ	w	0.83
ˈuː	ˈoː	0.8
ŋ	ŋ_ɡ	0.78
ˈaʊ̯	ˈuː	0.765
ˈiː	ˈeːo̯	0.747
d̥	d	0.746
ə	ɑ_n	0.725
ɡ	ɡ	0.709
f	f	0.708
ˈoː	ˈæːɑ̯	0.668
ˈɪ	ˈi	0.664
n	n	0.641
d	θ	0.637
k	k	0.609
ˈɔ	ˈo	0.598
j	j	0.574
s	s	0.565
ʃ	s	0.543
ˈaɪ̯	ˈiː	0.535
ˈɛː	ˈeo̯	0.53
ˈeː	ˈɑː	0.522
ˈɛ	ˈe	0.501
ɪ	i	0.5
ˈɔː	ˈæːɑ̯	0.496
l	l	0.487
ˈa	ˈɑ	0.486
l	ɫ	0.471
ʃ	ʃ	0.457
ɡ̊	ʤ	0.442
j	ɣ	0.426
ˈaː	ˈæɑ̯	0.419
ç	k	0.404
ˈɔ	ˈu	0.402
ɪ	-	0.4
ɡ̊	ɣ̊	0.382
s	t	0.377
ʦ	t	0.369
ɑ	r	0.36
ˈoː	ˈæː	0.332
ˈaː	ˈo_r	0.324
ʦ	tː	0.315
ʦ	r_t	0.315
ˈɛː	-	0.303
k	ʧ	0.296
ɑ	e_r	0.294
ɡ	j	0.291
ˈaɪ̯	ˈeːo̯	0.265
ˈɔː	ˈæ	0.263
ˈeː	-	0.259
ˈaː	ˈy	0.257
x	x	0.254
d̥	t	0.254
ˈiː	ˈeː	0.253
x	ç	0.245
ç	j	0.243
d	d	0.237
ˈaʊ̯	-	0.235
ŋ	ŋ	0.22
f	p	0.201
ˈuː	ˈeː	0.2
x	ʧ	0.198
ç	-	0.191
x	k	0.188
ɡ̊	k	0.175
ˈɛː	ˈiːy̯	0.167
ˈɛ	-	0.167
ç	ʧ_e	0.162
n	nː	0.159
ˈɪ	-	0.157
ˈeː	ˈiːy̯	0.146
ʋ	v	0.146
ˈɪ	ˈy	0.138
ə	n	0.138
ɑ	o_r	0.138
ˈa	ˈæ	0.13
ˈɛ	ˈɛ	0.128
ˈa	-	0.127
ɑ	e	0.124
ˈɛ	ˈi	0.123
ˈɔː	ˈɑ	0.121
ˈɔː	-	0.121
n	n_d	0.119
x	xː	0.115
ˈa	ˈi	0.11
ˈa	ˈæɑ̯	0.103
ɪ	iː	0.1
ˈʊ	ˈoː	0.098
m	-	0.088
ɑ	r_e	0.084
ə	-	0.083
ˈaɪ̯	ˈyː	0.082
ˈɛ	ˈeo̯	0.081
n	-	0.081
ˈaɪ̯	ˈiːy̯	0.079
ˈeː	ˈæː	0.073
ˈʊ	-	0.068
ɾ	h_r	0.064
s	z	0.058
ɾ	r_ˈeːo̯	0.056
d	ð	0.055
ə	ɑ	0.054
b	p	0.052
k	ʧː	0.05
