Hessian	Hessian	probability
ˈɛ̃ː	ˈoː	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈæː	-	1.0
ˈuː_d̥	ˈuː	1.0
ˈuː_#>	ˈʉː_#>	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈœ_n	1.0
ˈoĩ̯	ˈiː	1.0
ˈĩː	ˈœ_nː	1.0
ˈẽː	-	1.0
ˈãː	ˈæɪ̯_n	1.0
ʤ̥	k	1.0
ʒ̊	-	1.0
ʃ_t	tː	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	#>	1.0
ʀ	ɾ	1.0
ɣ̊_l	l	1.0
ɣ̊	-	1.0
ɛː	ə_n	1.0
ə_#>	#>	1.0
ɑ	ə	1.0
ɐ_ʦ	ʈː	1.0
ɐ_n	ɳ	1.0
ŋ_ɡ̊	kː	1.0
ŋ	ŋː	1.0
z̥	t	1.0
x_t	tː	1.0
v̥	p	1.0
t_#>	#>	1.0
s_#>	#>	1.0
p	b	1.0
oː	ˈøː	1.0
n_d̥_#>	nː_#>	1.0
l_ˈi	l_ˈyː	1.0
l_d̥	lː	1.0
j	-	1.0
f_#>	#>	1.0
d̥_æ̆	ɾ	1.0
d̥_#>	#>	1.0
b̥	b	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ʀ	<#_ɾ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#	<#_d	1.0
#>	nː_#>	1.0
ə	ə	0.906
ˈɑ	ˈɑ	0.857
s	s	0.839
v	ʋ	0.818
h	h	0.812
m	m	0.792
kʰ	kʰ	0.778
l	l	0.765
ɡ̊	ɡ	0.75
ˈau̯	ˈʉː	0.7
ˈæ	-	0.667
ˈo	ˈʉ	0.667
ɐ	ɾ	0.667
f	f	0.64
x	k	0.625
ˈɛ	ˈɛ	0.6
b̥_#>	ʋ_#>	0.6
ˈiː	ˈyː	0.583
ˈɔ	ˈuː	0.571
ˈai̯	ˈiː	0.556
ʦ	tʰ	0.545
n	nː	0.524
ˈu	ˈʉ	0.5
ˈoi̯	ˈyː	0.5
ˈoi̯	-	0.5
ˈeː	ˈøː	0.5
ˈeː	-	0.5
ˈe	ˈɛ	0.5
ˈe	-	0.5
ˈa	ˈɑ	0.5
ˈi	ˈɪ	0.481
æ̆	ə_ɾ	0.471
ˈaː	-	0.455
ˈoː	ˈøː	0.444
ˈai̯	ˈɛ	0.444
ˈɑː	ˈoː	0.438
ˈɔ	-	0.429
k	ɡː	0.429
ˈɛ	-	0.4
b̥_#>	#>	0.4
d̥	d	0.391
t	d	0.385
x	-	0.375
d̥	tʰ	0.348
ˈæ	ˈɛ	0.333
ˈoː	-	0.333
ˈo	ˈɔ	0.333
ˈa	ˈɑː	0.333
ɐ	ɾ_ə	0.333
n	n	0.333
t	tʰ	0.308
t	t	0.308
ˈau̯	-	0.3
æ̆	ɾ	0.294
k	kʰ	0.286
k	-	0.286
ˈaː	ˈøː	0.273
ʦ	tː	0.273
ˈɑː	ˈɑː	0.25
ˈu	ˈuː	0.25
ˈu	-	0.25
ˈiː	-	0.25
ʃ	ʂ	0.25
ʃ	s_k	0.25
ʃ	s	0.25
ʃ	k	0.25
ɡ̊	-	0.25
l	lː	0.235
ˈoː	ˈʉː	0.222
ˈi	ˈʏ	0.222
kʰ	ç	0.222
m	mː	0.208
ˈɑː	-	0.188
h	j	0.188
ˈaː	ˈœ	0.182
ʦ	-	0.182
v	-	0.182
ˈiː	ˈeː	0.167
ˈa	-	0.167
f	p	0.16
ˈi	-	0.148
ˈɑ	ˈɔ	0.143
n	-	0.143
d̥	t	0.13
d̥	-	0.13
ˈɑː	ˈɑ_ɾ	0.125
æ̆	ə	0.118
æ̆	-	0.118
s	t	0.097
ə	n	0.094
ˈaː	ˈœʏ̯	0.091
f	ʋ	0.08
f	pʰ	0.08
ˈi	ˈɛ	0.074
ˈi	ˈiː	0.074
s	ʂ	0.065
