Emilian	Emilian	probability
ˈɛ_r	ˈa_i	1.0
ˈɔː_v	ˈo_u	1.0
ˈæ	ˈɛ	1.0
ˈi	ˈi	1.0
ˈaː_t	ˈa_t	1.0
ˈaː_s	ˈa_ʃ	1.0
ˈa_ŋ	ˈa_n	1.0
ˈa_j	ˈi	1.0
ʤ	ʤ	1.0
ŋ_#>	n_u_#>	1.0
ð	ʤ	1.0
w	w	1.0
v_#>	i_#>	1.0
t_a	t_a	1.0
t_#>	#>	1.0
s_ˈa	s_ˈa	1.0
s_#>	s_u_#>	1.0
r_#>	#>	1.0
p	p	1.0
n_a	a	1.0
n_#>	#>	1.0
m	m	1.0
k	k	1.0
f	f	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈo	<#_ˈu	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
s	s	0.897
t	t	0.875
a	a	0.873
<#_d	<#_d	0.818
ˈaː	ˈa	0.8
n	n	0.769
ˈe	ˈi	0.765
ˈuː	ˈu	0.727
ŋ	n	0.727
ɡ	ɣ	0.667
z	ʒ	0.667
l	l	0.667
i	i	0.667
ˈɔː	ˈɔ	0.643
v	b	0.64
ˈɛː	ˈɛ	0.6
r	ɾ	0.591
ˈʌu̯	ˈu	0.583
ʧ	ɣ	0.571
ˈʌ	ˈu	0.556
ˈɛ	ˈa	0.5
ˈo	ˈu	0.5
ˈa	ˈi	0.5
v_e	β_a	0.5
v_e	ɾ	0.5
d	ð	0.471
#>	u_#>	0.469
u	u	0.455
ʧ	-	0.429
e	i	0.429
ˈʌu̯	ˈɔ	0.417
ˈiː	ˈi	0.412
θ	ʧ	0.4
ˈɛː	ˈe	0.4
ˈɔ	ˈɔ	0.4
ˈɔ	ˈu	0.4
ɲ	nː	0.4
ɲ	n_ʤ	0.4
#>	i_#>	0.398
ˈiː	ˈɛ	0.353
d	-	0.353
θ	-	0.333
ɡ	ɡ	0.333
i	-	0.333
ˈa	ˈɛ	0.312
j	ɾ	0.294
ˈuː	ˈo	0.273
ŋ	ŋ	0.273
u	ɔ	0.273
u	o	0.273
ˈe	-	0.235
j	ɭː	0.235
j	-	0.235
n	nː	0.231
ˈʌ	ˈo	0.222
ˈʌ	-	0.222
ˈɛ	ˈɛ	0.219
ˈɔː	ˈo	0.214
ˈɔ	ˈo	0.2
ˈaː	-	0.2
ɲ	ɲ	0.2
e	u	0.19
ˈɛ	ˈe	0.188
ˈo	ˈɔ	0.188
ˈo	ˈo	0.188
ˈa	ˈa	0.188
<#_d	<#	0.182
d	d	0.176
z	z_u	0.167
z	i	0.167
v	β	0.16
r	r	0.152
ˈɔː	-	0.143
e	ɾ	0.143
e	ɛ	0.143
θ	t	0.133
θ	k	0.133
ˈo	-	0.125
t	ð	0.125
l	ɖː	0.125
v	-	0.12
ˈiː	ɾ	0.118
ˈiː	-	0.118
j	ˈi	0.118
j	j	0.118
r	i	0.106
l	ɭː	0.104
l	-	0.104
s	ʃ	0.103
e	-	0.095
a	-	0.095
ˈɛ	ɾ_ˈa	0.094
v	i	0.08
