Ligurian	Québécois French	probability
b	b	1.0
f	f	1.0
o	-	1.0
ɲ	-	1.0
ʃ	s	1.0
ʧ	-	1.0
ˈuː	u	1.0
ˈyː	y	1.0
ˈø	-	1.0
ˈɔː	ɑɔ̯	1.0
d	ʣ	0.131
e	ɛ_ʁ	0.091
e	-	0.101
e	œ	0.201
k	k	0.141
s	ʃ	0.061
s	s	0.701
u	øʏ̯	0.141
u	-	0.261
ŋ	-	0.631
ʒ	s	0.21
ˈa	-	0.091
ˈe	w	0.471
ˈi	i	0.061
ˈi	ɪ	0.791
ˈu	u	0.111
ˈy	y	0.781
ˈøː	l_#>	0.121
ˈøː	ʁ_#>	0.381
d	-	0.482
j	-	0.622
k	-	0.072
m	-	0.132
n	-	0.192
r	-	0.22
u	j	0.072
w	-	0.72
ŋ	n	0.062
ʤ	ɡ	0.052
ˈa	l_a	0.062
ˈe	ã	0.172
ˈeː	j_ɛ	0.2
ˈeː	-	0.32
ˈiː	i_ʁ	0.122
ˈiː	w	0.142
e	ã	0.123
e	ɛ	0.163
ɡ	ɡ	0.293
ʤ	ʒ	0.273
ˈaː	l_e	0.083
ˈeː	ɪ	0.103
ˈeː	j	0.243
ˈu	ʊ	0.083
ˈu	ɒ̃ʊ̯̃	0.193
ˈu	ɔ	0.413
ˈøː	-	0.123
ˈɔ	-	0.583
ˈɛ	ɛ	0.653
a	œ	0.054
e	æɛ̯	0.074
e	i	0.114
e	e	0.134
p	p	0.934
ˈeː	ɛ	0.134
a	æɛ̯	0.135
i	-	0.695
u	ẽɪ̯̃	0.05
u	ɒ̃ʊ̯̃	0.155
z	-	0.125
z	ʒ	0.875
ˈaː	e	0.435
ˈe	a	0.055
ˈe	-	0.205
ˈu	-	0.125
ˈøː	j_#>	0.085
i	u	0.176
k	ʃ	0.756
s	-	0.226
u	i	0.176
ʤ	-	0.676
ˈu	ɥ	0.076
ˈɛː	w	0.056
a	ɛ	0.097
a	a	0.137
d	d	0.387
ɡ	-	0.707
ˈi	-	0.147
ˈiː	j	0.157
ˈɔ	ɔ	0.417
ˈɛ	-	0.347
ˈɛː	æɛ̯_ʁ	0.097
ˈɛː	e	0.287
ˈɛː	æɛ̯	0.527
j	ɛ	0.378
l	l	0.958
m	m	0.868
n	n	0.808
r	ʁ	0.78
t	t	0.358
t	-	0.608
v	-	0.078
w	u	0.28
ŋ	ẽɪ̯̃	0.308
ˈaː	-	0.08
ˈaː	oʊ̯	0.278
ˈiː	i	0.578
a	-	0.559
i	i	0.129
v	v	0.919
ʒ	-	0.79
ˈa	a	0.269
ˈa	æɛ̯	0.569
ˈy	-	0.219
ˈøː	œ	0.29
