North Frisian	Saterland Frisian	probability
ˈɛi̯_#>	ˈaːi̯_#>	1.0
ˈɛi̯	ˈɛɪ̯	1.0
ˈɛ	ˈɛɪ̯	1.0
ˈɔu̯	ˈoːu̯	1.0
ˈɔ_r	ˈoːu̯_d	1.0
ˈɔ	ˈoːu̯	1.0
ˈɒː_d	ˈɔː_t	1.0
ˈœ	ˈoːu̯	1.0
ˈøː	ˈuː	1.0
ˈuː	ˈoː	1.0
ˈiː_tʲ_#>	ˈeː_t_#>	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈeː_r	ˈiː_r	1.0
ˈeː_#>	ˈi_#>	1.0
ˈai̯_ŋ	ˈɪ_ŋ	1.0
ˈai̯	ˈɛɪ̯	1.0
ŋ	ŋ	1.0
x	x	1.0
v_ˈʊ	v_ˈɪ	1.0
v_ə	v_ə	1.0
tʲ	t	1.0
t_ə	t_ə	1.0
t_#>	t_#>	1.0
s_t	s_t	1.0
s	d	1.0
r_#>	r_#>	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ə	n_ə	1.0
m_ə	m_ə	1.0
m_#>	m_#>	1.0
lʲ_#>	l_#>	1.0
lʲ	l_d	1.0
l	l	1.0
k_#>	k_#>	1.0
j_#>	x_#>	1.0
i_ŋ_#>	x_#>	1.0
i	ɪ_x	1.0
f_#>	f_#>	1.0
dʲ_#>	d_#>	1.0
d_#>	d_#>	1.0
<#_ˈɔu̯	<#_ˈuː	1.0
<#_ˈɒ	<#_ˈaː	1.0
<#_ˈyː	<#_ˈuː	1.0
<#_ˈuː	<#_ˈoː	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
#>	n_#>	1.0
ə_#>	ə_#>	0.889
n_#>	n_#>	0.87
r	r	0.867
s_#>	s_#>	0.833
t	t	0.818
k	k	0.778
l_#>	l_#>	0.727
ˈʊ	ˈʊ	0.688
<#_ɡ	<#_ɣ	0.667
<#	<#_s	0.667
ə	ə	0.647
ˈaː	ˈuː	0.6
v	v	0.583
ˈi	ˈi	0.571
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈɒː	ˈɔː	0.5
ˈɒː	ˈaː	0.5
ˈyː	ˈuː	0.5
ˈyː	ˈoː	0.5
ˈeː	ˈɛː	0.5
ˈeː	ˈɛ	0.5
z	z	0.5
z	t	0.5
w	ɣ_ə	0.5
w	ɣ	0.5
nʲ	n_d	0.5
nʲ	-	0.5
d	j	0.5
d	-	0.5
n	n	0.476
ʃ	k	0.471
ˈi	ˈiː	0.429
n	n_d	0.429
ʃ	s_k	0.412
ˈaː	ˈiː	0.4
ˈɒ	ˈɔː	0.375
ˈɒ	ˈa	0.375
ˈɔː	ˈɔː	0.364
ˈɔː	ˈoː	0.364
ˈa	ˈɪ	0.357
ə	-	0.353
ˈiː	ˈeː	0.333
j	-	0.333
<#	<#_v	0.333
ˈiː	j_ˈoː	0.296
ˈa	ˈɛː	0.286
ˈɔː	ˈɔ	0.273
l_#>	l_ə_#>	0.273
ˈɒ	ˈɛ	0.25
v	w	0.25
k	k_ə	0.222
j	ɣ_j	0.222
j	ɣ	0.222
j	j	0.222
ˈa	-	0.214
ˈʊ	j_ˈʊ	0.188
ˈiː	ˈiː	0.185
t	d	0.182
v	v_ə	0.167
s_#>	z_ə_#>	0.167
<#_ɡ	<#_ɡ	0.167
<#_ɡ	<#_j	0.167
ˈa	d	0.143
n_#>	#>	0.13
ˈʊ	ˈɔ	0.125
ʃ	-	0.118
ˈiː	ˈɛɪ̯	0.111
ə_#>	#>	0.111
n	n_ə	0.095
ˈiː	ˈoː	0.074
r	ə	0.067
r	-	0.067
