Saterland Frisian	German	probability
a	-	1.0
b	b	1.0
h	h	1.0
l	l	1.0
m	m	1.0
w	ˈaɪ̯	1.0
z	z	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ˈaːi̯	ˈaː	1.0
ˈyː	ˈɔʏ̯	1.0
ˈɪ	ˈɪ	1.0
d	d̥	0.201
t	d	0.1
ˈoːu̯	ˈɔ	0.111
ˈoːu̯	ˈa	0.371
ˈɛɪ̯	ˈeː	0.061
ˈɛɪ̯	ˈaː	0.101
ˈɛɪ̯	ˈa	0.111
ˈɛː	ˈɛ	0.091
ˈɛː	ˈa	0.391
ˈʊ	ˈɔ	0.151
k	k	0.182
k	kʰ	0.302
v	v	0.882
ˈi	ˈiː_ɐ	0.302
ˈuː	ˈaʊ̯	0.372
ˈɛ	ˈaɪ̯	0.132
j	ˈeː	0.263
s	s	0.3
t	ʦ	0.283
t	t	0.3
x	ɡ̊	0.073
ˈa	ə_#>	0.053
ˈa	ˈɛ	0.243
ˈa	ˈa	0.323
ˈiː	ˈiː	0.133
ˈɔ	ˈa	0.473
ˈɛɪ̯	ˈyː	0.233
f	f	0.894
n	n	0.984
ə	ə_n	0.134
ə	-	0.424
ɣ	ɡ	0.94
ˈaː	ˈa	0.484
ˈeː	ˈɛ	0.144
ˈi	ˈiː	0.244
ˈi	ˈaɪ̯	0.454
ˈoː	-	0.204
ˈoːu̯	ˈuː	0.324
ˈuː	ˈɔ	0.134
ˈɔː	ˈa	0.554
ˈɛ	ˈaː	0.414
ˈɛ	ˈɛ	0.454
ˈʊ	ˈʊ	0.814
j	-	0.715
p	p͡f	0.295
p	f	0.705
ɪ	-	0.435
ɪ	ɪ	0.565
ˈeː	ˈøː	0.145
ˈiː	ˈaɪ̯	0.115
d	tʰ	0.216
d	t	0.466
f	b̥	0.106
r	ʁ	0.436
s	ʃ	0.276
x	k_n	0.066
ɣ	-	0.06
ˈaː	ˈaɪ̯	0.516
ˈeː	ˈeː	0.186
ˈeː	ˈaɪ̯	0.526
ˈiː	ˈɪ	0.476
ˈoː	ˈaː	0.126
ˈoː	ˈa	0.196
ˈoː	ˈoː	0.246
ˈoːu̯	ˈoː	0.146
ˈuː	ˈʊ	0.206
d	d	0.117
r	t_ɐ	0.057
r	ɐ	0.507
s	z	0.357
x	ç	0.597
ˈoː	ˈaʊ̯	0.197
ˈɔ	ˈɔ	0.527
ˈɔː	ˈʊ	0.187
ˈɛɪ̯	ˈaɪ̯	0.247
k	x	0.128
k	ç	0.388
v	b	0.118
x	x	0.248
ˈa	n_#>	0.348
ˈiː	ˈaː	0.118
ˈiː	ˈɛ	0.158
ˈuː	ˈoː	0.148
ˈɛː	ˈʏ	0.518
t	s	0.29
ə	ə	0.39
ˈuː	ˈɔʏ̯	0.109
ˈɔː	ˈaː	0.259
ˈɛɪ̯	ˈɛ_ɐ	0.059
ˈɛɪ̯	ˈuː	0.189
