Sassarese	Sassarese	probability
ʧː	k_ʊ	1.0
ʧ	k_ɫ	1.0
ʦ_i	k_ɛ̃ː	1.0
ʤː	-	1.0
ʣ	d_i	1.0
ʒ	t_i	1.0
ʎː	lʲ	1.0
ʃː	s_k	1.0
ɬ_t	t	1.0
ɡː_u	k_ʊ̃ː	1.0
ɡː	k	1.0
ɡ_r	k_r	1.0
ŋ	ŋ	1.0
z	s	1.0
x	k	1.0
v	w	1.0
t_i	t_ɛ̃ː	1.0
t	t	1.0
s_i	s_eː	1.0
s	s	1.0
r_u	ɫ_ʊ̃ː	1.0
r_i	r_ɛ̃ː	1.0
p_u	p_ʊ̃ː	1.0
p_j	p_ɫ	1.0
p	p	1.0
o	-	1.0
nː	n	1.0
m	m	1.0
lː	lʲː	1.0
l	lʲ	1.0
kː	kː	1.0
k_a	k_a	1.0
j_mː	r_m	1.0
j_#>	s_#>	1.0
i_ɬ	s	1.0
i_pː	s_p	1.0
i_n	ɛ_n	1.0
f	f	1.0
e	-	1.0
dː_a	t_ãː	1.0
a_r	ɛ_r	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_a	<#_au̯	1.0
<#	<#_h	1.0
n	n	0.94
mː	m	0.875
b	b	0.87
ˈɛ	ˈɛ	0.824
ʦ	k	0.8
bː	p	0.8
d	d	0.765
#>	r_ɛ_#>	0.743
ʤ	ɡ	0.727
ˈɔ	ˈɔ	0.718
sː	sː	0.714
ˈu	ˈuː	0.696
a	ãː	0.694
u	ʊ̃ː	0.655
ˈi	ˈiː	0.605
r	r	0.605
ʦː	t_i	0.6
xː	k	0.6
u_r	ɔ_r	0.6
rː	r_n	0.6
ɬ	s	0.571
ˈa	ˈa	0.565
β	w	0.533
ˈo	ˈoː	0.516
ɲː	ŋ_ɡ	0.5
ɲː	n	0.5
w	kʷ	0.5
w	-	0.5
k	kʷ	0.5
k	k	0.5
<#_ˈo	<#_ˈɔ	0.5
<#_ˈo	<#	0.5
dː	t	0.435
ɬ	r	0.429
tː	k_t	0.429
ɡ	ɡ	0.417
ɡ	k	0.417
ʦː	ɫ_s	0.4
xː	r_k	0.4
u_r	ʊ_ɫ	0.4
rː	rː	0.4
j	ɫ	0.4
j	r	0.4
ˈa	ˈaː	0.391
dː	lʲː	0.391
ˈe	ˈɛ	0.364
tː	tː	0.357
ˈe	ˈeː	0.333
i	ɛ̃ː	0.309
ˈu	ˈʊ	0.304
sː	r_s	0.286
ʤ	j	0.273
β	b	0.267
r	ɫ	0.263
ˈo	ˈʊ	0.258
tː	t	0.214
β	p	0.2
ʦ	kʷ	0.2
j	-	0.2
bː	bː	0.2
d	t	0.176
ɡ	ɡʷ	0.167
a	a	0.167
i	ɪ	0.162
ˈo	ˈɔ	0.161
#>	ɛ_#>	0.143
ˈi	ˈɪ	0.132
ˈi	ɛ	0.132
b	w	0.13
mː	mː	0.125
ˈe	ˈɪ	0.121
ˈɛ	ˈɪ	0.088
i	ɛ	0.088
dː	ɡ_ɪ	0.087
dː	-	0.087
a	aː	0.083
ˈi	ˈi	0.079
r	ɛ_r	0.079
ˈɔ	ˈʊ	0.077
ˈɔ	ˈoː	0.077
ˈɔ	ˈau̯	0.077
u	ɛ̃ː	0.076
i	ɛ̃	0.074
i	iː	0.074
ˈo	ˈu	0.065
ˈe	ˈeː_r	0.061
ˈe	r	0.061
n	-	0.06
ˈɛ	-	0.059
d	tʰ	0.059
#>	ʊ̃ː_#>	0.057
#>	ɛ̃ː_#>	0.057
ˈi	ˈiː_w	0.053
r	-	0.053
ˈɔ	-	0.051
u	ɔ	0.05
