Western Lombard	Western Lombard	probability
ˈɛ_#>	ɾ_ɛ_#>	1.0
ˈɔ_s	ˈo_s	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈɑː	ˈa	1.0
ˈœ	-	1.0
ˈỹ	-	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi_n	1.0
ˈiː	ˈi	1.0
ˈa	ˈa	1.0
ɛ	a_ð	1.0
w	-	1.0
ũ	-	1.0
s_a	ʦ_a	1.0
r_t	ɾ	1.0
r_n	r_u	1.0
m_#>	m_i_n_ɛ_#>	1.0
m	m	1.0
l_s	ɾ_ʦ	1.0
l_#>	#>	1.0
ẽ	β_a	1.0
d_a	ð_a	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_i	1.0
p	p	0.938
a	a	0.934
f	f	0.893
b	b	0.889
ˈyː	ˈu	0.857
k	k	0.81
ˈi	ˈi	0.8
n	n	0.789
t	t	0.784
ˈũ	ˈɔ_n	0.75
l	l	0.704
ˈã	ˈa_n	0.7
r	ɾ	0.674
ˈuː	ˈu	0.667
s	s	0.667
ˈẽ	ˈe_n	0.6
ʤ	-	0.6
ʒ	-	0.6
y	u	0.6
ˈøː	ˈɔ	0.571
ˈe	ˈɛ	0.571
u	-	0.545
v	b	0.542
ˈu	ˈu	0.538
ˈøː_f	ˈɔ_ɛ	0.5
ˈøː_f	ˈo_u	0.5
ˈeː	ˈɛ	0.5
z	z	0.5
z	-	0.5
ˈɛ	ˈe	0.483
ʧ	k	0.467
ˈɔ	ˈɔ	0.455
ˈøː	ˈo	0.429
ˈe	ˈi	0.429
ɲ	n_ʣ	0.429
i	i	0.429
ˈẽ	ˈɛ_n	0.4
ʤ	ɣ	0.4
ʒ	b	0.4
y	-	0.4
e	i	0.375
#>	u_#>	0.36
ɡ	b	0.357
j	ɾ	0.353
ˈuː	-	0.333
ˈeː	ˈi	0.333
d	-	0.333
#>	ɛ_#>	0.328
ˈɛ	ˈɛ	0.31
ˈã	ˈa	0.3
e	ɛ	0.292
ɲ	ɲ	0.286
ɲ	nː	0.286
ɡ	ɡ	0.286
i	e	0.286
i	-	0.286
ˈɔ	ˈo	0.273
ˈɔ	-	0.273
u	ɔ	0.273
ˈũ	n	0.25
e	e	0.25
d	ð	0.25
d	i_ɣ	0.25
ˈu	ˈɔ	0.231
ˈu	ˈo	0.231
l	ɖː	0.222
ɡ	-	0.214
v	-	0.208
ˈi	ɛ	0.2
#>	ɾ_ɛ_#>	0.2
u	ˈɔ	0.182
j	ʣ	0.176
j	j	0.176
j	-	0.176
r	ɾ_u	0.174
ˈeː	-	0.167
d	ɣ	0.167
ˈyː	ˈɔ	0.143
ɡ	ɣ	0.143
k	ɣ_u	0.143
ˈɛ	ˈi	0.138
ʧ	ɣ	0.133
ʧ	t_u	0.133
ʧ	k_ɾ	0.133
ʧ	j_u	0.133
j	ˈi	0.118
s	ɣ_ɛ	0.111
b	-	0.111
f	ɛ	0.107
n	nː	0.105
n	-	0.105
v	β_ɛ	0.083
v	β	0.083
v	j	0.083
e	-	0.083
t	ð_u	0.081
t	ð	0.081
s	s_k	0.074
l	u	0.074
ˈɛ	ɛ	0.069
a	-	0.066
r	r	0.065
p	b	0.062
t	i_ð	0.054
