Standard Croatian	Macedonian	probability
̌_r	ɾ	1.0
̌	-	1.0
̂	-	1.0
ʨ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʋ_j	v	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	k	1.0
ɡ	ɡ	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
r	r	1.0
p	p	1.0
oː	o	1.0
o_̂	ɔ	1.0
n_a	n_a	1.0
n	n	1.0
m_j	m	1.0
m	m	1.0
l_o	ɫ_o	1.0
l_j	l	1.0
k	k	1.0
j_eː	ɛ	1.0
iː	i	1.0
i	i	1.0
eː	ɛ	1.0
b	b	1.0
a_t	t	1.0
a_r	a_r	1.0
a_n	ɛ_n	1.0
a_m	u_m	1.0
a_k	o_k	1.0
d	d	0.97
z	z	0.947
e	ɛ	0.936
ʒ	ʒ	0.826
o	o	0.82
aː	a	0.781
a	a	0.778
t	t	0.69
uː_̌	u	0.657
l	ɫ	0.627
ʎ	-	0.622
u	u	0.524
u	o_ɫ	0.476
uː	u	0.418
ʎ	ɫ	0.378
uː	a	0.374
l	l	0.373
uː_̌	a	0.343
x	v	0.335
t	-	0.31
x	f	0.275
x	-	0.275
aː	-	0.219
uː	o_ɫ	0.208
ʒ	ʒ̊	0.174
x	x	0.116
o	ɔ	0.105
a	ɔ	0.091
a	ɛ	0.084
o	ɫ	0.075
e	-	0.064
z	ʣ	0.053
