Old West Norse	Palatine German	probability
θ	d̥	1.0
ˈɛː	ˈeː	1.0
ˈɛ_ɡː	ˈɑːɪ̯	1.0
ˈɔː	ˈu	1.0
ˈɒu̯	ˈoː	1.0
ˈøː_nː	ˈĩː	1.0
ˈøy̯	-	1.0
ˈuː_ɣ	j	1.0
ˈo_n	ˈõː	1.0
ˈiː_ð	ˈaɪ̯_d̥	1.0
ˈiː_u	ˈẽː	1.0
ˈeː	ˈiː	1.0
ˈa	ˈɑ	1.0
ʦ	d̥	1.0
ʝː	ˈɑː_n	1.0
ɾ	-	1.0
ɣ_r̥	ɪ_ʃ	1.0
ɡː	ɡ̊	1.0
ɟː	-	1.0
ɟ	ɡ̊	1.0
ɑː	eː	1.0
ɑ_ð	ɑ	1.0
ŋ_ɟ	ŋ	1.0
ð_i	r_ɐ	1.0
ç	h	1.0
x_w	β	1.0
u	-	1.0
tʰ	ʣ̥	1.0
t_ɑ	s_ə	1.0
sː	s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ɐ	1.0
r_n	ɐ_n	1.0
r_i	ɐ	1.0
pː	f	1.0
pʰ	b̥	1.0
p	f	1.0
n̥	n	1.0
nː	n	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kː	ɡ̊	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ɑ	ə	1.0
h	h	1.0
f	f	1.0
e	ˈɛ	1.0
d	d̥	1.0
cː	ɡ̊	1.0
cʰ	kʰ	1.0
c	n_ʃ	1.0
b	b̥	1.0
a	ə	1.0
n	n	0.901
ˈi	ˈɪ	0.882
ŋ	ŋ	0.816
t	s	0.79
ɑ	ə	0.773
ˈuː	ˈau̯	0.765
ˈɛ	ˈɛ	0.764
ˈiː	ˈaɪ̯	0.762
v	β	0.712
k	ʃ	0.707
ɡ	-	0.699
ˈɔ	-	0.669
i	-	0.637
s	s	0.625
kʰ	kʰ	0.623
ˈɑu̯	ˈɑː	0.619
ð	d̥	0.601
ɡ_r̥	ʃ	0.578
ɣ	ʃ	0.552
ˈɑ	ˈɑ	0.551
ˈy	ˈɪ	0.546
r	ɐ	0.543
tː	ʣ̥	0.542
ˈoː	ˈuː	0.54
ˈɑː	ˈoː	0.525
r̥	ɐ	0.515
ˈɛi̯	ˈɛː	0.504
ˈu	ˈu	0.504
ˈyː	ˈaɪ̯	0.501
ˈyː	-	0.499
ˈo	ˈɔ	0.494
r̥	d̥	0.485
ˈøː	-	0.463
tː	x_d̥	0.458
r	r	0.457
ɣ	ɣ̊	0.448
ɡ_r̥	ɐ	0.422
ˈe	ˈɛ	0.421
ð	r	0.399
ˈe	-	0.386
ˈɑu̯	ˈoː	0.381
kʰ	ɡ̊	0.377
j	-	0.375
i	ɐ	0.363
ˈɑ	ˈɑː	0.346
ˈɔ	ˈɑ	0.331
ɡ	ɣ̊	0.301
ˈɛi̯	-	0.273
ˈøː	ˈuː	0.268
ˈøː	ˈiː	0.268
ˈoː	ˈɔ	0.256
j	ˈɪ	0.25
j	ˈiː	0.25
ˈu	-	0.245
ˈɑː	ˈɑ	0.24
ˈiː	ˈɑ̃ɪ̯	0.238
ˈɛ	-	0.236
ˈy	ˈɛ	0.227
ˈy	ˈɔ	0.227
ɑ	-	0.227
ˈɛi̯	ˈeː	0.223
s	ʃ	0.217
t	ʣ̥	0.21
k	x	0.205
ˈoː	-	0.203
ˈe	ˈɛː	0.193
ˈo	ˈu	0.19
ŋ	ɪ	0.184
ˈo	-	0.168
s	ˈɪ	0.158
ˈuː	-	0.155
ˈu	ˈɔ	0.15
ˈo	ˈoː	0.148
j	ˈi	0.125
ˈi	-	0.118
ˈɑː	-	0.11
v	b̥	0.109
ˈɑ	ˈɛ	0.103
ˈu	ˈɛ	0.101
n	ə	0.099
v	-	0.095
k	ɡ̊	0.088
ˈɑː	ˈeː	0.084
v	f	0.084
ˈuː	ˈau̯̯	0.08
