Ladin	French	probability
ˈɛ_ʃ	ɛ	1.0
ˈɛ_n	ɑ̃	1.0
ˈɛ_l	o	1.0
ˈɛ_k	ø	1.0
ˈɔ_s	o	1.0
ˈɔ_n	ɔ̃	1.0
ˈo_s	u	1.0
ˈo_n	ɔ̃	1.0
ˈi_n	ɛ̃	1.0
ˈa_ŋ	ɑ̃	1.0
ˈa_w	o	1.0
ˈa_n	ɛ̃	1.0
ʨ_#>	#>	1.0
ʧ	s	1.0
ʦ_a	s	1.0
ʦ_#>	#>	1.0
ʒ_ɡ	v	1.0
ʃ_e	t_ʁ	1.0
ʃ_#>	#>	1.0
ŋ	-	1.0
w_ˈɛ	œ	1.0
w_ʃ	a	1.0
v_e	ʁ	1.0
u	-	1.0
t_e	t	1.0
t_a_#>	#>	1.0
t_#>	#>	1.0
t	t	1.0
s_t	t	1.0
s_e	s	1.0
s_#>	#>	1.0
s	s	1.0
r_ˈe	ʁ_w	1.0
r_t	ʁ	1.0
r	ʁ	1.0
p_#>	#>	1.0
p	p	1.0
n_a_#>	#>	1.0
n_#>	#>	1.0
m_#>	#>	1.0
l_#>	#>	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈɛ	i	1.0
j_t	a	1.0
i	-	1.0
f_#>	#>	1.0
f	f	1.0
e_r	ʁ	1.0
b	b	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ʃ	<#_e	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_a	<#_a	1.0
v	v	0.917
ˈi	i	0.9
m	m	0.893
l	l	0.882
ˈe_#>	e_#>	0.857
<#_d	<#_d	0.833
ʨ	ʃ	0.783
d	-	0.714
ɡ	ɡ	0.692
ˈɔ	ɔ	0.667
w	-	0.667
e_#>	#>	0.667
d_l	j	0.667
n	n	0.654
a	a	0.647
#>	ʁ_#>	0.636
ˈo_w	œ	0.6
e	-	0.588
ˈu	y	0.545
o	ɔ	0.545
ʒ	ʒ	0.533
ˈɛ	ɛ	0.531
ʥ	ʃ	0.5
ʥ	-	0.5
ɲ	ɲ	0.5
ɲ	ɛ̃	0.5
ˈu	-	0.455
ˈe	w	0.433
j	a	0.429
ˈa	a	0.414
ˈo_w	u	0.4
ˈo	u	0.4
ˈe	ɛ	0.333
w	ɥ	0.333
e_#>	ʁ_#>	0.333
d_l	u	0.333
j	j	0.321
ɡ	-	0.308
d	d	0.286
ˈa	ɛ	0.276
o	u	0.273
ˈo	w	0.267
ʒ	-	0.267
ˈe	-	0.233
ˈɔ	-	0.222
ʨ	s	0.217
ˈo	-	0.2
ʒ	z	0.2
n	ɛ̃	0.192
ˈɛ	-	0.188
o	-	0.182
#>	e_#>	0.182
#>	a_#>	0.182
e	ə	0.176
a	ə	0.176
a	-	0.176
<#_d	<#	0.167
ˈe_#>	#>	0.143
j	-	0.143
ˈa	e	0.138
ˈo	œ	0.133
e	ʒ	0.118
e	ɛ	0.118
ˈɔ	o	0.111
m	-	0.107
j	i	0.107
ˈa	ɑ̃	0.103
ˈi	-	0.1
ˈɛ	i	0.094
v	-	0.083
n	ɑ̃	0.077
n	-	0.077
ˈa	ɛ̃	0.069
ˈɛ	ø	0.062
ˈɛ	j_ɛ	0.062
ˈɛ	j	0.062
l	ʁ	0.059
l	-	0.059
