Icelandic	Icelandic	probability
ˈʏ	ˈu	1.0
ˈɪː	ˈi	1.0
ˈɪ_s	ˈi_s	1.0
ˈɪ	ˈi	1.0
ˈɛːi̯_r	ˈɔː_s	1.0
ˈɛːi̯	ˈɛː	1.0
ˈɛː_#>	#>	1.0
ˈɛi̯	ˈɛː	1.0
ˈɔ	ˈɔ	1.0
ˈɑu̯	ˈa	1.0
ˈœː	-	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈou̯	w_ˈa	1.0
ˈeːi̯	ˈɛː	1.0
ˈaːi̯	-	1.0
ˈaː	ˈa	1.0
ˈai̯	ˈi_j	1.0
ˈa	ˈa	1.0
ʰt͡n̥	t_oː	1.0
ʰp	p	1.0
ɲ	ŋ	1.0
ɣ	-	1.0
ɡ̊ː	d_a	1.0
ɟ̊ː	ɣ	1.0
ɛ	i	1.0
ŋ	ŋ	1.0
ç	h	1.0
x_#>	k_#>	1.0
v_ʏ	f	1.0
u	-	1.0
t͡n̥	n_s	1.0
t	t	1.0
sː	ŋ_k	1.0
s	s	1.0
r_t͡n̥	r_n	1.0
p	p	1.0
n̥	-	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	ʍ	1.0
j_ˈɛː	ˈi	1.0
j_ˈœ	ˈɛ	1.0
j_ˈuː	ˈiu̯	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	k	1.0
c	k	1.0
b̥	b	1.0
<#_θ	<#_θ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_tʰ	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
ʏ_r̥	s	0.933
ɡ̊	ɡ	0.909
r	r	0.824
k	k	0.8
ð	θ	0.778
ɪ_r̥	a_r	0.75
ɟ̊	ɡ	0.75
#>	s_#>	0.739
r̥	s	0.733
ˈœːy̯	ˈɔː	0.714
ɪ	-	0.714
<#	<#_w	0.667
ˈiː	ˈiː	0.636
ˈɑːu̯	ˈeː	0.6
ˈi	ˈi	0.6
a	a_n	0.6
ð_#>	θ_#>	0.571
v	w	0.571
nː	n_θ	0.571
ˈoːu̯	ˈoː	0.545
ˈɔu̯	h	0.5
ˈɔu̯	-	0.5
ˈœ	ˈa	0.5
ˈœ	-	0.5
ˈau̯	ˈa	0.5
ˈau̯	-	0.5
ʰt	t	0.5
ʰt	h_t	0.5
ʏ	u	0.5
ˈɛː	ˈi	0.429
ð_#>	#>	0.429
nː	nː	0.429
ˈɑːu̯	-	0.4
ˈi	-	0.4
t͡l̥	lː	0.375
t͡l̥	l	0.375
ˈɛ	ˈa	0.364
ʏ	-	0.333
<#	<#_ˈu	0.333
ˈɛː	ˈa	0.286
ˈɛː	-	0.286
ˈœːy̯	ˈɔ	0.286
ɪ	a	0.286
ˈɛ	-	0.273
ˈoːu̯	w	0.273
r̥	r	0.267
#>	n_#>	0.261
a	oː	0.257
ɪ_r̥	r	0.25
ɟ̊	ɡʷ	0.25
t͡l̥	l_θ	0.25
v	β	0.238
ð	ð	0.222
j	ˈɛ	0.222
j	ˈiu̯	0.222
j	ˈi	0.222
j	-	0.222
k	-	0.2
ˈɛ	ˈɛ	0.182
ˈɛ	ˈi	0.182
ˈoːu̯	-	0.182
ˈiː	ˈiu̯	0.182
ˈiː	-	0.182
r	-	0.176
ʏ	iː	0.167
j	ˈɛː	0.111
v	b	0.095
v	-	0.095
ɡ̊	ɡʷː	0.091
ʏ_r̥	a	0.067
a	n	0.057
a	-	0.057
