Neapolitan	Neapolitan	probability
ˈɛ_#>	ˈɔ_j_r_#>	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈu_j	ˈu_s	1.0
ˈo_ɲː	ˈõ	1.0
ˈa_t	ˈɛ	1.0
ˈa_#>	ˈe_r_#>	1.0
ʧː	-	1.0
ʧ	j_s	1.0
ʦː	j_s	1.0
ʦ	ʦ	1.0
ʤː	-	1.0
ʤ	ʤ	1.0
ʎː	ʎ	1.0
ʃ_ə	j_s	1.0
ɲ	ɲ	1.0
ɡ_ə_#>	k_#>	1.0
ɡ	ɡ	1.0
ə_n	ə_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
v_ə	f	1.0
tː	t	1.0
t_ə	ə	1.0
rː	r	1.0
r	r	1.0
p_ə	f	1.0
nː	n	1.0
n_ˈo	n_ˈɔ	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_j	ʎ	1.0
k_ə_#>	#>	1.0
k_ə	j	1.0
k_w	k	1.0
k_j	p_l	1.0
fː	f	1.0
f	f	1.0
dː	j_t	1.0
d_ə	t	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
<#_ˈa	<#_ˈã	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʤ	1.0
<#	<#_ʤ	1.0
n	n	0.913
ə	ə	0.851
ɾ	r	0.843
w	w	0.833
v	v	0.815
p	p	0.812
s	s	0.8
t	t	0.742
ˈɛ	ˈɛ	0.688
ə_ɾ	r	0.667
ʃː	j_s	0.6
o	-	0.6
kː	ʧ	0.6
e	-	0.6
tː_ə	j_t	0.571
#>	ə_#>	0.571
w_ˈɔ	ˈũ	0.556
j	j	0.556
j_ˈɛ	ˈɛ	0.533
k	k	0.528
ɲː	ɲ	0.5
ɲː	-	0.5
sː	s	0.5
sː	l	0.5
ʃ	ʦ	0.478
a	a	0.476
w_ˈɔ	ˈɔ	0.444
j	l	0.444
i	-	0.438
tː_ə	t	0.429
#>	s_#>	0.429
ˈi	ˈi	0.421
u	u	0.417
ˈo	ˈũ	0.4
ʃː	ʦ	0.4
o	u	0.4
kː	-	0.4
e	ə	0.4
k	ʧ	0.361
ˈa	ˈa	0.333
ə_ɾ	d_r	0.333
j_ˈɛ	ˈi	0.333
ˈɛ	ˈẽ	0.312
ˈu	ˈy	0.312
ˈo	ˈu	0.3
ˈo	-	0.3
ˈɔ	ˈɔ	0.294
ˈu	ˈu	0.281
ˈe	ˈɔ_j	0.278
u	-	0.25
a	-	0.238
ˈe	ˈɔ	0.222
ʃ	e_s	0.217
s	-	0.2
ˈa	ˈã	0.196
t	-	0.194
a	ã	0.19
i	ə	0.188
i	j	0.188
v	b	0.185
ˈɔ	ˈɛ	0.176
ˈɔ	ˈy	0.176
ˈɔ	w_ˈɛ	0.176
ˈa	ˈɛ	0.176
ˈe	ˈẽ	0.167
ˈe	ˈe	0.167
w	-	0.167
u	y	0.167
u	ũ	0.167
ˈi	ˈɛ	0.158
ˈi	ˈĩ	0.158
ˈa	ˈã_j	0.157
ˈa	ˈe	0.137
j_ˈɛ	ˈẽ	0.133
ʃ	f_l	0.13
ˈu	ˈỹ	0.125
ˈu	ˈũ	0.125
i	i	0.125
ˈɔ	ˈũ	0.118
ˈe	-	0.111
k	ʧ_j	0.111
ɾ	-	0.098
a	ɔ	0.095
ˈu	w	0.094
p	v	0.094
p	-	0.094
ʃ	s	0.087
ʃ	-	0.087
n	-	0.087
ˈi	ˈɔ_j	0.079
ˈi	ˈi_r	0.079
t	r	0.065
ˈu	-	0.062
i	ĩ	0.062
ˈɔ	ˈo	0.059
ɾ	j	0.059
ˈe	o	0.056
ˈi	ˈɔ	0.053
ˈi	ˈẽ	0.053
