Slovak	Macedonian	probability
b	b	1.0
d	d	1.0
i	i	1.0
j	j	1.0
k	k	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	1.0
t	t	1.0
z	z	1.0
ɟ	d	1.0
ɪ̯ˈɛ	ˈɛ	1.0
ɫ	ɫ	1.0
ɲ	n	1.0
ʃ	ʃ	1.0
ʊ̯ˈɔ	ˈo	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈi	ˈi	1.0
ˈr̩	ˈr̩	1.0
ˈuː	ˈu	1.0
ˈæ	ˈɛ	1.0
ˈɔ	ˈo	1.0
ˈɫ̩	ˈo_ɫ	1.0
a	ɛ	0.151
c	t	0.821
r	r	0.961
ɔ	ɛ	0.141
ʋ	v	0.971
ˈa	ˈɛ	0.121
l	ɫ	0.232
ˈu	ˈa	0.713
ˈɛ	-	0.063
v	v	0.794
x	f	0.284
ɦ	-	0.104
ɛ	u	0.125
ɛ	ɛ	0.875
ʎ	l	0.355
ʎ	ɫ	0.645
v	f	0.206
x	k	0.716
ɦ	ɡ	0.896
ˈɛ	ˈɛ	0.86
ˈu	ˈu	0.287
ˈɛ	ˈo	0.077
l	l	0.768
a	a	0.849
c	-	0.179
ɔ	o	0.859
ˈa	ˈa	0.879
