Czech	Proto-Slavic	probability
b	b	1.0
f	v	1.0
m	m	1.0
m̩	m_ĭ	1.0
r̝	r	1.0
r̝̊	r	1.0
v	v	1.0
z	z	1.0
ɟ	d	1.0
ɲ	ɲ_ĭ	1.0
ʃ	ʒ_ĭ	1.0
ʒ	ʒ	1.0
ʦ	ĭ_ʦ	1.0
ˈaː	-	1.0
ˈl̩	l	1.0
ˈu	ûː	1.0
ˈuː	ǒ	1.0
ˈɛː	ɛ̌	1.0
c	t_ĭ	0.061
k	k	0.751
ˈa	-	0.421
ˈo	ǒ	0.091
ˈo	o	0.351
ˈo	ô	0.521
ˈɛ	-	0.061
p	b_ŭ	0.092
x	ɡ_ŭ	0.142
ʧ	ʧ_e	0.222
ˈiː	ɛˀ	0.82
a	ǎ	0.643
r	oˀ_r	0.193
s	s_ŭ	0.203
ɦ	ɡ	0.913
ˈr̩	ĭ̂_r	0.333
ˈɛ	ɛ̂ː	0.13
ˈɛ	ê	0.153
l	o_l	0.054
o	o	0.934
t	t_ĭ	0.234
ˈɛ	ĭ̌	0.164
ˈɪ	i	0.194
iː	ŭ_j	0.495
iː	ŭ	0.505
j	ɛː	0.445
j	ẽ	0.555
l	l	0.906
o	ǒ	0.066
t	t_i	0.206
ˈɪ	ɨ̌	0.806
a	-	0.07
a	a	0.287
d	d	0.997
n	n	0.957
r	r	0.807
s	s	0.797
ɛ	ŭ	0.077
ɛ	-	0.277
ɦ	ɡ_ôː	0.087
ˈr̩	r	0.667
ˈɛ	e	0.407
p	p	0.908
t	t	0.448
x	x	0.858
ɛ	ɛ̌	0.188
ʧ	ʧ	0.778
ˈiː	ǐ	0.18
c	t	0.939
k	k_ŭ	0.249
t	t_ŭ	0.089
ɛ	e	0.459
ˈa	aˀ	0.579
