Gascon	Gascon	probability
ˈɛ_j	ˈa	1.0
ˈu_t	ˈu_tː	1.0
ˈo	ˈo_l	1.0
ˈi	ˈi	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈɔ	1.0
ˈa_#>	ˈa_#>	1.0
ʤ	-	1.0
ʎ_ɔ	ə	1.0
ʃ	ʃː	1.0
ɡ	ɡ	1.0
ɔ	ə	1.0
z_ɔ	s_ə	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
t_ˈa	t_ˈa	1.0
t_#>	#>	1.0
s_ˈe	s_ˈi	1.0
s_ˈa	s_ˈa	1.0
s_t	s_t	1.0
r_t	ɾ_t	1.0
p_l	k_j	1.0
p	p	1.0
nː	-	1.0
n_#>	n_t_ə_#>	1.0
m_j	m	1.0
m_i	mː	1.0
lː	ʃ	1.0
k_ɾ	k_ɾ	1.0
k_ɔ	kː_ə	1.0
k_#>	k_ə_#>	1.0
j_ʃ	ʃː	1.0
j_t	tː	1.0
j_r	t_ɾ	1.0
h	f	1.0
f	fː	1.0
e_s	ʃ	1.0
e_h	ʃ	1.0
e_#>	ɾ_ə_#>	1.0
a_r	r	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_j	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_b	<#	1.0
<#	<#_l	1.0
ˈa	ˈa	0.946
k	k	0.946
ˈy	ˈu	0.9
ɲ	ɲː	0.889
n	n	0.875
#>	ə_#>	0.869
ð	t	0.818
m	m	0.8
d	d	0.8
u	u	0.778
b	v	0.739
a	a	0.739
l	l	0.719
ŋ	n	0.654
r	ɾ	0.647
β	v	0.636
w_#>	l_ə_#>	0.636
ʒ	ʤ	0.6
ɾ	ɾ	0.6
ˈɔ	w_ˈɔ	0.571
ʦ	ʃ_ə	0.571
ʎ	ʎː	0.545
i	i	0.5
i	-	0.5
ʎ	kː_j	0.455
j	ə	0.455
e	ə	0.455
ɣ	k	0.444
ˈɔ	ˈɔ	0.429
ˈu	ˈu	0.429
w	w	0.429
ˈɛ	j_ˈɛ	0.417
ʒ	ʤː	0.4
z	ʃ	0.4
z	-	0.4
ˈɛ	ˈɛ	0.375
β	p	0.364
w_#>	v_ə_#>	0.364
j	j	0.364
ɣ	ɡ	0.333
s	ʃ	0.333
ˈu	ˈo	0.321
ɾ	r	0.32
ˈe	ˈe	0.317
t	lː	0.31
s	s	0.306
ʦ	ʦː	0.286
t	tː	0.276
ŋ	ŋ	0.269
b	b	0.261
s	-	0.25
e	i	0.242
ɣ	-	0.222
u	-	0.222
ˈe	ˈɛ	0.22
w	ə	0.214
w	-	0.214
t	t	0.207
z	z	0.2
d	ə	0.2
ð	ɾ	0.182
j	-	0.182
ˈu	w_ˈɔ	0.179
r	ɾ_n	0.176
r	r	0.176
ˈe	-	0.171
ˈe	ˈi	0.146
ʦ	ʧ	0.143
w	ˈɔ	0.143
a	ˈa	0.13
a	-	0.13
ˈɛ	ˈɛ_ɾ	0.125
n	nː	0.125
l	j	0.125
e	e	0.121
m	mː	0.12
ɲ	ɲ	0.111
#>	ɾ_ə_#>	0.103
ˈy	-	0.1
l	lː	0.094
e	ə_ɾ	0.091
e	-	0.091
ˈɛ	ˈe	0.083
ɾ	-	0.08
m	-	0.08
ŋ	nː	0.077
ˈe	ˈɔ	0.073
ˈe	j_ˈɛ	0.073
ˈu	ˈɔ	0.071
t	d_ə	0.069
t	-	0.069
l	-	0.062
s	ʃː	0.056
s	p	0.056
ˈa	w	0.054
k	ɡ	0.054
