Western Lombard	Romansch	probability
m	m	1.0
p	p	1.0
y	i	1.0
z	ʒ	1.0
ɲ	ɲ	1.0
ˈã	ˈa	1.0
ˈe	ˈeː	1.0
ˈĩ	ˈi_n	1.0
ˈoː	ˈa	1.0
ˈœ	ʎ	1.0
a	ə	0.871
d	-	0.211
i	ə	0.281
l	l	0.861
n	n	0.931
t	n_t	0.081
t	ʨ	0.111
ʧ	-	0.201
ˈa	ˈa	0.491
ˈẽ	ˈɛ	0.181
ˈũ	ˈu	0.051
ˈyː	ˈu	0.181
ˈɑː	ˈaː	0.461
ˈɔ	ˈɔː	0.251
i	-	0.332
j	-	0.182
s	ʦ	0.072
u	u	0.792
ˈa	ˈaː_r	0.392
ˈeː	ˈa	0.142
ˈuː	ˈuː	0.62
ˈɛ	ˈa	0.082
e	j	0.103
f	f_j	0.053
k	ʨ	0.553
r	r	0.93
t	t	0.743
w	w	0.193
ˈu	ˈuː	0.493
ˈɑː	ˈɔ	0.103
ˈɛ	ˈa_j	0.113
ˈɛ	ˈɛː	0.253
l	ʎ	0.084
s	ʃ	0.264
v	-	0.064
ʤ	ʥ	0.24
ˈẽ	ˈɛ_n	0.324
ˈi	ˈa	0.24
ˈi	ˈiː	0.524
ˈyː	ˈiː	0.324
ˈøː	ˈɛ	0.484
ˈɛ	ˈɛ	0.364
b	-	0.175
ɡ	ʥ	0.055
ʒ	ʥ	0.175
ˈẽ	n	0.495
b	b	0.746
j	l	0.806
t	d	0.066
v	v	0.936
ʒ	ʃ	0.736
ʤ	-	0.76
ˈa	ˈaː	0.086
ˈi	ˈiː_r	0.236
ˈøː	ˈɔ	0.516
ˈɑː	ˈa	0.436
f	f	0.947
i	i	0.387
k	k	0.267
r	-	0.07
w	-	0.807
ɡ	ɡ	0.847
ˈiː	ˈiː	0.957
ˈu	ˈu	0.507
ˈyː	ˈuː	0.197
ˈɔ	ˈu	0.207
k	-	0.18
s	s	0.618
u	o	0.208
ɡ	-	0.098
ˈeː	ˈa_j	0.858
ˈuː	ˈu	0.38
ˈyː	ˈi	0.298
ˈɔ	ˈɔ	0.498
ˈɛ	ˈe	0.188
a	-	0.129
b	v	0.079
d	d	0.789
e	e	0.119
e	-	0.269
e	ə	0.49
ʒ	-	0.089
ʧ	s	0.209
ʧ	ʧ	0.59
ˈũ	ˈu_n	0.949
