Lombard	Spanish	probability
a	a	0.89
a	e	0.067
ã	m	0.657
ã	e	0.343
b	b	0.631
b	β	0.257
b	k	0.088
d	d	0.364
d	ð	0.358
d	-	0.213
d	θ	0.065
e	-	0.346
e	e	0.331
e	ɾ_e	0.163
e	o	0.094
f	-	0.51
f	f	0.221
f	β	0.153
f	ˈe_β	0.116
i	e	0.754
i	u	0.246
ĩ	i	0.604
ĩ	e	0.396
j	j	0.35
j	-	0.226
j	l	0.21
j	o	0.137
k	k	0.82
k	ˈe_ɣ	0.064
l	l	0.689
l	ʝ	0.173
l	-	0.117
m	m	0.915
m	-	0.085
n	n	0.92
n	ɲ	0.06
o	o	0.5
o	u	0.5
p	p	0.845
p	ɟ͡ʝ	0.108
r	ɾ	0.765
r	r	0.12
r	-	0.067
s	s	0.592
s	θ	0.273
t	t	0.441
t	n_t	0.289
t	ð	0.128
t	ʧ	0.067
t	n_d	0.056
u	o	0.684
u	e	0.198
u	a	0.061
u	ˈa	0.058
ũ	o	1.0
v	b	1.0
w	w	1.0
y	e	0.5
y	o	0.5
z	m	0.709
z	θ	0.248
ɛ	a	0.714
ɛ	o	0.286
ɡ	ɡ	0.55
ɡ	ɣ	0.285
ɡ	β	0.113
ɡ	b	0.053
ɲ	ɲ	0.83
ɲ	n	0.17
ʃ	θ	0.91
ʃ	s	0.09
ʋ	b	0.584
ʋ	β	0.299
ʋ	-	0.085
ʤ	x	0.503
ʤ	-	0.242
ʤ	ɟ͡ʝ	0.183
ʤ	θ	0.056
ʦ	θ	0.525
ʦ	t	0.275
ʦ	-	0.168
ʧ	θ	0.273
ʧ	x	0.262
ʧ	-	0.108
ʧ	ʧ	0.098
ʧ	ɟ͡ʝ	0.09
ʧ	t	0.057
ʧ	ð	0.057
ʧ	k	0.055
ˈa	ˈa	0.885
ˈaː	ˈa	1.0
ˈãː	ˈa	0.943
ˈãː	ˈe	0.057
ˈe	ˈe	0.862
ˈe	-	0.079
ˈe	ˈi	0.058
ˈeː	ˈe	0.783
ˈeː	e	0.217
ˈẽː	j	0.553
ˈẽː	e	0.175
ˈẽː	ŋ	0.175
ˈẽː	ˈa	0.096
ˈi	ˈi	0.716
ˈi	ˈu	0.219
ˈi	j	0.066
ˈiː	ˈi	1.0
ˈĩː	j	0.633
ˈĩː	ˈi	0.367
ˈo	w	0.657
ˈo	ˈo	0.343
ˈu	ˈo	0.641
ˈu	ˈu	0.287
ˈu	w	0.071
ˈuː	ˈa	0.5
ˈuː	ˈo	0.5
ˈũː	ˈo	0.509
ˈũː	w	0.319
ˈũː	ˈu	0.172
ˈy	ˈu	0.432
ˈy	ɲ	0.153
ˈy	-	0.148
ˈy	ˈo	0.127
ˈy	ˈe	0.073
ˈy	w	0.068
ˈyː	ˈo	0.87
ˈyː	ˈu	0.13
ˈỹː	o	1.0
ˈø	ˈo	0.741
ˈø	w	0.142
ˈø	ˈu	0.116
ˈøː	w	0.895
ˈøː	ˈo	0.105
ˈɔ	w	0.58
ˈɔ	ˈo	0.302
ˈɛ	j	0.456
ˈɛ	ˈe	0.317
ˈɛ	ˈi	0.139
ˈɛ	a	0.05
ˈɛ̃ː	j	1.0
ˈˈi	ˈe	1.0
