Auvergnat	Nuorese	probability
ˈɪ̃	ˈe	1.0
ˈɪ_l	ˈi_s	1.0
ˈɛ	ˈe	1.0
ˈɔ_ʀ	ɾ_t	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ_j	1.0
ʧ_ɒ	k_a	1.0
ʒ	k	1.0
ʃ	k	1.0
ʀ_ɔ	a	1.0
ɪ	i_s	1.0
ɥ	ˈi_ð	1.0
ɡʲ	-	1.0
œ	-	1.0
ŋ_k	m_ɛ	1.0
ŋ_d	nː	1.0
y	-	1.0
vʲ	b	1.0
ũ	ɔ	1.0
t_ˈa	t_ˈa	1.0
pʲ	p_ˈi	1.0
p_l	p_ɾ	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
lː	z_u	1.0
l_ɔ	ɖː	1.0
k_l	k_ɾ	1.0
j_ʀ	t_ɾ	1.0
ĩ	i	1.0
fʲ	f	1.0
f	f	1.0
dʲ	-	1.0
ã	a	1.0
a	a	1.0
ɔ	a	0.929
ˈi	ˈi	0.812
ˈy	ˈu	0.793
ʧ	k	0.787
n	n	0.774
ɒ	a	0.742
ʀ	ɾ	0.734
v	b	0.731
ˈu	ˈu	0.729
t	t	0.717
ˈœ	ˈɔ	0.69
z	-	0.657
ˈɔ̃	n	0.6
w_ˈɔ	ˈo	0.599
ɡ	ɡ	0.582
ˈa	ˈa	0.581
ˈɔ	ˈɔ	0.573
ˈẽ	ˈe	0.571
k	k	0.567
b	b	0.557
ɲ	n	0.544
ʎ	k_ɾ	0.505
ˈũ	ˈɔ	0.49
l	l	0.464
ˈɪ	ˈi	0.462
ɲ	-	0.456
d	t	0.454
ˈɪ	ˈɛ	0.432
ˈe	ˈɛ	0.431
ʤ	ɡ	0.43
ˈẽ	ˈɛ	0.429
ˈɔ	-	0.427
ə	ɛ	0.425
ɡ	-	0.418
j	-	0.412
d	d	0.405
w_ˈɔ	ˈɔ	0.401
ˈɔ̃	-	0.4
ŋ	n	0.385
u	-	0.363
b	p	0.353
z	k	0.343
s	k_ɛ	0.324
ʤ	j	0.311
ˈœ	ˈo	0.31
u	ˈɔ	0.3
ʎ	ʣ	0.298
j	ɛ	0.282
ˈa	ˈa_ɾ	0.277
v	β	0.269
ʤ	-	0.258
w	β_ɛ	0.258
ˈũ	ˈu	0.255
ˈũ	-	0.255
ˈe	ˈe	0.253
s	k	0.253
k	k_u	0.241
ə	u	0.239
w	ˈɔ	0.236
t	s_t	0.227
n	-	0.226
ˈe	ˈa	0.223
ŋ	n_t	0.215
ʧ	t	0.213
u	ɔ	0.21
ˈy	-	0.207
l	ɖː	0.204
ʎ	-	0.198
k	-	0.192
ə	i	0.189
ŋ	n_u	0.182
s	s	0.178
ʀ	r	0.173
w	ˈo	0.156
ɒ	ɛ	0.145
l	u	0.144
j	u	0.144
d	ð	0.14
l	ɾ	0.135
u	u	0.127
ŋ	nː	0.12
ˈu	ˈɔ	0.116
ɒ	ˈa	0.113
ˈɪ	-	0.107
j	ɣ	0.103
ˈi	ˈi_ɾ	0.095
ˈi	ɛ	0.093
b	p_ɛ	0.09
ə	e	0.087
s	ʦ	0.085
s	z	0.081
ˈu	ˈo	0.078
w	ˈu	0.078
ˈu	ˈɔ_ɾ	0.077
ŋ	ŋ	0.073
ɔ	ɛ	0.071
w	ɾ	0.068
w	u	0.068
w	-	0.068
ə	ɔ̆	0.06
ˈa	-	0.059
ˈe	ˈe_s	0.058
j	t_ɛ	0.058
t	z	0.056
l	-	0.053
s	t_u	0.051
ˈa	ˈe	0.05
