Middle High German	Ripuarian	probability
ˈɛ_h	ˈeː	1.0
ˈɑː_n	n	1.0
ˈɑː	ˈɔː	1.0
ˈɑ_n	ˈa_ŋ	1.0
ˈøː	ˈyː	1.0
ˈøy̯	-	1.0
ˈæː	ˈiː	1.0
ˈyː_w	ˈøʏ̯	1.0
ˈyə̯	ˈøː	1.0
ˈuə̯	ˈoː	1.0
ˈoː	ˈuː	1.0
ˈo_r	ˈoː	1.0
ˈiə̯	ˈeː	1.0
ˈeː	ˈiː	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɛ	ˈøː_ʦ	1.0
ə_r	ɐ	1.0
ə_n	ə	1.0
ə_l	ɫ	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_t	x	1.0
tː	d	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ə	z̥	1.0
rː	ˈyː	1.0
r_t	d̥	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈɔʊ̯	1.0
nː	n	1.0
n_ə	n	1.0
n_d	ŋ	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ə	ɫ	1.0
kː	k	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ə	1.0
h_ə	e	1.0
v	f	0.953
d	d	0.913
w	ʋ	0.83
b̥	v̥	0.812
h	h	0.81
r	ʀ	0.797
ə	-	0.768
ˈei̯	ˈeː	0.738
xː	ɕ	0.731
ɡ	j	0.72
n	n	0.718
ˈy	ˈœ	0.713
x	ɕ	0.709
b	b	0.706
ˈu	ˈo	0.677
l	l	0.671
ˈyː	ˈyː	0.664
s	z	0.647
ˈuː	ˈuː	0.623
ˈi	ˈe	0.602
ɡ̊	ɕ	0.55
ˈe	ˈe	0.545
f	f	0.535
ˈou̯	ˈɔʊ̯	0.52
ˈɑ	ˈa	0.517
ˈiː	ˈiː	0.511
ˈɛ	ˈɛ	0.509
d̥	ɡ̊	0.5
d̥	d̥	0.5
ˈou̯	ˈoː	0.48
ˈe	ˈeː	0.455
t	d	0.445
ˈo	ˈo	0.399
ˈo	-	0.399
ˈɛ	ˈɛː	0.39
ˈyː	ˈʏ	0.336
ˈɑ	ˈaː	0.334
l	ɫ	0.329
f	ə_f	0.303
ˈiː	-	0.281
xː	x	0.269
ˈei̯	ˈeɪ̯	0.262
ˈuː	ˈɔʊ̯	0.254
n	ŋ	0.241
ɡ	-	0.218
ˈiː	ˈɪ	0.208
b	v	0.207
ˈo	ˈɔ	0.202
t	-	0.2
ˈi	ˈɪ	0.198
s	z̥	0.194
ɡ̊	ɡ̊	0.193
t	t	0.192
ˈu	ˈʊ	0.191
h	-	0.19
b̥	-	0.188
ˈy	ˈʏ	0.178
w	-	0.17
ə	ə	0.167
t	d̥	0.164
f	p	0.162
r	-	0.156
x	x	0.151
x	-	0.14
ˈu	ˈoː	0.133
ɡ̊	ɣ̊	0.128
ɡ̊	-	0.128
ˈuː	-	0.123
s	s	0.119
ˈɑ	ˈɛ	0.116
ˈy	ˈy	0.109
ˈɛ	-	0.101
ˈi	ˈiː	0.09
ˈi	-	0.09
d	-	0.087
b	-	0.087
ɡ	ɣ	0.062
