Auvergnat	Auvergnat	probability
ˈɪ̃_ŋ	ɑ̃	1.0
ˈɛ	o	1.0
ˈɔ̃	ɔ̃	1.0
ˈɔ_k	ø	1.0
ˈũ_ŋ	ɔ̃	1.0
ˈũ	ɔ̃	1.0
ˈu_s	w_a	1.0
ˈĩ_ŋ	ɛ̃	1.0
ˈĩ	ɛ̃	1.0
ˈẽ_ŋ	ɑ̃	1.0
ˈe_l	o	1.0
ˈe_j	ɛ	1.0
ˈã_ŋ	ɑ̃	1.0
ˈã	ɛ̃	1.0
ˈa_s_#>	ɛ_#>	1.0
ˈa_#>	e_#>	1.0
ʒ	z	1.0
ʎ_#>	#>	1.0
ʃ	s	1.0
ɥ	ɥ	1.0
ɡʲ	ɡ_ɥ	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɔ	i	1.0
œ	-	1.0
ŋ_#>	#>	1.0
y	-	1.0
w_ˈẽ	w	1.0
w_#>	f_#>	1.0
vʲ	v	1.0
v	v	1.0
ũ	ɔ̃	1.0
t_ɔ_#>	t_#>	1.0
t	t	1.0
s_ɔ_#>	s_#>	1.0
s_#>	#>	1.0
pʲ	-	1.0
p	p	1.0
n_w	n	1.0
n	n	1.0
mʲ	m	1.0
m_#>	#>	1.0
lː	l	1.0
l_#>	#>	1.0
l	l	1.0
k_#>	#>	1.0
j_ˈɔ	œ	1.0
j_#>	i_#>	1.0
ĩ	ɛ̃	1.0
fʲ	f	1.0
f	f	1.0
dʲ	-	1.0
b_ʀ	v_ʁ	1.0
b_w	b	1.0
b	b	1.0
ã	ɑ̃	1.0
a	a	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_ʁ	1.0
<#_ɪ	<#_e	1.0
<#_l	<#_l	1.0
ʀ	ʁ	0.97
s	s	0.943
k	k	0.923
m	m	0.92
ɡ	ɡ	0.8
ˈa_w	o	0.778
w_ˈɔ	ɔ	0.769
ʎ	j	0.75
w	-	0.75
ʤ	ʒ	0.727
ˈu	u	0.714
ˈy	y	0.667
ˈi	i	0.667
ʧ	ʃ	0.667
d	d	0.652
ŋ	-	0.625
j	a	0.625
z	-	0.6
e	-	0.6
ˈœ	ɥ	0.556
ˈɔ	œ	0.5
ˈɔ	-	0.5
ɲ	ɲ	0.5
ɲ	ɛ̃	0.5
i	w_a	0.5
i	i	0.5
#>	e_#>	0.5
ˈe	ɛ	0.48
ˈœ	-	0.444
ɒ	a	0.444
ˈa	a	0.421
u	ɔ	0.417
u	u	0.417
ˈɪ	ɛ	0.4
ˈɪ	w	0.4
z	z	0.4
e	ʁ	0.4
ŋ	ɛ̃	0.375
j	i	0.375
d	-	0.348
ˈy	-	0.333
ə	ə	0.3
#>	a_#>	0.3
ˈa	ɛ	0.289
ɒ	ɛ	0.278
ʤ	-	0.273
ə	-	0.25
ˈi	i_ʁ	0.238
w_ˈɔ	o	0.231
ˈa_w	w_a	0.222
ˈe	j	0.2
ˈe	-	0.2
ʧ	t	0.2
ɡ	-	0.2
ə	ʁ	0.2
#>	ʁ_#>	0.2
ˈu	œ_ʁ	0.19
ɒ	ə	0.167
u	-	0.167
ə	w_a	0.15
w	u	0.15
ˈa	e	0.132
ʎ	ø	0.125
ʎ	l	0.125
ˈe	w	0.12
ɒ	-	0.111
ˈɪ	w_a	0.1
ˈɪ	i	0.1
ə	a	0.1
w	ɔ	0.1
ˈu	-	0.095
ˈi	-	0.095
m	-	0.08
k	ø	0.077
ʧ	ʒ	0.067
ʧ	-	0.067
s	ʁ	0.057
ˈa	w_a	0.053
ˈa	j_ɛ	0.053
ˈa	-	0.053
