Bulgarian	Czech	probability
ˈɤ_r	ˈr̩	1.0
ˈɛ_#>	ɛ_#>	1.0
ˈɔ_#>	o_#>	1.0
ˈa_s	ˈiː_s	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_#>	l_#>	1.0
ɡ	ɦ	1.0
ɛ_t	ɛ_t	1.0
ɛ_n	n_iː	1.0
ɛ_m	m̩	1.0
ɐ_k	k_iː	1.0
ɐ_#>	#>	1.0
z	z	1.0
x	x	1.0
vʲ	v	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
o_#>	o_#>	1.0
o	ˈo	1.0
mʲ	m	1.0
m	m	1.0
lʲ_ˈa	l_ˈɛː	1.0
lʲ	l	1.0
l	l	1.0
k_#>	x_#>	1.0
k	k	1.0
j	t	1.0
i	ˈiː	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_r	<#_r	1.0
#>	iː_#>	1.0
v	v	0.889
ˈɛ	ˈɛ	0.867
n	n	0.857
t	t	0.818
ɫ	l	0.778
ɛ	ˈɛ	0.562
ˈi	ˈɪ	0.545
r	r	0.545
f	v_iː	0.5
f	f	0.5
ˈɤ	ˈu	0.444
ˈa	a	0.419
ˈɔ	ˈuː	0.417
ˈɔ	ˈo	0.417
ɐ	a	0.412
ˈɤ	-	0.333
r	r̝	0.318
ɛ	ɛ	0.312
ɐ	ɛ	0.294
ɐ	-	0.294
ˈi	ɪ	0.273
ˈa	ˈa	0.226
ˈɤ	ˈɛ	0.222
ˈi	ˈiː	0.182
t	c	0.182
ˈɔ	ˈɛ	0.167
n	ɲ	0.143
r	r̝̊	0.136
ˈɛ	j_ɛ	0.133
ˈa	ˈɛ	0.129
ˈa	ˈaː	0.129
ɛ	iː	0.125
ɫ	d_l	0.111
ɫ	-	0.111
v	v_j	0.111
ˈa	ˈiː	0.097
