Upper Sorbian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʥ	ʣ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʀ	r	1.0
ɔ_w	w	1.0
ɔ_m	m_ə	1.0
z̥	z̥	1.0
z	z	1.0
xʲ	x	1.0
w_a	v_a	1.0
w_#>	w_#>	1.0
t_#>	t_#>	1.0
t	t	1.0
s_w	s_w	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
kʲ	ʧ	1.0
k	k	1.0
j	-	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
<#_ʨ	<#_ʦ	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
ʀʲ	r̝	0.9
l	l	0.889
w	w	0.882
ʨ	ʦ	0.875
ɦ	ɡ	0.8
ɲ	ɲ	0.667
ɪ	i	0.643
a	a	0.641
ɔ_#>	ɔ_#>	0.615
<#_w	<#_v	0.6
ɥ	v_j	0.583
x	x	0.545
i	ə	0.5
o	u	0.462
ɔ	u̯ɛ	0.459
ʃ	ʃ	0.429
ɛ	ɛ	0.409
<#_w	<#	0.4
ɲ	-	0.333
e	ɛ_ˈ	0.333
ɔ	ɔ	0.324
ɛ	-	0.318
o	ɔ_ˈ	0.308
e	a_ˈ	0.292
ʃ	r̝	0.286
ʃ	-	0.286
i	i	0.286
x	ɡ̊	0.273
u	õ_ˈ	0.267
ɥ	f_j	0.25
ɔ_#>	ɛ_#>	0.231
o	-	0.231
i	i_ˈ	0.214
ɦ	ʤ	0.2
u	ə	0.2
u	ã	0.2
u	-	0.2
ɛ	e	0.182
x	k	0.182
ɪ	ə_ˈ	0.179
ɪ	-	0.179
ɥ	v	0.167
ɔ_#>	#>	0.154
u	ʉ	0.133
a	ɞ_ˈ	0.128
a	ã	0.128
ʨ	ʧ	0.125
e	e_ˈ	0.125
w	v	0.118
l	w	0.111
ɔ	u	0.108
ʀʲ	ɾ	0.1
ɛ	ɔ	0.091
e	ɞ	0.083
e	j_ɞ	0.083
e	-	0.083
ɔ	ɛ	0.054
ɔ	e	0.054
a	ɛ_ˈ	0.051
a	-	0.051
