Afrikaans	Afrikaans	probability
χ_#>	k_#>	1.0
ˈɪə̯_n	ˈeː	1.0
ˈɪə̯_#>	ˈeː_#>	1.0
ˈɪø̯	ˈʊ	1.0
ˈɛː	-	1.0
ˈɑː_t	ˈa_s	1.0
ˈɑː_r	ˈɔː_ɑ	1.0
ˈyː	ˈaɪ̯	1.0
ˈa_r	ˈaː	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_r	ɑ	1.0
w	ˈeː	1.0
v̥_#>	b̥_#>	1.0
v̥	f	1.0
v	ʋ	1.0
t_ə	d	1.0
t_#>	#>	1.0
s_ˈi	s_ˈeː	1.0
s_ə	s	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
n_d̥	n_ə	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	x_#>	1.0
i_n	eː	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
d	d	0.943
d̥	d̥	0.931
ŋ	ŋ	0.846
n	n	0.824
ˈə	ˈɪ	0.818
ˈu	ˈuː	0.786
ˈi	ˈiː	0.769
k	k	0.731
ˈœ	ˈɪ	0.714
#>	ə_#>	0.706
ˈœɪ̯	ˈaʊ̯	0.7
ˈəɪ̯	ˈaɪ̯	0.688
ˈa	ˈa	0.607
ˈɛ	ˈɛ	0.6
ˈœu̯	ˈa_l	0.6
r	ɾ	0.596
t	s	0.593
p	p	0.571
s	ʃ	0.538
ˈʊə̯_r	ˈaː	0.5
ˈʊə̯_r	ˈa	0.5
ˈɔ	ˈʊ	0.5
ˈæː	ˈɛː	0.5
ˈæː	-	0.5
ə	ɪ	0.5
ə	-	0.5
j	j	0.5
j	-	0.5
χ	ɡ	0.441
p	f	0.429
s	s	0.423
ˈɛ	ˈɪ	0.4
ˈœu̯	-	0.4
ˈæ	ˈɛ	0.375
ˈæ	-	0.375
ˈɑː	ˈoː	0.368
ˈɔ	ˈɔ	0.364
r	ɑ	0.34
ˈɪə̯	ˈɛ	0.312
ˈɪə̯	ˈeː	0.312
ˈəɪ̯	ˈeː	0.312
ˈœɪ̯	ˈaɪ̯	0.3
ˈʊə̯	ˈɔː	0.286
ˈʊə̯	ˈoː	0.286
ˈœ	-	0.286
k	ç	0.269
ˈæ	ˈɪ	0.25
ˈʊə̯	ˈeː	0.238
ˈi	ˈaɪ̯	0.231
t	t	0.222
ˈu	ˈiː	0.214
ˈa	ˈɔː	0.214
ˈɑː	ˈɛː	0.211
t	ʦ	0.185
χ	ɡ̊	0.176
χ	x	0.176
n	ə	0.176
ˈɑː	ˈɔː	0.158
ˈɑː	ˈa	0.158
ŋ	ç	0.154
ˈɔ	-	0.136
ˈɪə̯	ˈɪ	0.125
ˈɪə̯	ˈɛ_d	0.125
ˈɪə̯	-	0.125
#>	t_#>	0.118
ˈa	ˈɛ	0.107
ˈɑː	ˈɛ	0.105
#>	d̥_#>	0.098
ˈʊə̯	ˈʊ	0.095
ˈʊə̯	ˈɔ	0.095
ˈə	ˈaɪ̯	0.091
ˈə	ˈa	0.091
χ	ç	0.088
ˈa	-	0.071
d̥	d_ə	0.069
r	ˈɛː_ɑ	0.064
χ	ç_t	0.059
χ	j_ə	0.059
d	-	0.057
