Bavarian	Nynorsk Norwegian	probability
a	ɑ	0.254
a	e	0.193
a	-	0.135
a	ɾ	0.116
a	ə	0.104
a	ʋ_e	0.07
b̥	b	0.658
b̥	-	0.277
b̥	tʰ	0.064
d̥	d	0.455
d̥	-	0.262
d̥	tʰ	0.242
eɐ̯	e	1.0
f	f	0.61
f	ʋ	0.178
f	p	0.13
h	h	0.934
h	-	0.066
i	lː	0.397
i	ŋ	0.397
i	ɑ	0.205
j	l	0.629
j	lː	0.232
j	-	0.138
k	ɡː	0.319
k	ʰkː	0.319
k	ɕ	0.209
k	ɕː	0.1
k	-	0.053
kʰ	kʰ	0.836
kʰ	ɕ	0.142
l	l	0.844
l	j	0.096
m	m	0.722
m	-	0.225
m	mː	0.053
n	n	0.388
n	ɑ	0.331
n	-	0.149
n	nː	0.132
p	ʋ	1.0
p͡f	p	0.574
p͡f	pʰ	0.311
p͡f	ʋ	0.115
r	ɾ	0.907
s	s	0.581
s	t	0.298
s	ʃ	0.061
t	t	0.42
t	-	0.257
t	d	0.135
t	tʰ	0.076
t	ʰtː	0.068
x	k	0.435
x	ʰtː	0.26
x	s	0.162
x	ɕ	0.083
x	ɡ	0.06
ç	k	0.769
ç	ɡ	0.192
ŋ	ŋː	0.357
ŋ	ɡ	0.237
ŋ	-	0.214
ŋ	ʰkː	0.136
ŋ	ɲ	0.055
ɐ	ɾ	0.743
ɐ	-	0.257
ə	ə	0.542
ə	e	0.296
ə	ʋ	0.162
ɡ̊	ɡ	0.652
ɡ̊	j	0.143
ɡ̊	ɡː	0.113
ɡ̊	-	0.081
ɪ	e	1.0
ʃ	s	0.686
ʃ	ʃ	0.314
ʋ	ʋ	0.459
ʋ	-	0.24
ʋ	kʰ_ʋ	0.135
ʋ	v	0.075
ʋ	ˈʏ	0.065
ʦ	tʰ	0.643
ʦ	t	0.171
ʦ	tː	0.079
ʦ	ɕː	0.073
ˈa	ˈɑ	0.804
ˈa	ˈɑː	0.079
ˈa	e	0.078
ˈai̯	ˈiː	0.516
ˈai̯	ˈyː	0.155
ˈai̯	ˈɛ	0.111
ˈai̯	ˈeː	0.101
ˈai̯	ˈæɪ̯	0.081
ˈau̯	ˈʉː	0.811
ˈau̯	e	0.071
ˈau̯	ˈæʉ̯	0.061
ˈau̯	ˈʉ	0.057
ˈaː	ˈeː	0.23
ˈaː	ˈɑ	0.23
ˈaː	ˈæʉ̯	0.222
ˈaː	ˈɔ	0.145
ˈaː	ˈoː	0.059
ˈaː	ˈœʏ̯	0.057
ˈaː	ˈʉ	0.057
ˈe	ˈʉː	0.196
ˈe	ˈɛ	0.176
ˈe	j	0.16
ˈe	ˈøː	0.16
ˈe	ˈœʏ̯	0.079
ˈe	ˈoː	0.078
ˈe	ˈœ	0.06
ˈe	ˈɑ	0.051
ˈeɐ̯	ˈiː	0.409
ˈeɐ̯	ˈuː	0.359
ˈeɐ̯	ˈøː	0.232
ˈeː	ˈeː	0.373
ˈeː	ˈoː	0.273
ˈeː	ˈɛ	0.145
ˈeː	ˈøː	0.126
ˈeː	ˈæː	0.083
ˈi	ˈɪ	0.452
ˈi	ˈiː	0.152
ˈi	ˈʏ	0.132
ˈi	ˈɛ	0.08
ˈi	ˈʊ	0.08
ˈi	ˈeː	0.059
ˈiɐ̯	ˈyː	0.384
ˈiɐ̯	ˈøː	0.249
ˈiɐ̯	ˈuː	0.165
ˈiɐ̯	ˈʉː	0.121
ˈiɐ̯	ˈeː	0.082
ˈiː	ˈyː	0.602
ˈiː	ˈʉː	0.307
ˈiː	ˈɪ	0.091
ˈo	ˈɑ	0.559
ˈo	ˈʉ	0.084
ˈo	ˈʏ	0.081
ˈo	ˈoː	0.073
ˈo	j	0.064
ˈo	ˈɑː	0.054
ˈo	ˈɛ	0.054
ˈou̯	ˈæʉ̯	1.0
ˈoɐ̯	ˈæɪ̯	0.392
ˈoɐ̯	ˈʊ	0.164
ˈoɐ̯	ˈuː	0.121
ˈoɐ̯	ˈɑ	0.1
ˈoɐ̯	ˈɛ	0.066
ˈoː	ˈɑː	0.76
ˈoː	ˈoː	0.104
ˈoː	ˈɔ	0.075
ˈoː	ˈʉ	0.061
ˈu	ˈʉ	0.387
ˈu	ˈʏ	0.198
ˈu	ˈʉː	0.134
ˈu	ˈɔ	0.105
ˈu	ˈœ	0.101
ˈu	ˈʊ	0.075
ˈuɐ̯	ˈuː	0.683
ˈuɐ̯	ˈøː	0.227
ˈuɐ̯	ˈœ	0.059
ˈy	ˈoː	1.0
ˈɒ	ˈɑː	0.371
ˈɒ	ˈɛ	0.259
ˈɒ	ˈɑ	0.218
ˈɒ	ˈɔ	0.152
ˈɒː	ˈoː	0.415
ˈɒː	ˈɑ	0.392
ˈɒː	ˈɑː	0.193
ˈɔ	ˈoː	0.441
ˈɔ	ˈɑ	0.348
ˈɔ	ˈɔ	0.156
ˈɔ	ˈʉː	0.055
ˈɛ	ˈɛ	0.342
ˈɛ	ˈæː	0.181
ˈɛ	ˈɔ	0.181
ˈɛ	ˈeː	0.112
ˈɛ	ˈœ	0.079
ˈɛ	-	0.066
ˈɛː	ˈøː	1.0
ˈʏ	ˈʏ	0.635
ˈʏ	ˈɛ	0.365
