Piedmontese	Occitan	probability
ɲ	ɲ	1.0
ʧ	-	1.0
ˈə	ˈe	1.0
b	b	0.691
i	e	0.631
j	ʎ	0.21
j	l	0.641
s	j_s	0.1
v	w_ɾ	0.061
ˈi	ˈe	0.121
a	ɔ	0.732
j	-	0.12
n	n	0.982
t	ʧ	0.312
v	w	0.082
v	v	0.542
ʤ	-	0.342
ˈe	ˈe	0.232
ˈy	ˈy	0.862
ˈɛ	ˈɛ	0.572
d	t	0.163
e	j	0.073
e	ˈi	0.133
e	e	0.743
k	k	0.963
m	m	0.903
r	ɾ	0.313
ŋ	n	0.623
ˈe	j_ˈɛ	0.073
ˈe	ˈa	0.473
ˈø	u	0.093
ˈø	ɥ_ˈɛ	0.33
d	ð	0.214
d	d	0.554
l	-	0.054
r	ɾ_e	0.134
s	s	0.794
u	<#_e	0.254
w	w	0.514
z	z	0.144
ˈu	ˈy	0.054
ˈɔ	ˈa_w	0.174
ˈɛ	-	0.054
u	u	0.725
z	s	0.145
z	ʦ	0.265
ɡ	k	0.455
ˈu	ˈɔ	0.075
l	l	0.946
t	t	0.656
v	β	0.256
w	-	0.486
ɡ	ɡ	0.436
a	a	0.217
f	f	0.957
m	-	0.097
r	r	0.487
z	-	0.447
ŋ	ŋ	0.377
ˈe	ˈɛ	0.177
ˈu	ˈu	0.87
ˈɛ	ˈe	0.277
v	p	0.058
ʤ	ʒ	0.658
ˈa	ˈa	0.918
ˈy	ˈu	0.138
ˈø	ˈɔ	0.278
ˈɛ	j_ˈɛ	0.098
b	β	0.309
i	i	0.369
p	p	0.99
s	ʦ	0.059
ɡ	ɣ	0.109
ˈi	ˈi	0.879
ˈø	ɥ_ˈɔ	0.299
ˈɔ	ˈu	0.189
ˈɔ	ˈɔ	0.549
