Ligurian	Galician	probability
ˈu_ŋ	ˈo	1.0
ˈe_ŋ	ˈe_n	1.0
ˈe_j	ˈe	1.0
ˈaː_r	ˈa_l	1.0
ʧ	ʧ	1.0
ɲ	ɲ	1.0
ɥ	ð_ˈa	1.0
ɔː	-	1.0
y	j_m	1.0
s_ˈuː	s_ˈo	1.0
s_ˈi	θ_ˈi	1.0
s_t	s_t	1.0
s_a	θ_ɐ	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_a	ɾ_ɐ	1.0
f	f	1.0
e_r	e_ɾ	1.0
d_e	ɾ	1.0
ɡ	ɣ	0.917
ˈi	ˈi	0.87
n	n	0.826
u	ʊ	0.818
a	ɐ	0.805
r	ɾ	0.788
ˈøː	ˈɔ	0.769
d	d	0.763
ˈyː	ˈu	0.747
ˈy	ˈu	0.734
ˈø	ˈo	0.733
ˈɔː	ˈɔ	0.721
b	b	0.708
ʤ	ɟ	0.646
t	t	0.64
ˈa	ˈa	0.623
ˈe	ˈe	0.613
i	i	0.612
ˈu	ˈo	0.608
ˈɔ	ˈɔ	0.606
v	β	0.602
ʒ	-	0.577
s	s	0.557
ˈeː	ˈe	0.51
ˈɛ	ˈɛ	0.508
ˈɛ	a	0.492
e	ɪ	0.478
ʒ	θ	0.423
w	-	0.414
ˈiː	ˈi	0.409
z	-	0.402
ˈeː	ˈɛ	0.398
v	b	0.398
ˈɔ	ˈo	0.394
ˈɛː	ˈɛ	0.392
ˈaː	ˈa	0.391
ŋ	n	0.381
ʃ	ʃ	0.374
ˈɛː	-	0.369
ˈaː	ˈa_ɾ	0.31
z	j	0.306
s	θ	0.305
j	-	0.302
ˈiː	ˈi_ɾ	0.299
ˈa	ˈɑ	0.293
z	s	0.292
b	β	0.292
ˈuː	ˈɔ	0.283
ˈø	ˈo_j	0.267
ˈy	ˈo	0.266
ˈyː	ˈu_ɾ	0.253
ˈuː	ˈo	0.241
d	ð	0.237
w	w	0.236
t	ð	0.235
w	o	0.232
ˈøː	ˈo	0.231
ʃ	θ	0.23
ʃ	-	0.23
ŋ	ŋ	0.226
e	e	0.223
ʤ	-	0.221
ˈe	ˈi	0.206
j	ɾ	0.206
ˈu	-	0.204
i	o_s	0.201
ˈu	ˈu	0.188
ˈuː	ˈɔ_l	0.187
i	-	0.187
ˈe	ˈɛ	0.181
ˈiː	ˈe	0.174
n	-	0.174
ŋ	ɲ	0.173
ʃ	ʧ	0.166
j	e	0.165
a	a	0.157
ˈuː	ˈu	0.155
ˈɔː	w_ɾ	0.149
j	s	0.146
ˈuː	ˈo_ɾ	0.134
ʤ	ʃ	0.133
ˈɔː	ˈo_w	0.13
ˈi	-	0.13
ŋ	ˈi_ɲ	0.13
t	j_t	0.125
ˈaː	w	0.124
r	r	0.123
ˈɛː	ˈa	0.119
ˈɛː	ð_ɪ	0.119
ˈiː	-	0.118
w	ˈɔ	0.118
j	s_ˈo	0.112
e	ˈe_ɾ	0.099
ˈaː	ɾ	0.098
ˈeː	ɾ_ˈe	0.092
ŋ	m	0.09
ɡ	ɡ	0.083
ˈaː	ˈa_l	0.078
s	e_s	0.078
e	-	0.073
u	o	0.072
j	j	0.069
u	ɪ	0.067
s	ʃ	0.06
r	e	0.054
ˈa	-	0.053
e	ɐ	0.052
