Québécois French	Corsican	probability
p	p	1.0
z	-	1.0
ɛɪ̯	ˈe	1.0
ɪ	ˈi	1.0
ɲ	ɲ	1.0
ʊ	ˈɔ	1.0
ʏ	ˈu	1.0
ʣ	d	1.0
ʦ	t	1.0
a	ˈa	0.31
ã	a	0.091
e	-	0.151
e	ˈa	0.601
ẽɪ̯̃	ŋ	0.061
k	k_ˈɔ	0.051
l	l	0.41
n	n_a	0.421
o	ˈɔ_sː	0.391
oʊ̯	u	0.171
v	v	0.861
w	t	0.081
w	ˈɛ	0.491
ɑɔ̯	u	0.121
ɒ̃ʊ̯̃	ˈɔ_n	0.371
ʃ	k_a	0.151
a	a	0.672
aœ̯	ˈo	0.262
d	-	0.292
f	v	0.12
l	-	0.102
s	ʧ	0.222
w	ʧ	0.192
øʏ̯	k_u	0.432
ɔ	u	0.412
ʁ	-	0.082
ʃ	k	0.792
ʒ	-	0.062
ã	e	0.163
ã	ˈa_n	0.273
ã	ˈa	0.333
ẽɪ̯̃	ɲ_u	0.213
k	k	0.783
l	lː_a	0.123
oʊ̯	lː_u	0.673
t	s_t	0.103
æɛ̯	ˈa	0.563
ɒ̃ʊ̯̃	-	0.13
ɔ	ˈɔ	0.443
ɛ	ˈa	0.053
ɛ	-	0.073
ʁ	r_a	0.133
ã	ˈɛ_n	0.14
b	-	0.094
i	ˈi	0.434
m	m	0.734
u	u	0.844
æɛ̯	ˈɛ	0.234
ʁ	r_u	0.074
i	ˈe	0.105
l	j	0.125
n	n	0.505
t	t	0.395
t	tː	0.415
y	u	0.05
y	ˈu	0.95
ɔ	ˈo	0.145
ɥ	-	0.225
e	u	0.066
j	ˈe	0.526
l	l_u	0.086
m	m_a	0.266
s	-	0.156
u	ˈɔ	0.156
w	ˈu	0.236
æɛ̯	e	0.106
œ	ˈɔ	0.206
ɡ	k	0.076
ʃ	-	0.056
e	e	0.107
j	-	0.437
k	c	0.077
oʊ̯	ˈa_l	0.077
s	s	0.577
œ	e	0.067
œ	ˈɛ	0.17
ɡ	ɡ_w	0.057
ɥ	ˈu	0.227
ʁ	r	0.487
aœ̯	ˈɔ	0.738
b	b	0.898
d	d	0.708
ẽɪ̯̃	e	0.178
f	f	0.88
øʏ̯	u	0.568
ɛ	ˈe	0.078
ɛ	e	0.398
ɛ	ˈɛ	0.398
ɡ	ɡ	0.798
ɥ	tː	0.548
ẽɪ̯̃	u	0.079
ẽɪ̯̃	n_u	0.469
i	u	0.439
k	k_w	0.089
o	ˈɔ	0.609
oʊ̯	ˈɔ	0.079
v	p	0.139
œ	a	0.539
ɑɔ̯	ˈɔ	0.879
ɒ̃ʊ̯̃	u	0.199
ɒ̃ʊ̯̃	ˈo_n	0.299
ɡ	ɟ	0.069
ʁ	r_e	0.19
ʒ	ɟ	0.909
