Bavarian	East Franconian	probability
β	β	1.0
ˈɛ	-	1.0
ˈɑ	ˈɒ	1.0
ˈuɐ̯	ˈuː	1.0
ˈoɐ̯	ˈaː	1.0
ˈou̯	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiɐ̯	ˈiː	1.0
ˈi_ɐ	ˈɘ	1.0
ˈau̯	ˈaʊ̯	1.0
ˈai̯	ˈaɪ̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʃ_d̥	s_d̥	1.0
ʃ	ʃ	1.0
ɑ	-	1.0
ɐ_d̥	ɐ_d̥	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x_a	ɣ̊_n	1.0
sː	z̥	1.0
s_ˈo	s_ˈɒ	1.0
s_n	z̥_n	1.0
r	r	1.0
n_d̥	n	1.0
m	m	1.0
kʰ	kʰ	1.0
j_d̥	l_d̥	1.0
i	i	1.0
h	h	1.0
fː	f	1.0
f	f	1.0
eː	eː	1.0
d̥_ˈu	d̥_ˈuː	1.0
d̥_n	d̥_n	1.0
b̥͡v̥	b̥͡v̥	1.0
j	l	0.94
b̥	b̥	0.931
d̥	d̥	0.923
l	l	0.912
ˈe	ˈɛ	0.872
n	n	0.864
ˈoː	ˈoː	0.827
ˈɒ	ˈɒ	0.825
x	x	0.812
ˈi	ˈɪ	0.807
ɡ̊	ɡ̊	0.789
ˈɑː	ˈoː	0.739
s	s	0.714
ˈɒː	ˈoː	0.689
ə	-	0.667
ˈeː	ˈeː	0.648
ˈaː	ˈaː	0.635
ˈu	ˈʊ	0.627
ˈo	ˈɔ	0.608
a	a	0.527
ˈa	ˈɒ	0.5
ˈa	-	0.5
a	n	0.473
ˈaː	-	0.365
ˈeː	-	0.352
ˈo	ˈɒ	0.336
ə	a	0.333
s	z̥	0.286
ˈɑː	ˈɒː	0.261
ˈu	ˈɪ	0.209
ˈi	ˈiː	0.193
x	ŋ	0.188
ˈɒ	ˈa	0.175
ˈoː	ˈuː	0.173
ˈɒː	ˈɔ	0.156
ˈɒː	ˈɒ	0.156
ɡ̊	ɣ̊	0.139
n	-	0.136
ˈe	ˈeː	0.128
ˈu	-	0.112
l	l_ˈaː	0.088
d̥	ɾ	0.077
b̥	-	0.069
j	j	0.06
ˈo	ˈuː	0.056
ɡ̊	ç	0.054
ˈu	ˈɔ	0.053
