Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈɪ	ˈɪ	1.0
ˈɛ_k	ˈø	1.0
ˈɔ_ɾ	ˈɔː	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæʉ̯	ˈaʊ̯	1.0
ˈæ	ˈaː	1.0
ˈeː_#>	ˈaɪ̯_#>	1.0
ʰtː_e	x_d	1.0
ʰpː	b	1.0
ʰkː	ɡ	1.0
ʋ_ɑ	m	1.0
ʋ_#>	f_#>	1.0
ɾ_n	ɐ_n	1.0
ɾ_e	ɐ	1.0
ɪ	ˈyː_ɡ	1.0
ɡ_ɾ	ɡ_r	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
v	v	1.0
tː	t	1.0
t_ɑ	d_n	1.0
sː	n_s	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_e	z	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
nː_ɑ	n_n	1.0
nː_#>	n_d_#>	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
jː	ŋ	1.0
h	h	1.0
f	f	1.0
e_#>	#>	1.0
d_ˈeː	ˈɛː	1.0
d_ə	ɐ	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#	1.0
<#_n	<#_n	1.0
l	l	0.931
n	n	0.913
d	d	0.895
ʋ	v	0.882
p	b	0.75
ˈæɪ̯	ˈaɪ̯	0.7
k_#>	ɡ_#>	0.7
ɾ_#>	#>	0.692
ˈoː	ˈoː	0.688
t	d	0.688
ə	-	0.667
ˈuː	ˈaʊ̯	0.643
ˈʏ	ˈʏ	0.636
ˈʉ	ˈʊ	0.625
ˈøː	ˈɔʏ̯	0.625
ˈiː	ˈiː	0.611
ɑ	n	0.611
ˈɑ	ˈa	0.609
ˈʊ	-	0.6
<#	<#_v	0.6
ʂ	ʃ	0.583
ˈɑː	ˈa	0.571
lː	l_d	0.571
tʰ	d	0.556
ˈʉː	ˈuː	0.5
ˈœʏ̯	ˈɔʏ̯	0.5
ˈœʏ̯	ˈaʊ̯	0.5
ˈyː	ˈyː	0.5
ˈyː	ˈaɪ̯	0.5
ˈeː	ˈeː	0.5
ˈeː	-	0.5
ʰtː	t	0.5
ʰtː	d	0.5
ɾ	ɐ	0.5
ɡː	ɡ	0.5
ɡː	ç	0.5
ɡ	ɡ	0.5
tʰ	tʰ	0.444
s	z	0.438
ˈɑː	ˈoː	0.429
ç	kʰ	0.429
lː	l	0.429
ʂ	z	0.417
#>	n_#>	0.409
ˈʊ	ˈaʊ̯	0.4
ˈɔ	-	0.4
ɾ	r	0.389
ˈʉ	-	0.375
s	ʃ	0.375
e	ɐ	0.375
ə	ɐ	0.333
#>	d_#>	0.318
t	t	0.312
ɾ_#>	ɐ_d_#>	0.308
ˈɛ	ˈɪ	0.3
ˈɛ	ˈɛ	0.3
ˈæɪ̯	ˈɪ	0.3
k_#>	#>	0.3
j	ɡ	0.3
ç	d	0.286
ç	-	0.286
ˈøː	-	0.25
p	p	0.25
e	d	0.25
e	-	0.25
ɡ	ç	0.227
ˈuː	ˈaɪ̯	0.214
ˈʉː	ˈaɪ̯	0.2
ˈʉː	-	0.2
ˈɛ	ˈœ	0.2
ˈɛ	ˈa	0.2
ˈɔ	ˈɔ	0.2
ˈɔ	ˈøː	0.2
ˈɔ	ˈa	0.2
j	l	0.2
j	h	0.2
j	-	0.2
<#	<#_ʒ	0.2
<#	<#_d	0.2
ˈoː	ˈaʊ̯	0.188
s	s	0.188
ˈʏ	ˈɔ	0.182
ˈʏ	-	0.182
ɡ	x	0.182
#>	ç_#>	0.182
ˈɑ	ˈoː	0.174
ˈiː	ˈɪ	0.167
ɑ	-	0.167
ˈuː	ˈaʊ̯_d	0.143
ˈɑ	-	0.13
ˈøː	ˈeɪ̯	0.125
ˈoː	-	0.125
e	aɪ̯	0.125
ʋ	m	0.118
ˈiː	ˈeː	0.111
ˈiː	ˈaɪ̯	0.111
ɾ	-	0.111
ɑ	ŋ	0.111
ɑ	m	0.111
d	-	0.105
ˈʉː	ˈøː	0.1
j	j	0.1
ɡ	-	0.091
#>	f_#>	0.091
ˈɑ	ˈaː	0.087
n	-	0.087
l	-	0.069
