Friulian	Occitan	probability
k	k	1.0
ˈeː	ˈe	1.0
ˈoː	ˈu	1.0
a	a	0.581
j	ʎ	0.131
n	n	0.911
ŋ	ŋ	0.751
ɡ	k	0.11
ɡ	ɣ	0.351
ɲ	n	0.381
ʧ	s	0.741
ˈuː	ɥ_ˈɔ	0.21
ˈɔ	ˈu	0.211
d	-	0.12
d	d	0.512
j	-	0.112
m	-	0.122
o	u	0.812
s	j_s	0.062
u	y	0.252
ˈe	ˈe	0.972
ˈo	ˈu	0.632
ˈɛ	-	0.052
l	l	0.933
p	p	0.993
w	w	0.513
z	z	0.113
ʤ	ʤ	0.943
ˈi	ˈi	0.63
ˈɔ	ˈa_w	0.063
c	k	0.954
i	e	0.604
v	v	0.744
ʧ	-	0.204
ˈo	ˈy	0.154
ˈu	ˈu	0.264
ˈuː	ˈy	0.14
a	-	0.325
b	β	0.095
b	b	0.905
i	-	0.105
o	u_z	0.055
o	e_#>	0.065
r	ɾ	0.55
s	e_s	0.155
t	w_t	0.095
u	e	0.55
ˈa	ˈa_j	0.075
ˈa	ˈa	0.925
ˈiː	ˈɛ	0.215
ˈiː	ˈi	0.785
v	-	0.066
w	-	0.316
ˈo	-	0.146
ˈu	ˈy	0.736
ˈɔ	ˈɔ	0.246
a	e	0.067
e	ɔ	0.837
l	-	0.067
r	r	0.387
s	s	0.687
t	t	0.687
u	-	0.197
w	ɥ	0.17
z	-	0.887
ʤ	-	0.057
ˈaː	ˈa	0.917
ˈi	ˈɛ	0.37
d	ð	0.28
e	e	0.098
f	w	0.08
f	f	0.888
i	i	0.128
i	ɾ_e	0.148
j	l	0.058
m	m	0.878
ˈo	ˈe	0.068
ˈɛ	ˈɛ	0.948
j	j	0.699
n	-	0.089
t	ʧ	0.199
v	β	0.19
ŋ	n	0.249
ɡ	ɡ	0.539
ɲ	ɲ	0.619
ˈuː	ˈɔ	0.649
ˈɔ	ˈɛ	0.479
