Old West Norse	Alsatian	probability
θ	d̥	1.0
ˈɛː	ˈeː	1.0
ˈɔː	ˈʊː	1.0
ˈɒu̯	ˈoː	1.0
ˈøː	ˈiː	1.0
ˈuː_ɣ	j	1.0
ˈo_ɣ	ˈø	1.0
ˈeː_r̥	ˈeː_ʁ	1.0
ˈa	ˈɒ	1.0
ʦ	t	1.0
ʝː	ʋ	1.0
ɾ	-	1.0
ɡː	k	1.0
ɟː	-	1.0
ɑː	eː	1.0
ç	h_ˈæ	1.0
x_w	ʋ	1.0
v_ɑ	n	1.0
tʰ	ʦ	1.0
sː	-	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
r̥ː	ʁ	1.0
pː	f	1.0
p_ɑ	f_ə	1.0
p	f	1.0
n̥	n	1.0
n	n	1.0
mː	e	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
k	ʃ	1.0
j_ˈoː	ˈiː	1.0
h	h	1.0
f	f	1.0
e	ˈe	1.0
cː	k	1.0
cʰ	kʰ	1.0
c	ʃ	1.0
b	b̥	1.0
a	ə	1.0
r	ʁ	0.972
ɑ	ə	0.937
t	s	0.925
ˈuː	ˈyː	0.895
ŋ	ŋ	0.864
ˈi	ˈi	0.855
ˈɛi̯	ˈəi̯	0.85
ˈɔ	-	0.771
ð	t	0.76
ˈøy̯	-	0.719
ˈɑː	ˈoː	0.711
d	d̥	0.666
tː	t	0.664
ˈoː	ˈʊː	0.663
ˈu	ˈu	0.654
ˈɑ	ˈɒ	0.607
ˈy	-	0.603
s	s	0.601
j	-	0.556
ɟ	ɡ̊	0.551
u	i	0.551
ˈiː	ˈiː	0.55
r̥	ʁ	0.538
i	ə	0.508
ˈɛ	ˈe	0.505
ˈɛ	-	0.495
i	-	0.492
nː	n	0.491
ɡ	ɡ̊	0.49
ɣ	j	0.471
r̥	ə_ʁ	0.462
ˈɑu̯	ˈoː	0.451
ˈiː	-	0.45
ɟ	-	0.449
u	n	0.449
ˈɑu̯	ˈʊː	0.415
ˈo	ˈo	0.409
ˈy	ˈu	0.397
ˈyː	ˈiː	0.366
ˈyː	-	0.366
ɡ	-	0.357
ˈoː	-	0.337
tː	ʦ	0.336
d	t	0.334
ˈe	-	0.319
ɣ	-	0.318
ˈo	ˈu	0.301
ˈɑ	ˈɒː	0.299
ˈo	-	0.29
v	f	0.29
ˈøy̯	ˈai̯	0.281
nː	-	0.277
ˈyː	ˈi	0.267
ˈe	ˈe	0.255
v	b̥	0.248
nː	n_d̥	0.232
ˈɔ	ˈɒ	0.229
j	ˈiː	0.222
j	ˈe	0.222
ˈe	ˈæ	0.214
ˈe	ˈi	0.213
ɣ	ʋ	0.211
v	ʋ	0.203
s	ʃ	0.2
s	n	0.198
ˈu	-	0.185
ˈu	ˈo	0.161
ɡ	ə_ʁ	0.153
ˈɑː	-	0.152
ˈɛi̯	ˈei̯	0.15
ˈi	-	0.145
v	w	0.141
ˈɑː	ˈɒː	0.137
ŋ	-	0.136
ˈɑu̯	ˈœ	0.134
ð	-	0.129
v	-	0.118
ð	d̥	0.111
ˈuː	ˈøi̯	0.105
ˈɑ	-	0.095
t	ʦ	0.075
ɑ	-	0.063
