Bokmål Norwegian	Afrikaans	probability
b	b	1.0
d	d	0.685
d	t	0.185
d	f	0.053
d	-	0.053
d	p	0.047
e	ˈœu̯	0.264
f	f	0.931
f	v	0.069
h	ɦ	0.954
h	k	0.055
i	ə	0.514
j	-	0.426
j	χ	0.316
j	ɦ	0.163
j	ˈɪə̯	0.082
k	k	0.463
k	-	0.449
k	χ	0.07
kʰ	k	0.901
kʰ	f	0.087
kː	ŋ_k	0.74
kː	k	0.148
l	ɫ	0.819
l	l	0.152
l	-	0.036
lː	ɫ	0.67
lː	t	0.32
m	m	0.964
m	-	0.049
mː	m	1.0
n	n	0.9
n	r	0.046
n	-	0.042
n	m	0.038
nː	n	0.534
nː	n_t	0.46
p	p	1.0
pʰ	p	0.514
s	s	0.978
sː	s	1.0
t	t	0.827
t	-	0.159
tʰ	d	0.77
tʰ	t	0.222
tː	t	0.375
tː	χ_t	0.375
tː	χ	0.193
ç	d	0.23
ç	k	0.118
ŋ	n	0.5
ŋ	ŋ	0.5
ŋː	ŋ	1.0
ə	-	0.821
ə	ə	0.178
ə_ɾ	ə	1.0
ɡ	χ	0.927
ɡ	-	0.075
ɡː	χ	1.0
ɪ	ə	1.0
ɳ	r	1.0
ɾ	r	0.958
ɾ	-	0.044
ʂ	s	0.514
ʃ	k	1.0
ʈ	t	1.0
ʈː	t	0.264
ʋ	v	0.517
ʋ	-	0.181
ʋ	f	0.153
ʋ	w	0.141
ʋ_ə	f	0.514
ˈeː	ˈɪə̯	0.498
ˈeː	ˈi	0.217
ˈeː	ˈɪø̯	0.132
ˈeː	ˈə	0.132
ˈiː	ˈəɪ̯	0.427
ˈiː	ˈə	0.219
ˈiː	ˈɪə̯	0.145
ˈiː	ˈi	0.09
ˈiː	ˈɛː	0.085
ˈiː_ə	ˈəɪ̯	0.264
ˈoː	ˈɑː	0.711
ˈoː	ˈʊə̯	0.165
ˈoː	ˈa	0.109
ˈuː	ˈʊə̯	0.358
ˈuː	ˈu	0.318
ˈuː	ˈɔ	0.164
ˈuː	ˈuː	0.07
ˈuː	-	0.054
ˈyː	ˈi	0.515
ˈyː	ˈyː	0.181
ˈyː	ˈi_t	0.181
ˈyː	ˈə	0.093
ˈæ	ˈæ	0.574
ˈæ	ˈæː	0.295
ˈæɪ̯	ˈəɪ̯	0.342
ˈæɪ̯	ˈɪə̯	0.315
ˈæɪ̯	ˈɔː	0.154
ˈæɪ̯	ˈɛ	0.154
ˈæː	ˈɪə̯	0.313
ˈæː	ˈi	0.237
ˈæː	ˈæː	0.14
ˈøː	ˈʊə̯	0.333
ˈøː	ˈʊə̯_t	0.121
ˈøː	ˈɛ	0.103
ˈøː	ˈɪə̯	0.087
ˈøː	w	0.084
ˈœ	ˈʊə̯	0.178
ˈœ	ˈɛ	0.178
ˈœ	ˈu	0.178
ˈœ	ˈɔ	0.135
ˈœ	ˈɪø̯	0.118
ˈœʏ̯	ˈʊə̯	0.514
ˈɑ	ˈa	0.812
ˈɑ	ˈœu̯	0.066
ˈɑ	ˈæ	0.052
ˈɑ	ˈɔ	0.049
ˈɑ	ˈɑː	0.045
ˈɑː	ˈɑː	0.571
ˈɑː	ˈa	0.279
ˈɑː	ˈɛː	0.136
ˈɔ	ˈɔ	0.461
ˈɔ	ˈa	0.265
ˈɔ	ˈʊə̯	0.265
ˈɛ	ˈɛ	0.439
ˈɛ	ˈa	0.256
ˈɛ	ˈəɪ̯	0.169
ˈɛ	ˈi	0.068
ˈɛ	ˈə	0.06
ˈɛː	ˈɑː	0.264
ˈɪ	ˈə	0.919
ˈɪ	-	0.053
ˈɪ	ˈɛ	0.053
ˈʉ	ˈɔ	0.566
ˈʉ	v_ˈɔ	0.205
ˈʉ	ˈœu̯	0.135
ˈʉ	ˈə	0.078
ˈʉː	ˈœɪ̯	0.551
ˈʉː	ˈɪə̯	0.117
ˈʉː	ˈɔ	0.089
ˈʉː	ˈi	0.089
ˈʉː	ˈʊə̯	0.089
ˈʊ	ˈɪø̯	0.179
ˈʊ	ˈʊə̯	0.179
ˈʊ	j	0.179
ˈʊ	ˈœ	0.179
ˈʊ	ˈɔ	0.127
ˈʏ	ˈœ	0.457
ˈʏ	ˈɔː	0.211
ˈʏ	ˈə	0.211
ˈʏ	ˈœɪ̯	0.097
