Bokmål Norwegian	Afrikaans	probability
b	b	1.0
d	d	0.677
d	t	0.18
d	-	0.132
e	ˈœu̯	1.0
f	f	0.891
f	v	0.089
h	ɦ	0.972
i	ə	1.0
j	χ	0.423
j	ɦ	0.292
j	-	0.229
j	ˈɪə̯	0.056
k	k	0.709
k	-	0.202
k	χ	0.089
kʰ	k	0.863
kʰ	f	0.137
kː	k	0.503
kː	ŋ_k	0.497
l	ɫ	0.997
lː	ɫ	0.703
lː	ˈœu̯	0.237
lː	r	0.06
m	m	0.94
m	-	0.06
mː	m	1.0
n	n	0.947
nː	n	0.949
nː	-	0.051
p	p	1.0
pʰ	p	1.0
pː	p	1.0
s	s	0.975
sː	s	1.0
t	t	1.0
tʰ	d	0.646
tʰ	t	0.278
tʰ	b	0.077
tː	t	0.705
tː	χ	0.295
ŋ	ŋ	0.682
ŋ	n	0.318
ŋː	ŋ	1.0
ɕ	k	0.63
ɕ	d	0.319
ɕ	t	0.05
ə	-	0.657
ə	ə	0.332
ɡ	χ	0.962
ɡː	χ	1.0
ɪ	ə	1.0
ɳ	r	1.0
ɾ	r	0.944
ʂ	s	1.0
ʃ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	v	0.542
ʋ	f	0.218
ʋ	w	0.117
ʋ	-	0.104
ˈeː	ˈɪə̯	0.306
ˈeː	ˈi	0.278
ˈeː	ˈə	0.117
ˈeː	j	0.116
ˈeː	ˈʊə̯	0.08
ˈeː	ˈɪø̯	0.064
ˈiː	ˈəɪ̯	0.387
ˈiː	ˈɪə̯	0.221
ˈiː	ˈə	0.15
ˈiː	ˈi	0.111
ˈiː	ˈœi̯	0.077
ˈiː	ˈɛː	0.054
ˈoː	ˈɑː	0.819
ˈoː	ˈʊə̯	0.134
ˈuː	ˈʊə̯	0.383
ˈuː	ˈu	0.231
ˈuː	ˈɔ	0.125
ˈuː	ˈɑː	0.097
ˈuː	ˈuː	0.068
ˈuː	-	0.057
ˈyː	ˈi	0.68
ˈyː	ˈyː	0.262
ˈyː	ˈə	0.058
ˈæ	ˈæ	0.791
ˈæ	ˈæː	0.209
ˈæɪ̯	ˈɪə̯	0.595
ˈæɪ̯	ˈəɪ̯	0.281
ˈæɪ̯	ˈɛ	0.09
ˈæː	ˈɪə̯	0.658
ˈæː	ˈi	0.258
ˈæː	ˈæː	0.084
ˈøː	ˈʊə̯	0.479
ˈøː	ˈu	0.093
ˈøː	-	0.089
ˈøː	ˈɛ	0.084
ˈøː	ˈoːi̯	0.068
ˈøː	ˈuːi̯	0.068
ˈøː	ˈɪə̯	0.068
ˈœ	ˈʊə̯	0.267
ˈœ	ˈɛ	0.231
ˈœ	ˈu	0.227
ˈœ	ˈɪø̯	0.124
ˈœ	ˈɔ	0.061
ˈœ	-	0.054
ˈœʏ̯	ˈʊə̯	1.0
ˈɑ	ˈa	0.841
ˈɑ	ˈɑː	0.052
ˈɑː	ˈɑː	0.692
ˈɑː	ˈa	0.218
ˈɑː	ˈɛː	0.09
ˈɔ	ˈɔ	0.511
ˈɔ	ˈə	0.179
ˈɔ	ˈʊə̯	0.152
ˈɔ	ˈa	0.091
ˈɛ	ˈɛ	0.351
ˈɛ	ˈa	0.308
ˈɛ	ˈəɪ̯	0.256
ˈɛː	ˈɑː	1.0
ˈɪ	ˈə	0.846
ˈɪ	-	0.099
ˈʉ	ˈɔ	0.688
ˈʉ	v_ˈɔ	0.229
ˈʉː	ˈœɪ̯	0.488
ˈʉː	ˈɪə̯	0.187
ˈʉː	ˈyː	0.066
ˈʉː	ˈɔ	0.063
ˈʉː	ˈʊə̯	0.063
ˈʉː	ˈuːi̯	0.055
ˈʊ	ˈœ	0.42
ˈʊ	ˈɪø̯	0.29
ˈʊ	ˈʊə̯	0.29
ˈʏ	ˈœ	0.677
ˈʏ	ˈə	0.187
ˈʏ	ˈœɪ̯	0.079
ˈʏ	-	0.058
