Sixian	Sixian	probability
⁵⁵	⁴⁵	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ɨ	z̩	1.0
ɕ	ɕ	1.0
¹¹	¹¹	1.0
²	²	1.0
w	w	1.0
t̚	ʔ	1.0
p̚	ʔ	1.0
pʰ	pʰ͡x	1.0
o_ŋ	ɒ̃	1.0
o_j	a_j	1.0
n_a	n	1.0
l	l	1.0
k̚	ʔ	1.0
j_²⁴	j_¹¹	1.0
j_u	ỹ	1.0
e_n	e	1.0
a_n	æ̃	1.0
a_m	æ̃	1.0
#>	⁴⁵_#>	1.0
³¹	⁵³	0.955
²⁴	¹¹	0.868
s	s	0.833
ŋ	ŋ	0.75
n	ŋ	0.75
p	p	0.714
a	a	0.684
⁵	²	0.667
ʦ	ʦ	0.667
v	v	0.667
tʰ	tʰ͡x	0.667
f	f	0.667
m	m	0.6
k	ʨ	0.6
<#	<#_ɣ	0.6
e	ə	0.529
ɲ	ʐ	0.5
t	ʦ	0.5
t	t	0.5
o_n	æ̃	0.5
o_n	w_æ̃	0.5
kʰ	ʨʰ	0.5
kʰ	kʰ͡x	0.5
j	j	0.444
h	x	0.417
k	k	0.4
<#	<#_v	0.4
o	ɤ	0.385
⁵	⁵⁴	0.333
ʦ	ʦ_w	0.333
v	x_w	0.333
tʰ	t	0.333
f	x_w	0.333
o	a_w	0.308
u	ə	0.29
p	f	0.286
j	ɥ	0.259
u	ũ	0.258
ɲ	n	0.25
ɲ	-	0.25
ŋ	-	0.25
n	ə̃_ŋ	0.25
i	i	0.24
o	a	0.231
a	-	0.211
m	ŋ	0.2
m	æ̃	0.2
i	ĩ	0.2
j	-	0.185
e	a	0.176
e	-	0.176
s	ɕ	0.167
h	ʨʰ	0.167
h	ɕ	0.167
h	kʰ͡x	0.167
u	ə̃	0.161
u	ə_w	0.161
²⁴	⁵³	0.132
u	u	0.129
i	ə_ɻ	0.12
i	z̩	0.12
i	y	0.12
i	e_j	0.12
e	j_a	0.118
j	w	0.111
a	ĩ	0.105
h	h	0.083
i	ə	0.08
o	o	0.077
