Logudorese	Romanian	probability
a	ə	0.58
a	-	0.162
a	e	0.06
a	a	0.054
a	j_e	0.053
ă	ə	0.661
ă	e	0.339
b	v	0.393
b	b	0.234
b	-	0.105
b	p	0.077
b	t	0.064
d	d	0.624
d	z	0.308
d	-	0.068
e	e	0.713
e	-	0.188
ĕ	e	0.569
ĕ	j	0.431
f	f	0.923
f	-	0.077
i	-	0.493
i	i	0.176
i	e	0.117
i	ə	0.117
i	ˈɨ	0.066
j	j	0.387
j	-	0.266
j	ʒ	0.209
j	ˈi	0.138
k	k	0.622
k	ʧ	0.273
k	t	0.074
l	l	0.546
l	r	0.293
l	-	0.102
m	m	0.847
m	ʧʲ	0.079
m	-	0.074
n	n	0.72
n	-	0.251
o	u	0.498
o	o	0.284
o	j	0.072
o	-	0.063
o	nʲ	0.063
ŏ	-	0.902
ŏ	u	0.098
p	p	0.91
p	p_j	0.09
r	r	0.753
r	-	0.151
r	l	0.067
s	s	0.475
s	ʃ	0.266
s	-	0.191
t	t	0.64
t	p_t	0.133
t	-	0.109
t	ʦ	0.089
u	-	0.66
u	u	0.165
u	ə	0.096
u	e	0.071
ŭ	-	1.0
v	b	1.0
z	-	0.664
z	s	0.186
z	ʒ	0.085
z	z	0.065
ð	t	0.756
ð	r	0.14
ð	d	0.087
ŋ	n	0.838
ŋ	ŋ	0.162
ɖ	-	0.456
ɖ	l	0.452
ɖ	ŋ	0.091
ɡ	ʤ	0.738
ɡ	ɡ	0.231
ɣ	ʧ	0.555
ɣ	k	0.282
ɣ	-	0.164
ɲ	n	0.593
ɲ	j	0.324
ɲ	m	0.083
ʃ	ʧʲ	0.525
ʃ	-	0.475
ʣ	-	0.89
ʣ	n	0.11
ʦ	t	0.5
ʦ	ʦ	0.5
ˈa	ˈa	0.667
ˈa	ˈɨ	0.17
ˈa	ˈɨ_j	0.068
ˈa	ˈe	0.062
ˈe	ˈi	0.26
ˈe	ˈe	0.168
ˈe	ˈa	0.122
ˈe	j_ˈe	0.116
ˈe	e̯ˈa	0.094
ˈi	ˈi	0.49
ˈi	ˈe	0.261
ˈi	e̯ˈa	0.057
ˈi	ˈa	0.054
ˈo	o̯ˈa	0.345
ˈo	ˈo	0.275
ˈo	ˈu	0.264
ˈu	ˈu	0.85
ˈu	ˈo	0.115
β	p	0.587
β	-	0.35
β	r	0.063
