Latin	Bellunese	probability
au̯	-	1.0
e	-	1.0
eː	e	1.0
f	f	1.0
kː	k	1.0
lʲː	l	1.0
nː	n	1.0
rː	r	1.0
sː	s	1.0
tː	t	1.0
u	-	1.0
ɔ	o	1.0
ɡʷ	ɡ_w	1.0
ʊ	-	1.0
ˈa	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈu	ˈo	1.0
ˈuː	ˈu	1.0
a	-	0.061
ãː	a	0.941
b	-	0.091
kʷ	k_w	0.451
oː	ˈo	0.151
p	v	0.161
ɛ̃ː	e	0.631
ˈoː	-	0.101
a	o	0.052
aː	a	0.762
i	j	0.682
k	ɡ	0.2
k	-	0.212
lʲ	l	0.242
t	d	0.252
ɪ	o	0.112
ɪ	e	0.62
ɫ	l	0.582
ˈɔ	ˈɔ	0.452
b	b	0.553
iː	i	0.933
oː	-	0.163
r	r	0.953
ɛ	-	0.073
ɫ	-	0.223
ˈiː	ˈi	0.903
j	-	0.234
k	z	0.134
t	-	0.054
w	v	0.784
ŋ	ŋ	0.94
ɛ	e	0.904
ɪ	-	0.214
ˈoː	ˈu	0.134
ˈɛ	ˈɛ	0.644
d	-	0.25
d	d	0.75
k	θ	0.145
ɪ	ˈe	0.055
ɫ	j	0.195
ˈoː	ˈo	0.765
ˈɪ	ˈe	0.95
ˈʊ	ˈu	0.235
ˈʊ	ˈo	0.765
a	a	0.886
b	v	0.356
j	ð	0.766
n	ŋ	0.166
p	p	0.6
s	s	0.736
t	t	0.666
w	-	0.216
ŋ	-	0.06
ɛ̃ː	o	0.096
ɛ̃ː	-	0.176
ɡ	-	0.306
ɡ	ð	0.426
ˈɛ	j_ˈe	0.066
iː	-	0.067
l	l	0.957
m	m	0.877
n	-	0.057
oː	o	0.687
s	z	0.217
ʊ̃ː	o	0.957
ˈiː	-	0.097
aː	ˈa	0.238
i	-	0.318
lʲ	-	0.758
n	n	0.758
ɛ̃ː	a	0.098
ɡ	ɡ	0.268
ˈɔ	ˈo	0.548
ˈɛ	ˈe	0.258
ãː	-	0.059
k	k	0.309
kʷ	-	0.549
m	-	0.09
p	-	0.209
