Bavarian	Swiss German	probability
b̥	b̥	1.0
h	h	1.0
i	i	1.0
kʰ	χ	1.0
l	l	1.0
p͡f	p͡f	1.0
r	r	1.0
x	χ	1.0
ç	χ	1.0
ə	ə	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈou̯	ˈoː	1.0
ˈɒ	ˈɒ	1.0
ˈɒː	ˈɒː	1.0
ˈɛː	ˈeː	1.0
ˈʏ	ˈy	1.0
j	j	0.111
ŋ	ɡ̊_ə	0.131
ɐ	-	0.071
ɡ̊	ɡ̊ː	0.171
ˈe	ˈæ	0.861
ˈu	ˈy	0.051
ˈuɐ̯	ˈyə̯	0.101
ˈɛ	ˈe	0.21
ˈɛ	ˈæ	0.701
d̥	d̥	0.512
n	ə	0.372
n	n	0.522
ˈiː	ˈi	0.762
ˈo	ˈo	0.362
ˈu	ˈyː	0.202
f	f	0.973
k	χ	0.363
p	p	0.893
ˈai̯	ˈiː	0.563
ˈeː	ˈeː	0.603
ˈiɐ̯	ˈyː	0.423
ˈoɐ̯	ˈæi̯	0.393
ˈoː	ˈɒː	0.563
a	ə	0.314
ŋ	ɡ̊	0.184
ŋ	ŋ	0.684
ˈa	i_#>	0.054
ˈa	n_#>	0.054
ˈai̯	ˈæi̯	0.14
ˈaː	ˈɒː	0.464
a	ə_r	0.55
s	s	0.635
t	tː	0.075
t	t	0.925
ˈi	ˈy	0.115
ˈo	ˈu	0.085
ˈo	ˈɒ	0.455
m	m	0.916
n	-	0.106
ˈa	ˈɒ	0.666
ˈau̯	ˈuː	0.966
ˈaː	ˈau̯	0.536
a	r	0.097
k	k	0.637
p	<#_ɡ̊	0.107
s	sː	0.307
ˈa	ə_#>	0.187
ˈai̯	ˈyː	0.297
ˈiɐ̯	ˈyə̯	0.577
ˈoɐ̯	ˈɒː	0.07
ˈoː	ˈoː	0.437
ˈu	ˈu	0.747
ˈɔ	ˈo	0.57
d̥	t	0.448
m	-	0.068
s	ʃ	0.058
ˈeː	ˈæː	0.338
ˈi	ˈi	0.848
ˈiː	ˈyː	0.238
ˈo	ˈæ	0.098
ˈoɐ̯	ˈoː	0.078
j	l	0.889
ɐ	r	0.929
ɡ̊	ɡ̊	0.829
ʃ	ʃ	0.99
ˈe	ˈøː	0.139
ˈeː	ˈæ	0.059
ˈoɐ̯	ˈo_r	0.459
ˈuɐ̯	ˈuə̯	0.899
ˈɔ	ˈɒ	0.389
ˈɛ	ˈø	0.089
