Western Lombard	Eastern Lombard	probability
ã	a	1.0
b	b	1.0
f	f	1.0
m	m	1.0
n	n	1.0
o	o	1.0
p	p	1.0
w	w	1.0
z	z	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʋ	ʋ	1.0
ʦ	s	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈĩː	ˈi	1.0
ˈo	ˈɔ	1.0
ˈuː	ˈo	1.0
ˈøː	ˈø	1.0
e	e	0.891
k	k	0.991
ˈe	ˈe	0.411
ˈũː	ˈu	0.81
i	e	0.92
j	-	0.112
r	-	0.062
ʤ	z	0.902
ˈẽː	ˈɛ_n	0.512
t	t	0.953
u	o	0.923
ˈu	ˈu	0.593
ˈyː	ˈu	0.803
ˈɔ	ˈo	0.563
ˈɛ	ˈe	0.133
a	a	0.964
d	d	0.954
s	s	0.994
ʧ	ʧ	0.594
ˈe	ˈi	0.254
ˈe	ˈɛ	0.334
ˈi	ˈe	0.264
ˈø	ˈɔ	0.144
ˈy	ˈy	0.105
r	r	0.896
ˈy	ˈø	0.806
ˈø	ˈø	0.856
l	l	0.947
u	-	0.077
ʧ	s	0.277
ˈãː	ˈa_ŋ	0.057
ˈãː	ˈa_n	0.187
ˈãː	ˈa	0.757
ˈu	ˈo	0.327
ˈyː	ˈy	0.197
ˈɔ	ˈɔ	0.437
ˈɛ	ˈɛ	0.867
i	i	0.08
j	j	0.888
ʤ	ʤ	0.098
ˈa	ˈa	0.958
ˈẽː	ˈe	0.488
ˈi	ˈø	0.068
ˈi	ˈi	0.668
ˈu	ˈɔ	0.08
e	o	0.109
ʧ	t	0.079
ˈũː	ˈo_n	0.19
ˈy	ˈɛ	0.089
